Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap,Date
PROSY,Prosus N.V.,8.69,-0.01,-0.11,58355,565726,103969000000,2024-10-30T06:41:35.817531
AUR,"Aurora Innovation, Inc.",6.91,0.06,0.88,4873000,8975000,11665000000,2024-10-30T06:41:35.817531
IMPUY,Impala Platinum Holdings Limited,7.19,0.13,1.84,117381,280789,6472000000,2024-10-30T06:41:35.817531
COMP,"Compass, Inc.",5.4,-0.25,-4.42,5706000,4979000,2706000000,2024-10-30T06:41:35.817531
WULF,TeraWulf Inc.,6.69,-0.16,-2.34,28256000,22295000,2560000000,2024-10-30T06:41:35.817531
SOUN,"SoundHound AI, Inc.",6.01,-0.11,-1.8,34724000,18958000,2156000000,2024-10-30T06:41:35.817531
CIFR,Cipher Mining Inc.,5.39,-0.27,-4.77,11250000,9474000,1898000000,2024-10-30T06:41:35.817531
FSM,Fortuna Mining Corp.,5.28,0.16,3.13,7070000,6568000,1660000000,2024-10-30T06:41:35.817531
KNTNF,K92 Mining Inc.,6.86,-0.01,-0.07,18447,148354,1636000000,2024-10-30T06:41:35.817531
WDOFF,Wesdome Gold Mines Ltd.,9.16,0.01,0.11,38544,163629,1370000000,2024-10-30T06:41:35.817531
EXK,Endeavour Silver Corp.,5.55,0.19,3.54,4119000,5524000,1365000000,2024-10-30T06:41:35.817531
PBI,Pitney Bowes Inc.,7.26,0.05,0.69,1185000,1820000,1303000000,2024-10-30T06:41:35.817531
BTDR,Bitdeer Technologies Group,9.23,-0.14,-1.49,4571000,2597000,1567000000,2024-10-30T06:41:35.817531
PGRU,PropertyGuru Group Limited,6.63,-0.01,-0.15,35382,964235,1090000000,2024-10-30T06:41:35.817531
REAX,The Real Brokerage Inc.,5.35,-0.04,-0.74,270301,778950,1058000000,2024-10-30T06:41:35.817531
NCMI,"National CineMedia, Inc.",7.17,-0.03,-0.42,453169,467190,683456000,2024-10-30T06:41:35.817531
ALT,"Altimmune, Inc.",7.36,0.35,4.99,3563000,2185000,523083000,2024-10-30T06:41:35.817531
YRD,Yiren Digital Ltd.,5.67,-0.26,-4.38,151938,187032,492919000,2024-10-30T06:41:35.817531
RITR,Reitar Logtech Holdings Limited,7.64,0.28,3.8,90030,316529,477071000,2024-10-30T06:41:35.817531
NL,"NL Industries, Inc.",7.88,0.06,0.77,12642,31559,384920000,2024-10-30T06:41:35.817531
NYXH,Nyxoah S.A.,9.46,-0.38,-3.86,13766,60298,365936000,2024-10-30T06:41:35.817531
XYF,X Financial,6.56,-0.06,-0.91,23575,33942,311023000,2024-10-30T06:41:35.817531
DSGN,"Design Therapeutics, Inc.",5.41,-0.12,-2.17,57934,257525,313111000,2024-10-30T06:41:35.817531
ITI,"Iteris, Inc.",7.2,0.01,0.14,172494,811853,309905000,2024-10-30T06:41:35.817531
MAMA,"Mama's Creations, Inc.",7.89,0.18,2.4,152655,276118,296674000,2024-10-30T06:41:35.817531
ABXXF,Abaxx Technologies Inc.,7.72,-0.01,-0.19,8138,24823,258282000,2024-10-30T06:41:35.817531
ARQ,"Arq, Inc.",5.97,-0.01,-0.17,105380,222848,247707000,2024-10-30T06:41:35.817531
XBIT,XBiotech Inc.,7.16,-0.55,-7.2,65954,47501,234380000,2024-10-30T06:41:35.817531
MOLN,Molecular Partners AG,6.2,-0.26,-4.02,19525,24651,218066000,2024-10-30T06:41:35.817531
SGMT,Sagimet Biosciences Inc.,5.83,-0.16,-2.67,573609,1346000,187699000,2024-10-30T06:41:35.817531
WCT,Wellchange Holdings Company Limited,8.37,0.5,6.35,719510,1660000,177988000,2024-10-30T06:41:35.817531
ATGL,Alpha Technology Group Limited,9.6,-1.17,-10.86,106960,564973,177301000,2024-10-30T06:41:35.817531
CXDO,"Crexendo, Inc.",5.62,-0.12,-2.09,56569,146900,153343000,2024-10-30T06:41:35.817531
COYA,"Coya Therapeutics, Inc.",7.37,-2.82,-27.67,909133,69575,170483000,2024-10-30T06:41:35.817531
SRTS,"Sensus Healthcare, Inc.",6.95,0.18,2.66,203564,158470,113904000,2024-10-30T06:41:35.817531
LASE,Laser Photonics Corporation,5.19,-0.1,-1.89,432656,3239000,79253000,2024-10-30T06:41:35.817531
KOSS,Koss Corporation,7.39,-0.29,-3.78,134807,281873,68726000,2024-10-30T06:41:35.817531
KTCC,Key Tronic Corporation,6.0,0.0,0.0,17501,20948,64571000,2024-10-30T06:41:35.817531
OPXS,"Optex Systems Holdings, Inc",8.97,-0.45,-4.78,32328,24412,61653000,2024-10-30T06:41:35.817531
BGM,Qilian International Holding Group Limited,7.63,-0.17,-2.18,10299,17995,56666000,2024-10-30T06:41:35.817531
MTEN,Mingteng International Corporation Inc.,8.06,0.06,0.75,54513,45976,50032000,2024-10-30T06:41:35.817531
NISN,"Nisun International Enterprise Development Group Co., Ltd",9.48,0.19,2.05,52980,118956,37467000,2024-10-30T06:41:35.817531
NVA,Nova Minerals Limited,9.18,-1.76,-16.09,123947,49420,45640000,2024-10-30T06:41:35.817531
