Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap,Date
BOLSY,"B3 S.A. - Brasil, Bolsa, Balcão",8.3,-0.3,-3.49,168588,110825,14336000000,2025-12-04T07:49:46.672040
MTHRY,"M3, Inc.",7.67,-0.07,-0.9,7600,397164,10419000000,2025-12-04T07:49:46.672040
LYSCF,Lynas Rare Earths Limited,9.7,-0.23,-2.32,6607,170017,9763000000,2025-12-04T07:49:46.672040
LYSDY,Lynas Rare Earths Limited,9.61,-0.39,-3.9,87308,675266,9672000000,2025-12-04T07:49:46.672040
ONDS,Ondas Holdings Inc.,8.91,0.84,10.41,137558000,75586000,3319000000,2025-12-04T07:49:46.672040
FSM,Fortuna Mining Corp.,9.55,-0.18,-1.85,4536000,16580000,2936000000,2025-12-04T07:49:46.672040
DGNX,Diginex Limited,10.0,-0.5,-4.76,593402,895311,2030000000,2025-12-04T07:49:46.672040
NVTS,Navitas Semiconductor Corporation,8.69,0.37,4.45,12288000,40550000,2003000000,2025-12-04T07:49:46.672040
SVM,Silvercorp Metals Inc.,7.94,0.0,0.0,3863000,6227000,1749000000,2025-12-04T07:49:46.672040
RLAY,"Relay Therapeutics, Inc.",7.83,0.34,4.54,1265000,1946000,1357000000,2025-12-04T07:49:46.672040
LUXE,Emles Luxury Goods ETF,9.73,0.13,1.35,407334,373135,1336000000,2025-12-04T07:49:46.672040
SHLS,"Shoals Technologies Group, Inc.",7.61,-0.21,-2.69,2359000,6255000,1274000000,2025-12-04T07:49:46.672040
SSII,"SS Innovations International, Inc.",6.14,0.02,0.33,73388,95037,1189000000,2025-12-04T07:49:46.672040
TTI,"TETRA Technologies, Inc.",8.65,0.82,10.47,4804000,2422000,1157000000,2025-12-04T07:49:46.672040
YALA,Yalla Group Limited,7.08,0.01,0.14,227834,393264,1125000000,2025-12-04T07:49:46.672040
ANPMF,Andean Precious Metals Corp.,6.53,-0.02,-0.31,10256,133673,970234000,2025-12-04T07:49:46.672040
SLDP,"Solid Power, Inc.",5.07,0.18,3.68,5443000,14546000,968490000,2025-12-04T07:49:46.672040
CMPX,"Compass Therapeutics, Inc.",5.28,0.06,1.15,2062000,1853000,939112000,2025-12-04T07:49:46.672040
ASM,Avino Silver & Gold Mines Ltd.,5.59,0.13,2.38,3723000,5255000,876995000,2025-12-04T07:49:46.672040
UAMY,United States Antimony Corporation,5.32,-0.04,-0.75,4521000,15073000,744989000,2025-12-04T07:49:46.672040
MTA,Metalla Royalty & Streaming Ltd.,7.48,0.12,1.63,277191,709990,692359000,2025-12-04T07:49:46.672040
FULC,"Fulcrum Therapeutics, Inc.",9.06,0.11,1.23,709189,644632,490313000,2025-12-04T07:49:46.672040
XNET,Xunlei Limited,7.29,-0.09,-1.22,216685,625804,456053000,2025-12-04T07:49:46.672040
IMRX,Immuneering Corporation,6.74,0.05,0.75,579432,1963000,435202000,2025-12-04T07:49:46.672040
VOXR,Vox Royalty Corp.,5.12,0.26,5.35,554756,585025,353215000,2025-12-04T07:49:46.672040
NVA,Nova Minerals Limited,9.27,0.57,6.55,534523,2470000,317353000,2025-12-04T07:49:46.672040
CV,"CapsoVision, Inc.",6.17,0.65,11.78,50311,35022,289023000,2025-12-04T07:49:46.672040
III,"Information Services Group, Inc.",5.65,0.16,2.91,396131,248077,272304000,2025-12-04T07:49:46.672040
KRMD,"KORU Medical Systems, Inc.",5.72,0.04,0.7,208779,120211,264966000,2025-12-04T07:49:46.672040
GSIT,"GSI Technology, Inc.",6.68,0.56,9.15,644462,4951000,235415000,2025-12-04T07:49:46.672040
LUD,Luda Technology Group Limited,9.99,0.37,3.8,352979,52258,226582000,2025-12-04T07:49:46.672040
HUHU,HUHUTECH International Group Inc.,9.34,0.24,2.64,9059,47641,216440000,2025-12-04T07:49:46.672040
TGEN,Tecogen Inc.,7.05,0.61,9.47,317480,784783,210418000,2025-12-04T07:49:46.672040
DPRO,Draganfly Inc.,7.65,0.7,10.07,1491000,4683000,195701000,2025-12-04T07:49:46.672040
OSS,"One Stop Systems, Inc.",6.17,0.1,1.65,401995,693048,151261000,2025-12-04T07:49:46.672040
BUUU,BUUU Group Limited,8.41,0.91,12.13,10945,29606,140237000,2025-12-04T07:49:46.672040
FSI,"Flexible Solutions International, Inc.",6.83,0.3,4.59,49214,58851,86690000,2025-12-04T07:49:46.672040
IZEA,"IZEA Worldwide, Inc.",5.01,0.17,3.51,42987,191301,85800000,2025-12-04T07:49:46.672040
MIND,"MIND Technology, Inc.",9.83,0.31,3.26,161756,264280,78339000,2025-12-04T07:49:46.672040
OCC,Optical Cable Corporation,8.42,0.4,4.99,19056,88919,74689000,2025-12-04T07:49:46.672040
MGRT,Mega Fortune Company Limited,5.22,-0.63,-10.77,10286,91254,71775000,2025-12-04T07:49:46.672040
NRT,North European Oil Royalty Trust,6.14,0.07,1.15,79282,52538,56430000,2025-12-04T07:49:46.672040
