Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap,Date
NAAS,NaaS Technology Inc.,1.1,-0.39,-26.17,5220000,1225000,269012000,2024-03-13T19:35:28.316961
LUNA,Luna Innovations Incorporated,3.92,-2.34,-37.38,2876000,142630,136012000,2024-03-13T19:35:28.316961
CMTL,Comtech Telecommunications Corp.,4.245,-1.515,-26.3,2062000,324298,120868000,2024-03-13T19:35:28.316961
COCH,"Envoy Medical, Inc.",6.05,-1.55,-20.39,219013,402328,118278000,2024-03-13T19:35:28.316961
SELX,Semilux International Ltd.,1.7,-0.89,-34.36,1616000,909445,71568000,2024-03-13T19:35:28.316961
CTNT,Cheetah Net Supply Chain Service Inc.,1.4855,-0.4445,-23.03,51102,21115,26614000,2024-03-13T19:35:28.316961
BTOG,Bit Origin Ltd,3.99,-1.29,-24.43,812440,487863,25141000,2024-03-13T19:35:28.316961
MSAI,"MultiSensor AI Holdings, Inc.",2.115,-0.575,-21.38,190322,543880,25289000,2024-03-13T19:35:28.316961
SOS,SOS Limited,1.46,-0.67,-31.46,4234000,319168,17906000,2024-03-13T19:35:28.316961
MIRA,"MIRA Pharmaceuticals, Inc.",1.12,-0.43,-27.74,612429,725325,16555000,2024-03-13T19:35:28.316961
HNRA,HNR Acquisition Corp,2.98,-1.488,-33.3,791075,246825,15601000,2024-03-13T19:35:28.316961
EFSH,1847 Holdings LLC,1.4485,-1.1515,-44.29,1697000,234165,3971000,2024-03-13T19:35:28.316961
TNON,"Tenon Medical, Inc.",1.1699,-0.2801,-19.32,11608000,56778,2891000,2024-03-13T19:35:28.316961
KRBP,"Kiromic BioPharma, Inc.",1.55,-0.55,-26.19,1612,11578,1951000,2024-03-13T19:35:28.316961
