Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap,Date
DYLLF,Deep Yellow Limited,0.961,0.011,1.16,77000,106974,931395000,2024-06-18T20:12:22.815415
PTHRF,Pantheon Resources Plc,0.34,-0.0075,-2.16,3200,394005,344053000,2024-06-18T20:12:22.815415
OGNRF,Orogen Royalties Inc.,0.828,0.0167,2.06,23152,112261,166200000,2024-06-18T20:12:22.815415
KRKNF,Kraken Robotics Inc.,0.7266,0.0161,2.27,25460,127561,166317000,2024-06-18T20:12:22.815415
TGHLF,Tornado Global Hydrovacs Ltd.,0.705,-0.015,-2.08,33879,19128,96290000,2024-06-18T20:12:22.815415
ARRNF,American Rare Earths Limited,0.18,0.0147,8.89,168600,915203,88816000,2024-06-18T20:12:22.815415
RDGL,Vivos Inc.,0.217,0.022,11.28,1039000,1562000,87024000,2024-06-18T20:12:22.815415
LDSN,Luduson G Inc.,0.139,-0.811,-85.37,2940000,391096,78322000,2024-06-18T20:12:22.815415
BTTC,Bitech Technologies Corporation,0.08,0.0042,5.54,20000,66463,56887000,2024-06-18T20:12:22.815415
IQST,iQSTEL Inc.,0.24,-0.0165,-6.43,49748,425369,42440000,2024-06-18T20:12:22.815415
PCSV,"PCS Edventures!, Inc.",0.25,0.01,4.17,8000,37996,31183000,2024-06-18T20:12:22.815415
CANOF,California Nanotechnologies Corp.,0.295,0.0,0.0,33786,26274,12797000,2024-06-18T20:12:22.815415
DRCR,Dear Cashmere Holding Company,0.235,-0.035,-12.96,100858,210288,12599000,2024-06-18T20:12:22.815415
SRCGF,Homeland Nickel Inc.,0.03,0.0,0.0,13000,19203,7076000,2024-06-18T20:12:22.815415
CINGF,Coinsilium Group Limited,0.025,0.0,0.0,25000,26715,4369000,2024-06-18T20:12:22.815415
NDEV,Novus Acquisition & Development Corp.,0.018,0.0,0.0,83481,65438,1940000,2024-06-18T20:12:22.815415
CDBT,China Dasheng Biotechnology Company,0.03,0.0,0.0,32000,12127,1229000,2024-06-18T20:12:22.815415
