Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap,Date
DYLLF,Deep Yellow Limited,0.8937,0.0437,5.14,47982,184130,843172000,2024-04-26T19:45:41.566608
LILM,Lilium N.V.,0.9243,0.0343,3.85,1028000,1782000,487889000,2024-04-26T19:45:41.566608
PTHRF,Pantheon Resources Plc,0.44,0.025,6.02,646700,359995,415456000,2024-04-26T19:45:41.566608
DRSHF,DroneShield Limited,0.5525,0.0025,0.45,6507,43779,340618000,2024-04-26T19:45:41.566608
MLXEF,Metals X Limited,0.31,-0.015,-4.62,503802,91144,280927000,2024-04-26T19:45:41.566608
KRKNF,Kraken Robotics Inc.,0.755,0.0,0.0,413827,92583,155902000,2024-04-26T19:45:41.566608
OSSIF,OneSoft Solutions Inc.,0.5824,0.0044,0.76,19052,112314,71226000,2024-04-26T19:45:41.566608
DMGGF,DMG Blockchain Solutions Inc.,0.375,0.0,0.0,102863,255529,63322000,2024-04-26T19:45:41.566608
IQST,iQSTEL Inc.,0.327,-0.0205,-5.9,269080,510498,57660000,2024-04-26T19:45:41.566608
GKPRF,Gatekeeper Systems Inc.,0.5447,-0.0019,-0.35,38115,110166,50147000,2024-04-26T19:45:41.566608
CTXXF,CEMATRIX Corporation,0.2819,-0.0095,-3.25,100230,21672,38665000,2024-04-26T19:45:41.566608
PCSV,"PCS Edventures!, Inc.",0.208,0.0,0.0,165567,47870,25944000,2024-04-26T19:45:41.566608
CYFRF,Cypherpunk Holdings Inc.,0.09,0.0,0.0,72263,32133,13686000,2024-04-26T19:45:41.566608
CANOF,California Nanotechnologies Corp.,0.265,-0.005,-1.85,28039,19170,11495000,2024-04-26T19:45:41.566608
BGLC,BioNexus Gene Lab Corp.,0.6027,0.0101,1.7,30980,1577000,10648000,2024-04-26T19:45:41.566608
SRCGF,Spruce Ridge Resources Ltd.,0.0379,0.0032,9.22,37000,16129,8156000,2024-04-26T19:45:41.566608
KASHF,Intellabridge Technology Corp.,0.113,-0.0118,-9.46,21237,15756,8200000,2024-04-26T19:45:41.566608
NGRBF,Nextgen Food Robotics Corp.,0.1234,-0.0003,-0.24,13621,61017,6239000,2024-04-26T19:45:41.566608
SINC,Sincerity Applied Materials Holdings Corp.,0.013,0.0,0.0,6064,33660,359287,2024-04-26T19:45:41.566608
