Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap,Date
REDLF,Vault Minerals Limited,0.37,-0.02,-5.95,43200,32178,2678000000,2025-09-03T18:25:08.389309
ALKEF,Alkane Resources Ltd,0.74,0.02,2.78,117150,201143,1085000000,2025-09-03T18:25:08.389309
CREQF,China Rare Earth Holdings Limited,0.3,0.0,0.0,171214,81614,837135000,2025-09-03T18:25:08.389309
ELTP,"Elite Pharmaceuticals, Inc.",0.7,-0.01,-1.24,119343,2009000,748601000,2025-09-03T18:25:08.389309
ORZCF,Orezone Gold Corporation,0.85,0.0,0.24,86400,138693,508129000,2025-09-03T18:25:08.389309
PTHRF,Pantheon Resources Plc,0.4,-0.01,-3.61,20500,312809,495516000,2025-09-03T18:25:08.389309
MLXEF,Metals X Limited,0.41,0.0,1.22,164360,58519,375717000,2025-09-03T18:25:08.389309
SLVMF,Silver Mines Limited,0.09,0.02,35.71,27778,23412,260404000,2025-09-03T18:25:08.389309
NWCBF,New World Resources Limited,0.07,0.0,0.0,75000,67924,257977000,2025-09-03T18:25:08.389309
IVCTF,Invictus Energy Limited,0.13,-0.04,-22.84,383929,151075,232402000,2025-09-03T18:25:08.389309
AGGI,"Allied Energy, Inc.",0.01,0.0,0.0,427591,31143,230457000,2025-09-03T18:25:08.389309
MMTMF,Monument Mining Limited,0.46,0.02,5.58,12300,21180,154357000,2025-09-03T18:25:08.389309
LQMT,"Liquidmetal Technologies, Inc.",0.14,0.01,4.47,168010,553987,127503000,2025-09-03T18:25:08.389309
HBFGF,Happy Belly Food Group Inc.,0.85,0.02,2.53,7300,11679,114966000,2025-09-03T18:25:08.389309
NPPTF,Neptune Digital Assets Corp.,0.75,-0.03,-3.47,35016,259166,95522000,2025-09-03T18:25:08.389309
ILIKF,Ilika plc,0.49,0.0,0.0,72943,56429,92162000,2025-09-03T18:25:08.389309
SMAGF,Soma Gold Corp.,0.96,-0.04,-3.56,5600,51169,89113000,2025-09-03T18:25:08.389309
SSGC,SafeSpace Global Corporation,0.47,-0.05,-9.65,144385,340500,86685000,2025-09-03T18:25:08.389309
TMGLF,Trigg Minerals Limited,0.07,-0.03,-30.0,15000,15417,79539000,2025-09-03T18:25:08.389309
DGGXF,DigitalX Limited,0.04,0.01,21.23,421000,1122000,78397000,2025-09-03T18:25:08.389309
DBOXF,D-BOX Technologies Inc.,0.32,0.01,4.35,86000,181920,71917000,2025-09-03T18:25:08.389309
IXRRF,Ionic Rare Earths Limited,0.01,-0.01,-30.23,10000,104888,68252000,2025-09-03T18:25:08.389309
ISVLF,IMPACT Silver Corp.,0.24,-0.04,-13.47,570317,397133,67353000,2025-09-03T18:25:08.389309
EMPYF,Empress Royalty Corp.,0.52,-0.1,-15.79,1203000,270926,66686000,2025-09-03T18:25:08.389309
NNVUF,NANOVEU LIMITED,0.06,0.0,0.0,40000,64713,61131000,2025-09-03T18:25:08.389309
SNLGF,San Lorenzo Gold Corp.,0.36,0.0,0.0,10500,37596,29019000,2025-09-03T18:25:08.389309
HTCR,"HeartCore Enterprises, Inc.",0.79,-0.23,-22.2,686945,783448,18497000,2025-09-03T18:25:08.389309
RVBR,Markray Corp.,0.05,-0.02,-33.24,10000,52329,15264000,2025-09-03T18:25:08.389309
SRCGF,Homeland Nickel Inc.,0.07,0.0,6.28,42500,35982,14767000,2025-09-03T18:25:08.389309
CINGF,Coinsilium Group Limited,0.06,-0.0,-4.96,60117,3635000,13406000,2025-09-03T18:25:08.389309
IHLDF,Immutable Holdings Inc.,0.14,0.0,0.0,10500,20369,12851000,2025-09-03T18:25:08.389309
IVDN,"Innovative Designs, Inc.",0.25,0.04,20.39,5500,35850,9549000,2025-09-03T18:25:08.389309
STGZ,Stargaze Entertainment Group Inc.,0.01,0.0,13.82,320000,187026,7096000,2025-09-03T18:25:08.389309
