Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap,Date
SGMT,Sagimet Biosciences Inc.,5.19,0.88,20.42,1279000,1246000,159203000,2024-10-15T06:30:39.287220
RILY,"B. Riley Financial, Inc.",5.42,1.03,23.46,16847000,3600000,164201000,2024-10-15T06:30:39.287220
WAVE,Eco Wave Power Global AB (publ),8.73,2.13,32.27,290653,25453,48446000,2024-10-15T06:30:39.287220
RILYP,"B. Riley Financial, Inc.",8.01,2.66,49.72,133312,47250,0,2024-10-15T06:30:39.287220
RILYL,"B. Riley Financial, Inc.",7.76,1.86,31.39,59313,23278,0,2024-10-15T06:30:39.287220
