Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap,Date
SAMHF,Alleima AB (publ),7.3,1.31,21.87,3045,1,2270000000,2023-12-08T17:13:06.393456
AMRX,"Amneal Pharmaceuticals, Inc.",5.22,0.53,11.41,1381000,1278000,1602000000,2023-12-08T17:13:06.393456
BITF,Bitfarms Ltd.,2.4099,0.2699,12.61,33896000,12576000,777436000,2023-12-08T17:13:06.393456
APLT,"Applied Therapeutics, Inc.",3.0201,0.3501,13.11,1731000,1039000,233240000,2023-12-08T17:13:06.393456
ARAT,Arax Holdings Corp.,1.74,0.34,24.29,3520,2406,204669000,2023-12-08T17:13:06.393456
KROEF,KR1 Plc,1.15,0.46,66.67,12600,8687,203975000,2023-12-08T17:13:06.393456
BDTX,"Black Diamond Therapeutics, Inc.",2.89,0.32,12.45,467343,533300,149226000,2023-12-08T17:13:06.393456
VIRC,Virco Mfg. Corporation,8.37,1.36,19.4,378659,135987,136827000,2023-12-08T17:13:06.393456
CASI,"CASI Pharmaceuticals, Inc.",8.31,0.81,10.8,115448,39555,110702000,2023-12-08T17:13:06.393456
ARBK,Argo Blockchain plc,1.7,0.15,9.68,316697,193722,91005000,2023-12-08T17:13:06.393456
XELB,"Xcel Brands, Inc.",1.2697,0.1197,10.41,48173,30638,25140000,2023-12-08T17:13:06.393456
POSC,Positron Corporation,1.36,0.27,24.77,14436,4149,19415000,2023-12-08T17:13:06.393456
EXOD,"Exodus Movement, Inc.",3.99,1.97,97.52,508,295,0,2023-12-08T17:13:06.393456
GBAT,Grayscale Basic Attention Token Trust,3.7,0.68,22.52,1188,2964,0,2023-12-08T17:13:06.393456
