Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap,Date
SAMHF,Alleima AB (publ),7.3,1.31,21.87,3045,1,2270000000,2023-12-08T19:51:12.255592
BITF,Bitfarms Ltd.,2.5499,0.4099,19.15,44174000,12576000,822600000,2023-12-08T19:51:12.255592
CIFR,Cipher Mining Inc.,2.895,0.275,10.5,3327000,2188000,737241000,2023-12-08T19:51:12.255592
APLD,Applied Digital Corporation,6.36,0.72,12.88,3741000,3361000,675537000,2023-12-08T19:51:12.255592
APLT,"Applied Therapeutics, Inc.",3.26,0.59,22.1,3157000,1039000,251767000,2023-12-08T19:51:12.255592
KROEF,KR1 Plc,1.15,0.46,66.67,12600,8687,203975000,2023-12-08T19:51:12.255592
BDTX,"Black Diamond Therapeutics, Inc.",2.89,0.32,12.45,981628,533300,149226000,2023-12-08T19:51:12.255592
BLRX,BioLineRx Ltd.,1.86,0.17,10.06,622561,857096,134349000,2023-12-08T19:51:12.255592
VIRC,Virco Mfg. Corporation,8.19,1.18,16.9,558084,135987,133966000,2023-12-08T19:51:12.255592
ARBK,Argo Blockchain plc,1.75,0.2,12.9,465878,193722,93682000,2023-12-08T19:51:12.255592
CRVS,"Corvus Pharmaceuticals, Inc.",1.8703,0.1903,11.33,203034,192326,91717000,2023-12-08T19:51:12.255592
SPRB,"Spruce Biosciences, Inc.",1.65,0.2,13.79,196136,117558,67173000,2023-12-08T19:51:12.255592
XELB,"Xcel Brands, Inc.",1.33,0.18,15.65,75460,30638,26334000,2023-12-08T19:51:12.255592
POSC,Positron Corporation,1.45,0.36,33.03,46673,4149,20700000,2023-12-08T19:51:12.255592
PRTT,Protect Pharmaceutical Corporation,2.06,0.31,17.71,160943,29065,2944000,2023-12-08T19:51:12.255592
EXOD,"Exodus Movement, Inc.",3.99,1.97,97.52,528,295,0,2023-12-08T19:51:12.255592
GBAT,Grayscale Basic Attention Token Trust,3.55,0.53,17.55,1408,2964,0,2023-12-08T19:51:12.255592
