Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap,Date
SAMHF,Alleima AB (publ),7.3,1.31,21.87,3045,1,2270000000,2023-12-08T19:07:18.414773
BITF,Bitfarms Ltd.,2.505,0.365,17.06,41089000,12576000,808116000,2023-12-08T19:07:18.414773
APLD,Applied Digital Corporation,6.26,0.63,11.26,3315000,3361000,665831000,2023-12-08T19:07:18.414773
APLT,"Applied Therapeutics, Inc.",3.215,0.545,20.41,2994000,1039000,248292000,2023-12-08T19:07:18.414773
KROEF,KR1 Plc,1.15,0.46,66.67,12600,8687,203975000,2023-12-08T19:07:18.414773
BDTX,"Black Diamond Therapeutics, Inc.",3.0,0.43,16.73,801824,533300,154906000,2023-12-08T19:07:18.414773
VIRC,Virco Mfg. Corporation,8.31,1.3,18.54,533185,135987,135846000,2023-12-08T19:07:18.414773
ARBK,Argo Blockchain plc,1.75,0.2,12.9,423332,193722,93682000,2023-12-08T19:07:18.414773
CRVS,"Corvus Pharmaceuticals, Inc.",1.87,0.19,11.31,189914,192326,91702000,2023-12-08T19:07:18.414773
XELB,"Xcel Brands, Inc.",1.3,0.15,13.04,66647,30638,25740000,2023-12-08T19:07:18.414773
POSC,Positron Corporation,1.5,0.41,37.61,43805,4149,21414000,2023-12-08T19:07:18.414773
EXOD,"Exodus Movement, Inc.",3.99,1.97,97.52,528,295,0,2023-12-08T19:07:18.414773
GBAT,Grayscale Basic Attention Token Trust,3.55,0.53,17.55,1408,2964,0,2023-12-08T19:07:18.414773
PTPIF,PT. Chandra Asri Petrochemical Tbk,0.28,0.085,43.59,5000,626,34755000000,2023-12-08T19:07:22.287810
AAGH,America Great Health,0.011,0.003,37.5,111000,149047,232178000,2023-12-08T19:07:22.287810
IPDQF,ImpediMed Limited,0.092,0.017,22.67,30000,26919,219497000,2023-12-08T19:07:22.287810
ALGEF,Alligator Energy Limited,0.04,0.007,21.21,126000,79273,165618000,2023-12-08T19:07:22.287810
DEFTF,DeFi Technologies Inc.,0.38,0.0477,14.35,188714,97612,100401000,2023-12-08T19:07:22.287810
ARBKF,Argo Blockchain plc,0.17,0.017,11.11,55111,44269,91005000,2023-12-08T19:07:22.287810
MLBEF,Webcentral Limited,0.182,0.022,13.75,9044,7797,60797000,2023-12-08T19:07:22.287810
RVIV,Reviv3 Procare Company,0.475,0.045,10.47,40303,20700,55612000,2023-12-08T19:07:22.287810
PNPL,"Pineapple, Inc.",0.21,0.0203,10.7,228,1434,52654000,2023-12-08T19:07:22.287810
IFUS,"Impact Fusion International, Inc.",0.053,0.0031,6.21,897611,1095000,28044000,2023-12-08T19:07:22.287810
INIS,International Isotopes Inc.,0.055,0.0064,13.26,20000,24298,28588000,2023-12-08T19:07:22.287810
ETST,"Earth Science Tech, Inc.",0.08,0.02,33.33,3160,71346,25191000,2023-12-08T19:07:22.287810
ELMSQ,"Electric Last Mile Solutions, Inc.",0.12,0.0379,46.16,9969,55273,25380000,2023-12-08T19:07:22.287810
GAYMF,Galway Metals Inc.,0.28,0.0408,17.06,23366,18333,21287000,2023-12-08T19:07:22.287810
TCRI,"TechCom, Inc.",0.18,0.03,20.0,30200,29683,11698000,2023-12-08T19:07:22.287810
BRVO,Bravo Multinational Incorporated,0.18,0.03,20.0,5314,19092,10105000,2023-12-08T19:07:22.287810
TNRG,Thunder Energies Corporation,0.0705,0.0363,106.14,800,3541,7872000,2023-12-08T19:07:22.287810
FDCT,"FDCTech, Inc.",0.02,0.0055,37.93,1498000,407587,6672000,2023-12-08T19:07:22.287810
IONI,I-ON Digital Corp.,0.24,0.04,20.0,11750,14887,6578000,2023-12-08T19:07:22.287810
GRHI,"Gold Rock Holdings, Inc.",0.027,0.007,35.0,222002,131088,6238000,2023-12-08T19:07:22.287810
MOTNF,Powertap Hydrogen Capital Corp.,0.24,0.035,17.07,4562,3646,6304000,2023-12-08T19:07:22.287810
SJRNF,ArcWest Exploration Inc.,0.06,0.0076,14.5,47150,272,4979000,2023-12-08T19:07:22.287810
DZCA,"DrazCanna, Inc.",0.53,0.12,29.27,765,17192,4671000,2023-12-08T19:07:22.287810
OLVRF,Olivut Resources Ltd.,0.053,0.019,55.88,10000,4515,5156000,2023-12-08T19:07:22.287810
ARTM,"American Nortel Communications, Inc.",0.039,0.0045,13.04,25100,36218,2547000,2023-12-08T19:07:22.287810
CTTH,"CTT Pharmaceutical Holdings, Inc.",0.038,0.008,26.67,10350,83098,1839000,2023-12-08T19:07:22.287810
EATBF,Eat & Beyond Global Holdings Inc.,0.0645,0.0108,20.11,814,3933,1539000,2023-12-08T19:07:22.287810
MHHC,MHHC Enterprises Inc.,0.0999,0.0279,38.85,227,22499,91702000,2023-12-08T19:07:22.287810
MNRLD,Badlands Resources Inc.,0.37,0.0348,10.38,1335,8663,0,2023-12-08T19:07:22.287810
COOLW,Corner Growth Acquisition Corp.,0.07,0.0072,11.46,8756,26398,0,2023-12-08T19:07:22.287810
CPPMF,COPPERNICO METALS INC,0.09,0.05,125.0,161629,76242,0,2023-12-08T19:07:22.287810
EKSN,Erickson Incorporated,0.25,0.235,0.0,469,0,0,2023-12-08T19:07:22.287810
SAMHF,Alleima AB (publ),7.3,1.31,21.87,3045,1,2270000000,2023-12-08T22:08:12.788218
BITF,Bitfarms Ltd.,2.59,0.45,21.03,55084000,12576000,835537000,2023-12-08T22:08:12.788218
CIFR,Cipher Mining Inc.,2.91,0.29,11.07,4276000,2188000,741061000,2023-12-08T22:08:12.788218
APLD,Applied Digital Corporation,6.58,0.95,16.87,5454000,3361000,699454000,2023-12-08T22:08:12.788218
APLT,"Applied Therapeutics, Inc.",3.11,0.44,16.48,3806000,1039000,240183000,2023-12-08T22:08:12.788218
KROEF,KR1 Plc,1.15,0.46,66.67,12600,8687,203975000,2023-12-08T22:08:12.788218
BDTX,"Black Diamond Therapeutics, Inc.",3.0,0.43,16.73,1403000,533300,154906000,2023-12-08T22:08:12.788218
VIRC,Virco Mfg. Corporation,8.51,1.5,21.4,673102,135987,139116000,2023-12-08T22:08:12.788218
ARBK,Argo Blockchain plc,1.86,0.31,20.0,783185,193722,99570000,2023-12-08T22:08:12.788218
CRVS,"Corvus Pharmaceuticals, Inc.",1.92,0.24,14.29,337222,192326,94154000,2023-12-08T22:08:12.788218
BTCM,BIT Mining Limited,4.09,0.39,10.54,166363,66690,45449000,2023-12-08T22:08:12.788218
XELB,"Xcel Brands, Inc.",1.3,0.15,13.04,99068,30638,25740000,2023-12-08T22:08:12.788218
POSC,Positron Corporation,1.582,0.492,45.14,53186,4149,22584000,2023-12-08T22:08:12.788218
PRTT,Protect Pharmaceutical Corporation,2.06,0.31,17.71,204647,29065,2944000,2023-12-08T22:08:12.788218
EXOD,"Exodus Movement, Inc.",3.99,1.97,97.52,528,295,0,2023-12-08T22:08:12.788218
GBAT,Grayscale Basic Attention Token Trust,3.7,0.68,22.52,1584,2964,0,2023-12-08T22:08:12.788218
SAMHF,Alleima AB (publ),7.3,1.31,21.87,3045,1,2270000000,2023-12-08T21:07:36.824391
BITF,Bitfarms Ltd.,2.59,0.45,21.03,54870000,12576000,835537000,2023-12-08T21:07:36.824391
CIFR,Cipher Mining Inc.,2.91,0.29,11.07,4273000,2188000,741061000,2023-12-08T21:07:36.824391
APLD,Applied Digital Corporation,6.58,0.95,16.87,5419000,3361000,699454000,2023-12-08T21:07:36.824391
APLT,"Applied Therapeutics, Inc.",3.11,0.44,16.48,3806000,1039000,240183000,2023-12-08T21:07:36.824391
KROEF,KR1 Plc,1.15,0.46,66.67,12600,8687,203975000,2023-12-08T21:07:36.824391
BDTX,"Black Diamond Therapeutics, Inc.",3.0,0.43,16.73,1402000,533300,154906000,2023-12-08T21:07:36.824391
VIRC,Virco Mfg. Corporation,8.51,1.5,21.4,673102,135987,139116000,2023-12-08T21:07:36.824391
ARBK,Argo Blockchain plc,1.86,0.31,20.0,783185,193722,99570000,2023-12-08T21:07:36.824391
CRVS,"Corvus Pharmaceuticals, Inc.",1.92,0.24,14.29,315933,192326,94154000,2023-12-08T21:07:36.824391
BTCM,BIT Mining Limited,4.09,0.39,10.54,165797,66690,45449000,2023-12-08T21:07:36.824391
XELB,"Xcel Brands, Inc.",1.31,0.16,13.91,99068,30638,25938000,2023-12-08T21:07:36.824391
POSC,Positron Corporation,1.582,0.492,45.14,53186,4149,22584000,2023-12-08T21:07:36.824391
PRTT,Protect Pharmaceutical Corporation,2.05,0.3,17.14,204124,29065,2929000,2023-12-08T21:07:36.824391
EXOD,"Exodus Movement, Inc.",3.99,1.97,97.52,528,295,0,2023-12-08T21:07:36.824391
GBAT,Grayscale Basic Attention Token Trust,3.7,0.68,22.52,1584,2964,0,2023-12-08T21:07:36.824391
PTPIF,PT. Chandra Asri Petrochemical Tbk,0.28,0.085,43.59,5000,626,34755000000,2023-12-08T21:07:39.131318
TCPFF,True Corporation Public Company Limited,0.1592,0.0192,13.71,132,949,6672000000,2023-12-08T21:07:39.131318
IPDQF,ImpediMed Limited,0.092,0.017,22.67,30000,26919,219497000,2023-12-08T21:07:39.131318
ALGEF,Alligator Energy Limited,0.04,0.007,21.21,126000,79273,165618000,2023-12-08T21:07:39.131318
DEFTF,DeFi Technologies Inc.,0.3745,0.0422,12.7,258227,97612,98948000,2023-12-08T21:07:39.131318
ARBKF,Argo Blockchain plc,0.1825,0.0295,19.28,110491,44269,97697000,2023-12-08T21:07:39.131318
