Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap,Date
ALGEF,Alligator Energy Limited,0.03,-0.01,-30.77,10000,196168,131780000,2026-07-31T10:07:14.027428
INO,"Inovio Pharmaceuticals, Inc.",0.66,-0.38,-36.92,33150000,2377000,53971000,2026-07-31T10:07:14.027428
NVSGF,Nevada Sunrise Metals Corporation,0.02,-0.01,-33.33,23125,145972,3216000,2026-07-31T10:07:14.027428
MRDH,"Meridian Holdings, Inc.",0.02,-0.01,-35.77,20000,22120,2506000,2026-07-31T10:07:14.027428
KNXFF,Vault Strategic Mining Corp.,0.12,-0.06,-32.23,10000,12224,1439000,2026-07-31T10:07:14.027428
MNGGF,Mongolia Growth Group Ltd.,0.01,-0.04,-80.0,129000,17237,255152,2026-07-31T10:07:14.027428
YYAI,AiRWA Inc.,0.17,-0.12,-41.38,31400000,797497,179105,2026-07-31T10:07:14.027428
KSMCF,KIRKSTONE METALS CORP.,0.09,-0.05,-36.45,5000,24957,0,2026-07-31T10:07:14.027428
