Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap,Date
AMXEF,Amex Exploration Inc.,0.845,-0.595,-41.32,119290,11551,97157000,2024-09-05T20:00:28.692796
LDSN,Luduson G Inc.,0.047,-0.0299,-38.88,13401,739950,26483000,2024-09-05T20:00:28.692796
INAB,"IN8bio, Inc.",0.3379,-0.1422,-29.62,1818000,407861,15809000,2024-09-05T20:00:28.692796
TIOG,"Tingo Group, Inc.",0.0101,-0.0049,-32.67,38798,42846,2444000,2024-09-05T20:00:28.692796
NVSGF,Nevada Sunrise Metals Corporation,0.01,-0.0047,-31.97,33000,73412,1108000,2024-09-05T20:00:28.692796
CONNQ,"Conn's, Inc.",0.0145,-0.0154,-51.51,2429,563988,360847,2024-09-05T20:00:28.692796
LOWLF,Lowell Farms Inc.,0.01,-0.019,-65.52,168811,37114,267994,2024-09-05T20:00:28.692796
RGTPQ,"RegenETP, Inc.",0.015,-0.205,-93.18,200,15027,110643,2024-09-05T20:00:28.692796
CCFLU,CCF Holdings LLC,0.01,-0.005,-33.33,21462,21746,0,2024-09-05T20:00:28.692796
