Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap,Date
TME,Tencent Music Entertainment Group,10.53,-0.44,-4.01,9730000,8171000,18107000000,2024-08-16T20:14:33.591744
JBSAY,JBS S.A.,13.37,-0.1,-0.74,19542,138680,14828000000,2024-08-16T20:14:33.591744
GPS,"The Gap, Inc.",24.23,0.01,0.04,4303000,8113000,9088000000,2024-08-16T20:14:33.591744
AGI,Alamos Gold Inc.,19.17,0.73,3.99,2854000,1977000,8053000000,2024-08-16T20:14:33.591744
DRS,"Leonardo DRS, Inc.",27.75,-0.05,-0.18,789785,665811,7318000000,2024-08-16T20:14:33.591744
S,"SentinelOne, Inc.",23.18,0.02,0.09,3655000,5847000,7252000000,2024-08-16T20:14:33.591744
HMY,Harmony Gold Mining Company Limited,10.66,0.53,5.23,4328000,4073000,6743000000,2024-08-16T20:14:33.591744
ZETA,Zeta Global Holdings Corp.,24.68,0.36,1.48,2841000,3029000,5428000000,2024-08-16T20:14:33.591744
DJT,Trump Media & Technology Group Corp.,23.06,-0.51,-2.16,4067000,7220000,4550000000,2024-08-16T20:14:33.591744
ADMA,"ADMA Biologics, Inc.",17.55,-0.04,-0.23,2671000,3541000,4091000000,2024-08-16T20:14:33.591744
BVN,Compañía de Minas Buenaventura S.A.A.,14.49,-0.02,-0.14,2096000,1334000,3883000000,2024-08-16T20:14:33.591744
TGTX,"TG Therapeutics, Inc.",22.08,1.14,5.44,4106000,2734000,3418000000,2024-08-16T20:14:33.591744
HIMS,"Hims & Hers Health, Inc.",15.57,-0.14,-0.89,5639000,11894000,3380000000,2024-08-16T20:14:33.591744
CLBT,Cellebrite DI Ltd.,16.44,1.48,9.89,3538000,1461000,3414000000,2024-08-16T20:14:33.591744
IOVA,"Iovance Biotherapeutics, Inc.",10.5,-0.17,-1.59,5016000,7332000,3187000000,2024-08-16T20:14:33.591744
MWA,"Mueller Water Products, Inc.",20.42,-0.11,-0.56,432270,1326000,3181000000,2024-08-16T20:14:33.591744
CLSK,"CleanSpark, Inc.",11.84,0.51,4.5,21546000,30482000,2938000000,2024-08-16T20:14:33.591744
PAY,"Paymentus Holdings, Inc.",23.58,0.41,1.77,141902,179033,2935000000,2024-08-16T20:14:33.591744
CARG,"CarGurus, Inc.",28.28,0.05,0.18,580350,811872,2923000000,2024-08-16T20:14:33.591744
GTBIF,Green Thumb Industries Inc.,11.23,0.37,3.41,47712,428922,2645000000,2024-08-16T20:14:33.591744
MYGN,"Myriad Genetics, Inc.",28.18,0.33,1.18,548607,787462,2559000000,2024-08-16T20:14:33.591744
ASPN,"Aspen Aerogels, Inc.",29.92,5.51,22.57,4108000,1382000,2306000000,2024-08-16T20:14:33.591744
VZIO,VIZIO Holding Corp.,11.12,0.05,0.48,1585000,2243000,2235000000,2024-08-16T20:14:33.591744
GRND,Grindr Inc.,11.84,0.18,1.54,346335,705829,2084000000,2024-08-16T20:14:33.591744
MLKN,"MillerKnoll, Inc.",29.0,-0.22,-0.75,293647,484085,2025000000,2024-08-16T20:14:33.591744
SEMR,"Semrush Holdings, Inc.",13.78,-0.06,-0.43,374541,547885,2018000000,2024-08-16T20:14:33.591744
AVPT,"AvePoint, Inc.",10.79,-0.2,-1.82,1509000,1298000,2015000000,2024-08-16T20:14:33.591744
KNSA,"Kiniksa Pharmaceuticals International, plc",26.0,-0.17,-0.65,498626,474054,1852000000,2024-08-16T20:14:33.591744
RVLV,"Revolve Group, Inc.",24.09,0.31,1.3,831975,994709,1701000000,2024-08-16T20:14:33.591744
WDOFF,Wesdome Gold Mines Ltd.,10.16,0.34,3.46,18936,130043,1524000000,2024-08-16T20:14:33.591744
SCS,Steelcase Inc.,13.09,-0.06,-0.49,307454,709188,1493000000,2024-08-16T20:14:33.591744
TORXF,Torex Gold Resources Inc.,17.16,0.28,1.66,11810,40246,1480000000,2024-08-16T20:14:33.591744
AYASF,Aya Gold & Silver Inc.,11.11,0.29,2.68,22684,60788,1455000000,2024-08-16T20:14:33.591744
SYRE,"Spyre Therapeutics, Inc.",26.04,-0.51,-1.92,286881,645514,1323000000,2024-08-16T20:14:33.591744
SPRY,"ARS Pharmaceuticals, Inc.",13.33,-0.21,-1.55,979656,789908,1292000000,2024-08-16T20:14:33.591744
ACMR,"ACM Research, Inc.",20.02,-0.29,-1.43,962599,1364000,1251000000,2024-08-16T20:14:33.591744
BLFS,"BioLife Solutions, Inc.",25.85,0.09,0.35,283287,339179,1193000000,2024-08-16T20:14:33.591744
WWW,"Wolverine World Wide, Inc.",13.11,0.23,1.79,976793,1188000,1049000000,2024-08-16T20:14:33.591744
TILE,"Interface, Inc.",17.47,0.24,1.39,322921,454054,1019000000,2024-08-16T20:14:33.591744
TARS,"Tarsus Pharmaceuticals, Inc.",25.69,-1.27,-4.71,1009000,744008,977291000,2024-08-16T20:14:33.591744
CGEM,"Cullinan Therapeutics, Inc.",16.71,-0.2,-1.18,610289,823733,968789000,2024-08-16T20:14:33.591744
CECO,CECO Environmental Corp.,27.6,-0.6,-2.13,301316,317459,964910000,2024-08-16T20:14:33.591744
QNST,"QuinStreet, Inc.",17.05,-0.45,-2.57,339194,407495,942469000,2024-08-16T20:14:33.591744
UTI,"Universal Technical Institute, Inc.",17.45,0.07,0.4,158930,582967,939016000,2024-08-16T20:14:33.591744
GCT,GigaCloud Technology Inc.,22.4,-0.05,-0.22,720441,1668000,926529000,2024-08-16T20:14:33.591744
NVRI,Enviri Corporation,11.31,0.23,2.03,379678,581906,905663000,2024-08-16T20:14:33.591744
DNTH,"Dianthus Therapeutics, Inc.",28.75,-1.06,-3.56,117427,271441,843936000,2024-08-16T20:14:33.591744
IMNM,"Immunome, Inc.",13.53,-0.42,-3.01,366026,927743,812536000,2024-08-16T20:14:33.591744
EVER,"EverQuote, Inc.",22.07,-0.91,-3.96,620815,519175,774308000,2024-08-16T20:14:33.591744
SIGA,"SIGA Technologies, Inc.",10.49,0.87,9.04,9910000,1035000,748664000,2024-08-16T20:14:33.591744
CSTL,"Castle Biosciences, Inc.",26.99,-0.15,-0.55,301950,380720,748616000,2024-08-16T20:14:33.591744
DAKT,"Daktronics, Inc.",15.33,-0.03,-0.2,465743,531446,710424000,2024-08-16T20:14:33.591744
UBXG,U-BX Technology Ltd.,22.0,2.21,11.17,272591,179922,594000000,2024-08-16T20:14:33.591744
MEC,"Mayville Engineering Company, Inc.",19.52,0.1,0.51,117741,117972,402493000,2024-08-16T20:14:33.591744
PKOH,Park-Ohio Holdings Corp.,29.25,0.39,1.35,21770,30354,385515000,2024-08-16T20:14:33.591744
HBB,Hamilton Beach Brands Holding Company,27.4,-0.19,-0.69,34907,71979,380781000,2024-08-16T20:14:33.591744
MG,"Mistras Group, Inc.",11.5,0.51,4.64,210338,87264,356240000,2024-08-16T20:14:33.591744
TRAK,"ReposiTrak, Inc.",18.45,-0.03,-0.16,12029,90882,336231000,2024-08-16T20:14:33.591744
GHM,Graham Corporation,29.35,-0.44,-1.48,21335,95951,319660000,2024-08-16T20:14:33.591744
FTEL,Fitell Corporation,15.57,-0.6,-3.71,43118,276429,313013000,2024-08-16T20:14:33.591744
APEI,"American Public Education, Inc.",14.83,0.31,2.13,185289,312183,262516000,2024-08-16T20:14:33.591744
BYRN,Byrna Technologies Inc.,10.53,-0.07,-0.66,95031,262156,239841000,2024-08-16T20:14:33.591744
SGC,"Superior Group of Companies, Inc.",13.07,-0.11,-0.83,150087,149995,219236000,2024-08-16T20:14:33.591744
EML,The Eastern Company,29.33,0.54,1.88,41088,35008,182680000,2024-08-16T20:14:33.591744
LAKE,"Lakeland Industries, Inc.",24.05,0.16,0.67,49936,51533,177871000,2024-08-16T20:14:33.591744
CRVO,CervoMed Inc.,18.26,1.22,7.16,93783,77635,150713000,2024-08-16T20:14:33.591744
TZOO,Travelzoo,11.87,-0.01,-0.08,154400,95377,145885000,2024-08-16T20:14:33.591744
IDR,"Idaho Strategic Resources, Inc.",10.07,0.18,1.82,94019,73933,130493000,2024-08-16T20:14:33.591744
FEIM,"Frequency Electronics, Inc.",12.86,1.03,8.71,124998,78843,122649000,2024-08-16T20:14:33.591744
