Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap,Date
BYROF,Byron Energy Limited,0.14,0.09,180.0,7333,19412,145642000,2024-01-17T06:18:28.630773
DTZZF,Dotz Nano Limited,0.24,0.1409,142.18,446810,57669,124132000,2024-01-17T06:18:28.630773
KDAGF,KDA GROUP INC,0.2,0.05,33.33,35000,14963,34243000,2024-01-17T06:18:28.630773
AMEGF,American Eagle Gold Corp.,0.3158,0.0798,33.83,151500,27929,35589000,2024-01-17T06:18:28.630773
ATBHF,Aston Bay Holdings Ltd.,0.095,0.0363,61.78,55450,86084,21854000,2024-01-17T06:18:28.630773
NUMD,"Nu-Med Plus, Inc.",0.0305,0.0052,20.55,25000,51931,2481000,2024-01-17T06:18:28.630773
NXGT,"Nexteligent Holdings, Inc.",0.024,0.006,33.33,78056,22608,2756000,2024-01-17T06:18:28.630773
