Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap,Date
FNMAI,Federal National Mortgage Association,3.31,0.33,11.07,9280,89457,4565000000,2024-03-06T21:23:15.133202
FMCKM,Federal Home Loan Mortgage Corporation,3.25,0.33,11.3,10906,176143,2615000000,2024-03-06T21:23:15.133202
CIFR,Cipher Mining Inc.,3.63,0.78,27.37,18375000,9988000,1076000000,2024-03-06T21:23:15.133202
BLND,"Blend Labs, Inc.",3.03,0.39,14.77,4312000,1549000,752043000,2024-03-06T21:23:15.133202
AQST,"Aquestive Therapeutics, Inc.",5.03,0.84,20.05,7004000,1113000,335840000,2024-03-06T21:23:15.133202
RGTI,"Rigetti Computing, Inc.",1.78,0.21,13.38,6690000,5053000,261032000,2024-03-06T21:23:15.133202
QBTS,D-Wave Quantum Inc.,1.6,0.24,17.65,7150000,3182000,255885000,2024-03-06T21:23:15.133202
BCHG,Grayscale Bitcoin Cash Trust,7.31,2.09,40.04,1051000,530621,232280000,2024-03-06T21:23:15.133202
CXDO,"Crexendo, Inc.",5.94,0.58,10.82,956673,260466,154646000,2024-03-06T21:23:15.133202
VINC,"Vincerx Pharma, Inc.",7.03,1.5,27.12,2036000,931818,150306000,2024-03-06T21:23:15.133202
ATOS,"Atossa Therapeutics, Inc.",1.15,0.13,12.75,2898000,444083,144100000,2024-03-06T21:23:15.133202
BYSI,BeyondSpring Inc.,3.42,0.52,17.93,2940000,119970,133433000,2024-03-06T21:23:15.133202
GSIT,"GSI Technology, Inc.",4.14,0.57,15.97,647554,419500,104721000,2024-03-06T21:23:15.133202
FDMIF,Founders Metals Inc.,1.4,0.13,10.24,24455,28849,82489000,2024-03-06T21:23:15.133202
NGLD,Nevada Canyon Gold Corp.,3.25,0.55,20.37,10723,15886,80015000,2024-03-06T21:23:15.133202
TPST,"Tempest Therapeutics, Inc.",3.68,0.51,16.09,1112000,902263,70831000,2024-03-06T21:23:15.133202
CBMJ,Conservative Broadcast Media & Journalism Inc.,1.78,0.19,11.95,215867,94452,31358000,2024-03-06T21:23:15.133202
FNMAP,Federal National Mortgage Association,6.14,0.64,11.64,5186,22926,0,2024-03-06T21:23:15.133202
ZCSH,Grayscale Zcash Trust (ZEC),6.6,1.3,24.53,85265,46840,0,2024-03-06T21:23:15.133202
HZEN,Grayscale Horizen Trust (ZEN),6.86,1.06,18.28,85295,49478,0,2024-03-06T21:23:15.133202
