Date,Open,High,Low,Close,Adj Close,Volume
2024-05-30,32.900001525878906,34.11000061035156,32.900001525878906,33.939998626708984,33.939998626708984,86700
2024-05-31,34.279998779296875,34.7400016784668,33.63999938964844,33.70000076293945,33.70000076293945,112000
2024-06-03,34.119998931884766,35.58000183105469,33.27000045776367,35.400001525878906,35.400001525878906,141900
2024-06-04,35.130001068115234,35.310001373291016,34.2400016784668,34.959999084472656,34.959999084472656,95600
2024-06-05,35.439998626708984,35.90999984741211,34.79999923706055,35.29999923706055,35.29999923706055,91400
2024-06-06,35.290000915527344,35.5,34.349998474121094,35.209999084472656,35.209999084472656,128000
2024-06-07,36.56999969482422,39.91999816894531,36.02000045776367,37.95000076293945,37.95000076293945,453400
2024-06-10,37.9900016784668,39.34000015258789,36.56999969482422,39.34000015258789,39.34000015258789,237900
2024-06-11,39.189998626708984,39.189998626708984,37.685001373291016,38.58000183105469,38.58000183105469,117600
2024-06-12,39.400001525878906,40.61000061035156,38.90999984741211,39.54999923706055,39.54999923706055,174400
2024-06-13,39.400001525878906,33.47999954223633,31.800100326538086,31.930700302124023,31.930700302124023,528001
