Date,Adj Close,Close,High,Low,Open,Volume
2024-01-03,2.25,2.25,2.25,2.25,2.25,435196
2024-01-04,2.25,2.25,2.25,2.25,2.25,337816
2024-01-05,2.0,2.0,2.25,2.0,2.25,243144
2024-01-08,2.0,2.0,2.25,2.0,2.25,514460
2024-01-09,1.75,1.75,2.0,1.75,2.0,636536
2024-01-10,1.75,1.75,2.0,1.75,1.75,489004
2024-01-11,1.75,1.75,2.0,1.75,2.0,636276
2024-01-12,1.75,1.75,1.75,1.75,1.75,732584
2024-01-16,1.25,1.25,1.5,1.25,1.5,276136
