Open,High,Low,Close,Adj Close,Volume
13.050000190734863,13.050000190734863,12.670000076293945,12.75,12.679335594177246,36300
12.75,12.800000190734863,12.569999694824219,12.630000114440918,12.5600004196167,49600
12.640000343322754,12.800000190734863,12.489999771118164,12.75,12.75,65900
12.739999771118164,13.579999923706055,12.699999809265137,13.369999885559082,13.369999885559082,171900
13.5,13.609999656677246,12.1899995803833,12.279999732971191,12.279999732971191,141100
12.34000015258789,12.34000015258789,11.829999923706055,11.869999885559082,11.869999885559082,58700
12.029999732971191,12.050000190734863,11.670000076293945,11.710000038146973,11.710000038146973,289800
11.75,12.1899995803833,11.75,12.020000457763672,12.020000457763672,71200
11.960000038146973,12.760000228881836,11.960000038146973,12.520000457763672,12.520000457763672,107000
10.470000267028809,10.470000267028809,8.640000343322754,8.989999771118164,8.989999771118164,325300
