Date,Open,High,Low,Close,Adj Close,Volume
2024-03-12,0.0284000001847744,0.0284000001847744,0.027400000020861626,0.027400000020861626,0.027400000020861626,200
2024-03-13,0.027400000020861626,0.027400000020861626,0.027400000020861626,0.027400000020861626,0.027400000020861626,0
2024-03-14,0.027400000020861626,0.027400000020861626,0.027400000020861626,0.027400000020861626,0.027400000020861626,0
2024-03-15,0.027400000020861626,0.027400000020861626,0.027400000020861626,0.027400000020861626,0.027400000020861626,0
2024-03-18,0.02969999983906746,0.02969999983906746,0.02969999983906746,0.02969999983906746,0.02969999983906746,10000
2024-03-19,0.02969999983906746,0.02969999983906746,0.02969999983906746,0.02969999983906746,0.02969999983906746,0
2024-03-20,0.02969999983906746,0.02969999983906746,0.02969999983906746,0.02969999983906746,0.02969999983906746,0
2024-03-21,0.03200000151991844,0.03700000047683716,0.03200000151991844,0.03700000047683716,0.03700000047683716,151500
2024-03-22,0.03700000047683716,0.03700000047683716,0.03700000047683716,0.03700000047683716,0.03700000047683716,0
2024-03-25,0.03999999910593033,0.054999999701976776,0.03999999910593033,0.05299999937415123,0.05299999937415123,4058301
2024-03-26,0.050999999046325684,0.05900000035762787,0.050200000405311584,0.0560000017285347,0.0560000017285347,960960
