Date,Open,High,Low,Close,Adj Close,Volume
2024-09-24,5.760000228881836,5.849999904632568,5.639999866485596,5.639999866485596,5.639999866485596,1287900
2024-09-25,5.650000095367432,5.670000076293945,5.485000133514404,5.559999942779541,5.559999942779541,1242200
2024-09-26,5.670000076293945,5.860000133514404,5.659999847412109,5.800000190734863,5.800000190734863,1087800
2024-09-27,5.889999866485596,6.03000020980835,5.860000133514404,5.889999866485596,5.889999866485596,932800
2024-09-30,5.949999809265137,5.965000152587891,5.75,5.809999942779541,5.809999942779541,1108000
2024-10-01,5.760000228881836,5.820000171661377,5.570000171661377,5.619999885559082,5.619999885559082,1138100
2024-10-02,5.619999885559082,5.644999980926514,5.5,5.510000228881836,5.510000228881836,1218200
2024-10-03,5.449999809265137,5.480000019073486,5.385000228881836,5.429999828338623,5.429999828338623,1362400
2024-10-04,5.489999771118164,5.510000228881836,5.380000114440918,5.400000095367432,5.400000095367432,1544300
2024-10-07,10.890000343322754,11.0,10.859999656677246,10.949999809265137,10.949999809265137,46903400
