Date,Open,High,Low,Close,Adj Close,Volume
2024-04-12,5.421000003814697,6.199999809265137,5.059999942779541,5.099999904632568,5.099999904632568,39600
2024-04-15,5.130000114440918,5.579999923706055,5.130000114440918,5.480000019073486,5.480000019073486,17700
2024-04-16,5.670000076293945,5.739999771118164,5.190000057220459,5.559999942779541,5.559999942779541,4800
2024-04-17,5.40500020980835,5.739999771118164,5.150000095367432,5.380000114440918,5.380000114440918,12600
2024-04-18,5.25,5.699999809265137,5.059999942779541,5.489999771118164,5.489999771118164,18200
2024-04-19,5.460000038146973,5.460000038146973,4.409999847412109,4.949999809265137,4.949999809265137,37200
2024-04-22,4.78000020980835,4.78000020980835,4.474999904632568,4.639999866485596,4.639999866485596,21800
2024-04-23,5.019999980926514,5.019999980926514,4.150000095367432,4.300000190734863,4.300000190734863,22400
2024-04-24,4.300000190734863,4.320000171661377,3.4000000953674316,3.7300000190734863,3.7300000190734863,98100
2024-04-25,3.5899999141693115,3.5899999141693115,2.5,2.5899999141693115,2.5899999141693115,233000
