Price,Adj Close,Close,High,Low,Open,Volume
Ticker,MALRY,MALRY,MALRY,MALRY,MALRY,MALRY
Date,,,,,,
2024-10-08 00:00:00+00:00,34.2400016784668,34.2400016784668,34.470001220703125,33.900001525878906,34.448001861572266,19700
2024-10-09 00:00:00+00:00,32.34000015258789,32.34000015258789,32.34000015258789,31.985000610351562,32.22600173950195,36900
2024-10-10 00:00:00+00:00,33.95000076293945,33.95000076293945,35.0,33.56999969482422,34.28499984741211,1600
2024-10-11 00:00:00+00:00,35.22999954223633,35.22999954223633,35.22999954223633,34.75,34.75,2100
2024-10-14 00:00:00+00:00,34.38999938964844,34.38999938964844,35.0,34.20000076293945,35.0,6300
2024-10-15 00:00:00+00:00,34.19200134277344,34.19200134277344,34.19200134277344,33.402000427246094,34.05500030517578,1300
2024-10-16 00:00:00+00:00,32.93299865722656,32.93299865722656,32.93299865722656,32.81999969482422,32.81999969482422,1900
2024-10-17 00:00:00+00:00,31.479999542236328,31.479999542236328,32.810001373291016,31.420000076293945,32.810001373291016,19400
2024-10-18 00:00:00+00:00,31.84000015258789,31.84000015258789,32.81999969482422,31.385000228881836,31.5,5100
2024-10-21 00:00:00+00:00,26.450000762939453,26.450000762939453,27.5,25.729999542236328,27.5,7730
