Date,Adj Close,Close,High,Low,Open,Volume
2024-05-08,1.6097500324249268,1.6097500324249268,1.6705000400543213,1.600000023841858,1.649999976158142,72254
2024-05-09,1.7005000114440918,1.7005000114440918,1.725000023841858,1.6230000257492065,1.649999976158142,92434
2024-05-10,1.6655000448226929,1.6655000448226929,1.7304999828338623,1.649999976158142,1.7024999856948853,162050
2024-05-13,1.6994999647140503,1.6994999647140503,1.7200000286102295,1.625,1.7000000476837158,112282
2024-05-14,1.6749999523162842,1.6749999523162842,1.7675000429153442,1.6649999618530273,1.7100000381469727,99131
2024-05-15,1.8700000047683716,1.8700000047683716,1.875,1.6749999523162842,1.7280000448226929,274347
2024-05-16,1.8899999856948853,1.8899999856948853,1.9500000476837158,1.8070000410079956,1.9500000476837158,100847
2024-05-17,2.0250000953674316,2.0250000953674316,2.124500036239624,1.8734999895095825,1.9824999570846558,418798
2024-05-20,2.049999952316284,2.049999952316284,2.0999999046325684,1.8569999933242798,1.975000023841858,163298
2024-05-21,0.40290001034736633,0.40290001034736633,0.41999998688697815,0.39750000834465027,0.41999998688697815,1500756
