Open,High,Low,Close,Adj Close,Volume
3.1600000858306885,3.9600000381469727,2.6700000762939453,3.049999952316284,3.049999952316284,319300
3.0899999141693115,3.686000108718872,3.0199999809265137,3.3399999141693115,3.3399999141693115,134100
3.369999885559082,3.5910000801086426,3.0799999237060547,3.5299999713897705,3.5299999713897705,122500
3.75,3.8949999809265137,3.5799999237060547,3.869999885559082,3.869999885559082,75900
3.9700000286102295,3.9700000286102295,3.640000104904175,3.7100000381469727,3.7100000381469727,81400
3.6500000953674316,3.859999895095825,3.2200000286102295,3.619999885559082,3.619999885559082,90900
3.609999895095825,3.690000057220459,3.4800000190734863,3.690000057220459,3.690000057220459,47100
3.6500000953674316,3.7799999713897705,3.2699999809265137,3.2799999713897705,3.2799999713897705,57300
3.3499999046325684,3.3949999809265137,3.009999990463257,3.0299999713897705,3.0299999713897705,87800
3.0199999809265137,3.640000104904175,3.0199999809265137,3.640000104904175,3.640000104904175,44300
