Open,High,Low,Close,Adj Close,Volume
6.880000114440918,6.889999866485596,6.679999828338623,6.78000020980835,6.78000020980835,112800
6.78000020980835,6.840000152587891,6.619999885559082,6.75,6.75,122600
6.739999771118164,6.769999980926514,6.360000133514404,6.380000114440918,6.380000114440918,204000
6.349999904632568,6.440000057220459,6.25,6.289999961853027,6.289999961853027,116500
6.329999923706055,6.5,6.289999961853027,6.46999979019165,6.46999979019165,114800
6.5,6.590000152587891,6.420000076293945,6.5,6.5,108600
6.519999980926514,6.670000076293945,6.440000057220459,6.460000038146973,6.460000038146973,105600
6.429999828338623,6.46999979019165,6.349999904632568,6.440000057220459,6.440000057220459,72500
6.449999809265137,6.449999809265137,6.25,6.260000228881836,6.260000228881836,128300
4.71999979019165,4.78000020980835,3.700000047683716,4.019999980926514,4.019999980926514,3343900
