Date,Open,High,Low,Close,Volume
2021-10-15,8.567000389099121,8.567000389099121,8.567000389099121,8.567000389099121,13100
2021-10-18,8.329999923706055,8.329999923706055,8.14799976348877,8.14799976348877,12600
2021-10-19,8.149999618530273,8.149999618530273,8.069999694824219,8.069999694824219,3600
2021-10-20,7.949999809265137,7.949999809265137,7.949999809265137,7.949999809265137,5300
2021-10-21,7.670000076293945,7.670000076293945,7.670000076293945,7.670000076293945,2600
2021-10-22,7.400000095367432,7.400000095367432,7.389999866485596,7.389999866485596,300
2021-10-25,7.329999923706055,7.369999885559082,7.300000190734863,7.349999904632568,13200
2021-10-26,7.75,7.900000095367432,7.75,7.900000095367432,14100
2021-10-27,7.75,7.900000095367432,7.650000095367432,7.699999809265137,32800
2021-10-28,7.75,7.800000190734863,7.75,7.75,6700
2021-10-29,7.75,7.800000190734863,7.75,7.800000190734863,7200
2021-11-01,7.900000095367432,7.900000095367432,7.78000020980835,7.849999904632568,10800
2021-11-02,7.860000133514404,7.869999885559082,7.849999904632568,7.849999904632568,2300
2021-11-03,7.400000095367432,7.449999809265137,7.400000095367432,7.449999809265137,1200
2021-11-04,7.449999809265137,7.449999809265137,7.380000114440918,7.380000114440918,2700
2021-11-05,7.349999904632568,7.449999809265137,7.349999904632568,7.449999809265137,8800
2021-11-08,7.449999809265137,7.5,7.449999809265137,7.5,4000
2021-11-09,7.800000190734863,8.050000190734863,7.800000190734863,8.050000190734863,1400
2021-11-10,8.100000381469727,8.25,8.100000381469727,8.100000381469727,11600
2021-11-11,8.100000381469727,8.25,8.100000381469727,8.25,7500
2021-11-12,8.0,8.300000190734863,7.840000152587891,8.25,5900
2021-11-15,8.75,8.75,8.218000411987305,8.350000381469727,15300
2021-11-16,8.350000381469727,8.350000381469727,8.180000305175781,8.180000305175781,11900
2021-11-17,8.300000190734863,8.550000190734863,8.300000190734863,8.4399995803833,4500
2021-11-18,8.5,9.0,8.5,9.0,15700
2021-11-19,9.0,9.550000190734863,8.880000114440918,9.399999618530273,8200
2021-11-22,9.949999809265137,9.949999809265137,8.75,9.4399995803833,9700
2021-11-23,9.550000190734863,9.550000190734863,9.050000190734863,9.050000190734863,6600
2021-11-24,8.680000305175781,9.300000190734863,8.680000305175781,9.300000190734863,5700
2021-11-26,9.050000190734863,9.5,8.800000190734863,8.800000190734863,9000
2021-11-29,9.199999809265137,9.199999809265137,9.050000190734863,9.1899995803833,2100
2021-11-30,9.25,9.600000381469727,9.25,9.300000190734863,3600
