Price,Adj Close,Close,High,Low,Open,Volume
Ticker,PTPI,PTPI,PTPI,PTPI,PTPI,PTPI
Date,,,,,,
2024-10-08 00:00:00+00:00,0.3319999873638153,0.3319999873638153,0.35499998927116394,0.33000001311302185,0.3400000035762787,73000
2024-10-09 00:00:00+00:00,0.3179999887943268,0.3179999887943268,0.3319999873638153,0.3100000023841858,0.3319999873638153,87700
2024-10-10 00:00:00+00:00,0.33500000834465027,0.33500000834465027,0.3400000035762787,0.3109999895095825,0.3149999976158142,95400
2024-10-11 00:00:00+00:00,0.3149999976158142,0.3149999976158142,0.33500000834465027,0.31299999356269836,0.3230000138282776,44900
2024-10-14 00:00:00+00:00,0.3050000071525574,0.3050000071525574,0.3199999928474426,0.2919999957084656,0.3100000023841858,195400
2024-10-15 00:00:00+00:00,0.3050000071525574,0.3050000071525574,0.3100000023841858,0.2849999964237213,0.30000001192092896,276800
2024-10-16 00:00:00+00:00,0.3499999940395355,0.3499999940395355,0.3580000102519989,0.30000001192092896,0.3059999942779541,763100
2024-10-17 00:00:00+00:00,0.3199999928474426,0.3199999928474426,0.3499999940395355,0.30399999022483826,0.34299999475479126,188000
2024-10-18 00:00:00+00:00,0.3199999928474426,0.3199999928474426,0.3400000035762787,0.3050000071525574,0.3149999976158142,87500
2024-10-21 00:00:00+00:00,0.4174000024795532,0.4174000024795532,0.4390000104904175,0.3199999928474426,0.32499998807907104,1769818
