Date,Adj Close,Close,High,Low,Open,Volume
2024-08-07,26.829999923706055,26.829999923706055,27.0049991607666,26.790000915527344,26.8700008392334,183516
2024-08-08,26.6299991607666,26.6299991607666,26.670000076293945,26.399999618530273,26.405000686645508,100204
2024-08-09,26.760000228881836,26.760000228881836,26.780000686645508,26.645000457763672,26.655000686645508,68850
2024-08-12,26.889999389648438,26.889999389648438,26.906749725341797,26.69499969482422,26.69499969482422,74354
2024-08-13,27.1200008392334,27.1200008392334,27.1200008392334,26.854999542236328,26.954999923706055,84720
2024-08-14,27.44499969482422,27.44499969482422,27.4950008392334,27.21500015258789,27.2549991607666,53182
2024-08-15,27.530000686645508,27.530000686645508,27.600000381469727,27.44499969482422,27.44499969482422,53802
2024-08-16,27.719999313354492,27.719999313354492,27.790000915527344,27.595050811767578,27.670000076293945,56658
2024-08-19,27.975000381469727,27.975000381469727,28.074499130249023,27.809999465942383,27.934999465942383,77852
2024-08-20,28.139999389648438,28.139999389648438,28.278200149536133,28.010000228881836,28.104999542236328,142752
