Open,High,Low,Close,Adj Close,Volume
5.630000114440918,5.630000114440918,5.03000020980835,5.050000190734863,5.050000190734863,18800
5.0,5.099999904632568,4.730000019073486,4.800000190734863,4.800000190734863,12800
4.789999961853027,5.019999980926514,4.739999771118164,4.940000057220459,4.940000057220459,6100
4.849999904632568,5.269999980926514,4.789999961853027,5.150000095367432,5.150000095367432,6600
5.139999866485596,5.139999866485596,4.760000228881836,4.900000095367432,4.900000095367432,11600
4.949999809265137,4.949999809265137,4.75,4.75,4.75,6900
4.71999979019165,4.920000076293945,4.71999979019165,4.800000190734863,4.800000190734863,4400
4.75,4.75,4.650000095367432,4.650000095367432,4.650000095367432,12800
4.699999809265137,4.699999809265137,3.450000047683716,3.4700000286102295,3.4700000286102295,62600
2.569999933242798,3.25,2.25,2.299999952316284,2.299999952316284,183500
