Open,High,Low,Close,Adj Close,Volume
1.8650000095367432,1.9500000476837158,1.4800000190734863,1.6200000047683716,1.6200000047683716,18157900
1.559999942779541,1.5700000524520874,1.3799999952316284,1.4800000190734863,1.4800000190734863,1147400
1.4199999570846558,1.559999942779541,1.4199999570846558,1.5399999618530273,1.5399999618530273,716700
1.5,1.559999942779541,1.4500000476837158,1.5,1.5,397700
1.4700000286102295,1.4980000257492065,1.399999976158142,1.409999966621399,1.409999966621399,380800
1.3899999856948853,1.399999976158142,1.2120000123977661,1.2599999904632568,1.2599999904632568,617100
1.2000000476837158,1.2300000190734863,1.125,1.1799999475479126,1.1799999475479126,359500
1.1399999856948853,1.1749999523162842,1.0499999523162842,1.059999942779541,1.059999942779541,347300
1.0700000524520874,1.149999976158142,1.0700000524520874,1.1399999856948853,1.1399999856948853,184400
1.100000023841858,1.1299999952316284,0.8500000238418579,0.8600000143051147,0.8600000143051147,1272900
