Date,Adj Close,Close,High,Low,Open,Volume
2024-06-03,3.8239998817443848,3.8239998817443848,3.8399999141693115,3.687999963760376,3.687999963760376,2871
2024-06-04,3.6640000343322754,3.6640000343322754,3.898400068283081,3.6640000343322754,3.7119998931884766,9045
2024-06-05,3.601599931716919,3.601599931716919,3.898400068283081,3.5999999046325684,3.6640000343322754,1321
2024-06-06,3.440000057220459,3.440000057220459,3.8959999084472656,3.440000057220459,3.5999999046325684,3641
2024-06-07,3.2880001068115234,3.2880001068115234,3.859999895095825,3.2880001068115234,3.5199999809265137,10874
2024-06-10,3.3359999656677246,3.3359999656677246,3.67576003074646,3.200000047683716,3.3519999980926514,3239
2024-06-11,3.5199999809265137,3.5199999809265137,3.7360000610351562,3.359999895095825,3.4800000190734863,2414
2024-06-12,3.585599899291992,3.585599899291992,3.5999999046325684,3.3024001121520996,3.330399990081787,18656
2024-06-13,3.6760001182556152,3.6760001182556152,3.680000066757202,3.359999895095825,3.552000045776367,8759
2024-06-14,3.3815999031066895,3.3815999031066895,3.6784000396728516,3.094399929046631,3.6784000396728516,21606
