Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap,Date
PLTR,Palantir Technologies Inc.,32.07,0.85,2.72,62998000,45005000,71817000000,2024-08-16T20:14:42.518117
IOT,Samsara Inc.,39.33,0.05,0.13,2352000,3920000,21663000000,2024-08-16T20:14:42.518117
AU,AngloGold Ashanti plc,31.48,1.08,3.55,2035000,1668000,13224000000,2024-08-16T20:14:42.518117
VNOM,"Viper Energy, Inc.",46.85,-0.83,-1.74,680339,998611,8287000000,2024-08-16T20:14:42.518117
DOCS,"Doximity, Inc.",35.77,0.8,2.29,2032000,1824000,6641000000,2024-08-16T20:14:42.518117
PACS,"PACS Group, Inc.",38.73,-1.19,-2.98,264494,427235,5902000000,2024-08-16T20:14:42.518117
VERX,"Vertex, Inc.",35.95,-0.41,-1.13,532601,1009000,5591000000,2024-08-16T20:14:42.518117
CRDO,Credo Technology Group Holding Ltd,30.42,0.08,0.26,1169000,2157000,5025000000,2024-08-16T20:14:42.518117
RNA,"Avidity Biosciences, Inc.",44.98,-0.51,-1.12,1329000,1615000,4939000000,2024-08-16T20:14:42.518117
SG,"Sweetgreen, Inc.",37.39,0.62,1.69,4765000,3037000,4268000000,2024-08-16T20:14:42.518117
FORM,"FormFactor, Inc.",49.91,0.79,1.61,532920,707054,3863000000,2024-08-16T20:14:42.518117
ALKT,"Alkami Technology, Inc.",31.29,-0.04,-0.13,354431,590416,3097000000,2024-08-16T20:14:42.518117
ATMU,Atmus Filtration Technologies Inc.,33.82,-0.12,-0.35,629558,1187000,2819000000,2024-08-16T20:14:42.518117
CRTO,Criteo S.A.,48.54,0.16,0.33,203804,482209,2718000000,2024-08-16T20:14:42.518117
KYMR,"Kymera Therapeutics, Inc.",43.8,-0.24,-0.54,286129,599720,2705000000,2024-08-16T20:14:42.518117
AGIO,"Agios Pharmaceuticals, Inc.",45.03,0.12,0.27,302696,739483,2562000000,2024-08-16T20:14:42.518117
TWST,Twist Bioscience Corporation,43.56,-1.44,-3.2,684055,1097000,2552000000,2024-08-16T20:14:42.518117
PTGX,"Protagonist Therapeutics, Inc.",41.4,0.81,2.0,801606,969358,2439000000,2024-08-16T20:14:42.518117
EPAC,Enerpac Tool Group Corp.,40.21,0.02,0.04,145413,312461,2183000000,2024-08-16T20:14:42.518117
JANX,"Janux Therapeutics, Inc.",41.32,-0.2,-0.48,310377,716756,2155000000,2024-08-16T20:14:42.518117
PHIN,PHINIA Inc.,45.46,0.58,1.29,403099,770101,1986000000,2024-08-16T20:14:42.518117
LPG,Dorian LPG Ltd.,38.41,0.81,2.15,509661,718958,1637000000,2024-08-16T20:14:42.518117
BHE,"Benchmark Electronics, Inc.",42.32,-0.34,-0.8,103417,384864,1528000000,2024-08-16T20:14:42.518117
VITL,"Vital Farms, Inc.",31.05,0.45,1.47,1303000,930435,1338000000,2024-08-16T20:14:42.518117
PETQ,"PetIQ, Inc.",30.59,0.09,0.3,682598,698982,914207000,2024-08-16T20:14:42.518117
DAVE,Dave Inc.,36.2,0.15,0.42,223470,332254,458625000,2024-08-16T20:14:42.518117
