Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap,Date
TOST,"Toast, Inc.",48.51,-0.79,-1.61,6490000,7874000,27551000000,2025-08-05T18:16:24.814683
CART,Maplebear Inc.,47.99,-0.74,-1.52,2108000,3611000,12328000000,2025-08-05T18:16:24.814683
DRS,"Leonardo DRS, Inc.",41.71,-0.54,-1.29,584074,1340000,11027000000,2025-08-05T18:16:24.814683
EXEL,"Exelixis, Inc.",37.2,0.39,1.06,1962000,3780000,10624000000,2025-08-05T18:16:24.814683
APG,APi Group Corporation,34.64,-0.95,-2.67,1058000,4070000,9518000000,2025-08-05T18:16:24.814683
IONQ,"IonQ, Inc.",41.98,2.12,5.32,12783000,23199000,9084000000,2025-08-05T18:16:24.814683
WAY,Waystar Holding Corp.,35.0,0.35,1.01,880652,1771000,6023000000,2025-08-05T18:16:24.814683
TTMI,"TTM Technologies, Inc.",44.17,-0.67,-1.48,1122000,1885000,4503000000,2025-08-05T18:16:24.814683
PAY,"Paymentus Holdings, Inc.",32.69,3.36,11.46,1373000,661764,4074000000,2025-08-05T18:16:24.814683
ATRC,"AtriCure, Inc.",36.74,0.39,1.07,220700,550154,1791000000,2025-08-05T18:16:24.814683
TARS,"Tarsus Pharmaceuticals, Inc.",41.49,-0.42,-1.0,159179,613098,1586000000,2025-08-05T18:16:24.814683
TRS,TriMas Corporation,35.38,0.38,1.09,137292,409875,1435000000,2025-08-05T18:16:24.814683
INOD,Innodata Inc.,44.5,-0.34,-0.76,1270000,2698000,1291000000,2025-08-05T18:16:24.814683
ATRO,Astronics Corporation,35.53,-0.34,-0.95,191608,581890,1246000000,2025-08-05T18:16:24.814683
