Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap,Date
LTRBF,Latrobe Magnesium Limited,0.02,0.01,54.87,50000,391692,46937000,2026-06-15T13:28:46.531964
DAZSF,Da Ai Zhi Shui International Holding Group Ltd,0.24,0.14,140.0,100,15762,31111000,2026-06-15T13:28:46.531964
HYTLF,HYTERRA LTD.,0.02,0.0,37.27,404910,347665,23698000,2026-06-15T13:28:46.531964
RMETF,Rackla Metals Inc.,0.11,0.03,32.93,173600,52342,20623000,2026-06-15T13:28:46.531964
NMTLF,New Age Metals Inc.,0.24,0.06,34.32,12000,45920,16409000,2026-06-15T13:28:46.531964
LIANY,LianBio,0.16,0.05,44.14,59,24474,12026000,2026-06-15T13:28:46.531964
BCDS,"BLAQclouds, Inc.",0.01,0.0,34.61,7589000,4562000,7784000,2026-06-15T13:28:46.531964
FAMDF,Futura Medical plc,0.03,0.02,319.72,250,22796,2500000,2026-06-15T13:28:46.531964
MRDH,"Meridian Holdings, Inc.",0.05,0.02,81.38,5000,22581,2467000,2026-06-15T13:28:46.531964
CLGCF,Clarity Metals Corp.,0.03,0.01,31.82,10000,36887,1835000,2026-06-15T13:28:46.531964
AENRF,AEONIAN RES CORP,0.11,0.03,41.25,51500,74907,0,2026-06-15T13:28:46.531964
BLEGD,"Branded Legacy, Inc.",0.08,0.05,150.0,5000,31800,0,2026-06-15T13:28:46.531964
NBRWF,Nabors Industries Ltd.,0.01,0.01,175.0,6006,20175,0,2026-06-15T13:28:46.531964
