Name,Symbol,% Assets
"Meta Platforms, Inc.",META,14.02%
Alphabet Inc.,GOOGL,9.82%
Alphabet Inc.,GOOG,7.81%
"Take-Two Interactive Software, Inc.",TTWO,4.88%
"Live Nation Entertainment, Inc.",LYV,4.76%
EchoStar Corporation,SATS,4.62%
The Walt Disney Company,DIS,4.53%
"Warner Bros. Discovery, Inc.",WBD,4.19%
Electronic Arts Inc.,EA,4.18%
Omnicom Group Inc.,OMC,4.05%
