Name,Symbol,% Assets
"Prologis, Inc.",PLD,10.56%
American Tower Corporation,AMT,9.44%
"Equinix, Inc.",EQIX,7.41%
Welltower Inc.,WELL,5.93%
"Simon Property Group, Inc.",SPG,5.10%
"Digital Realty Trust, Inc.",DLR,4.85%
Crown Castle Inc.,CCI,4.59%
Realty Income Corporation,O,4.56%
Public Storage,PSA,4.48%
"CoStar Group, Inc.",CSGP,3.30%
