Name,Symbol,% Assets
Vanguard Real Estate II Index,VRTPX,13.88%
"Prologis, Inc.",PLD,6.47%
American Tower Corporation,AMT,5.06%
"Equinix, Inc.",EQIX,4.95%
Welltower Inc.,WELL,4.85%
"Simon Property Group, Inc.",SPG,3.32%
"Digital Realty Trust, Inc.",DLR,3.15%
Realty Income Corporation,O,2.79%
Public Storage,PSA,2.76%
"CBRE Group, Inc.",CBRE,2.60%
