Name,Symbol,% Assets
Amazon.com Inc,AMZN,25.85%
Tesla Inc,TSLA,14.08%
The Home Depot Inc,HD,4.81%
McDonald's Corp,MCD,4.34%
Lowe's Companies Inc,LOW,3.94%
Nike Inc Class B,NKE,3.61%
Booking Holdings Inc,BKNG,3.43%
TJX Companies Inc,TJX,3.22%
Starbucks Corp,SBUX,3.08%
Chipotle Mexican Grill Inc,CMG,2.09%
