Name,Symbol,% Assets
Walmart Inc.,WMT,10.39%
Costco Wholesale Corporation,COST,9.00%
KO,KO,7.23%
PG,PG,7.17%
PM,PM,6.34%
CL,CL,4.58%
"Mondelez International, Inc.",MDLZ,4.38%
Monster Beverage Corporation,MNST,4.37%
"PepsiCo, Inc.",PEP,4.36%
MO,MO,4.22%
