Name,Symbol,% Assets
"NextEra Energy, Inc.",NEE,12.67%
Constellation Energy Corporation,CEG,8.36%
The Southern Company,SO,7.28%
Duke Energy Corporation,DUK,6.91%
"American Electric Power Company, Inc.",AEP,4.68%
Sempra,SRE,4.37%
Vistra Corp.,VST,3.89%
"Dominion Energy, Inc.",D,3.79%
Exelon Corporation,EXC,3.34%
Xcel Energy Inc.,XEL,3.31%
