Name,Symbol,% Assets
NVIDIA Corporation,NVDA,17.16%
Apple Inc.,AAPL,16.25%
Microsoft Corporation,MSFT,10.96%
Broadcom Inc.,AVGO,4.21%
MU,MU,3.82%
AMD,AMD,3.18%
"Cisco Systems, Inc.",CSCO,1.91%
"Applied Materials, Inc.",AMAT,1.69%
Intel Corporation,INTC,1.65%
Lam Research Corporation,LRCX,1.54%
