Name,Symbol,% Assets
Linde plc,LIN,13.07%
Newmont Corporation,NEM,5.91%
FCX,FCX,5.32%
The Sherwin-Williams Company,SHW,4.93%
Ecolab Inc.,ECL,4.75%
APD,APD,4.69%
"Corteva, Inc.",CTVA,4.65%
NUE,NUE,4.51%
Vulcan Materials Company,VMC,4.33%
CRH,CRH,4.18%
