Name,Symbol,% Assets
Exxon Mobil Corporation,XOM,23.28%
Chevron Corporation,CVX,16.02%
ConocoPhillips,COP,7.68%
"The Williams Companies, Inc.",WMB,4.44%
"EOG Resources, Inc.",EOG,4.31%
"ONEOK, Inc.",OKE,4.06%
Schlumberger Limited,SLB,3.86%
"Kinder Morgan, Inc.",KMI,3.64%
Phillips 66,PSX,3.36%
Marathon Petroleum Corporation,MPC,3.04%
