Name,Symbol,% Assets
NVIDIA Corporation,NVDA,14.84%
Microsoft Corporation,MSFT,12.55%
Apple Inc.,AAPL,12.32%
Broadcom Inc.,AVGO,5.06%
Palantir Technologies Inc.,PLTR,3.78%
Oracle Corporation,ORCL,3.67%
"Cisco Systems, Inc.",CSCO,2.47%
International Business Machines Corporation,IBM,2.39%
"Advanced Micro Devices, Inc.",AMD,2.39%
"Salesforce, Inc.",CRM,2.06%
