Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Sector,Industry,Rolling,Macd,Fibonacci,Pivot,RSI,Volume Horizontal,Buy Price,Buy Date,Sell Price,Sell Date,Stop Loss Price,Sell Stop Loss Date
2023-09-20,15.5000,16.2500,13.5000,14.0000,14.0000,43388,AULT,Industrials,Aerospace & Defense,0,0,0,0,0,0,14.2500,2023-09-21,,,,
2023-09-21,14.2500,14.2500,12.2500,12.7500,12.7500,39220,AULT,Industrials,Aerospace & Defense,0,0,0,0,0,0,12.2500,2023-09-22,,,,
2023-09-22,12.2500,13.0000,11.0000,11.7500,11.7500,26664,AULT,Industrials,Aerospace & Defense,0,0,0,0,0,0,11.5000,2023-09-25,,,,
2023-09-25,11.5000,11.7500,10.7500,11.0000,11.0000,27548,AULT,Industrials,Aerospace & Defense,0,0,0,0,0,0,10.7500,2023-09-26,,,,
2023-09-26,10.7500,11.2500,9.7500,10.2500,10.2500,33728,AULT,Industrials,Aerospace & Defense,0,0,0,0,0,0,10.0000,2023-09-27,,,,
2023-09-27,10.0000,10.7500,9.7500,9.7500,9.7500,32484,AULT,Industrials,Aerospace & Defense,0,0,0,0,0,0,10.0000,2023-09-28,,,,
2023-09-28,10.0000,10.2500,9.5000,10.0000,10.0000,25040,AULT,Industrials,Aerospace & Defense,0,0,0,1,0,0,10.2500,2023-09-29,,,,
2023-09-29,10.2500,10.5000,7.2500,8.2500,8.2500,123392,AULT,Industrials,Aerospace & Defense,0,0,0,0,0,0,8.5000,2023-10-02,,,,
2023-10-02,8.5000,8.7500,7.5000,7.7500,7.7500,56180,AULT,Industrials,Aerospace & Defense,0,0,0,0,0,0,7.7500,2023-10-03,,,,
2023-10-03,7.7500,8.0000,6.7500,7.5000,7.5000,41700,AULT,Industrials,Aerospace & Defense,0,0,0,0,0,0,7.5000,2023-10-04,9.7500,2023-10-05,,
2023-10-04,7.5000,7.5000,6.7500,7.0000,7.0000,51676,AULT,Industrials,Aerospace & Defense,0,0,0,0,0,0,7.7500,2023-10-05,,,,
2023-10-05,7.7500,9.7500,7.2500,7.2500,7.2500,394504,AULT,Industrials,Aerospace & Defense,0,0,0,0,0,0,7.5000,2023-10-06,9.7500,2023-10-05,,
2023-10-06,7.5000,7.5000,6.5000,6.7500,6.7500,98152,AULT,Industrials,Aerospace & Defense,0,0,0,0,0,0,8.5000,2023-10-09,,,,
2023-10-09,8.5000,8.5000,5.2500,6.0000,6.0000,1914500,AULT,Industrials,Aerospace & Defense,0,0,0,0,0,0,5.2500,2023-10-10,6.8250,2023-10-09,4.9875,2023-10-10
