,symbol,sector,industry,date,us,corr_pandas,corr_numpy
20,PGY,Technology,Software - Infrastructure,2023-12-14 06:18:04.304479,"XLK,VGT",-0.25419125233450807,-0.25419125233450807
21,SOUN,Technology,Software - Application,2023-12-14 06:18:04.304479,"XLK,VGT",0.7245804137152616,0.7245804137152616
22,BBAI,Technology,Information Technology Services,2023-12-14 06:18:04.304479,"XLK,VGT",0.8697287822991673,0.8697287822991673
23,LBSR,Basic Materials,Other Industrial Metals & Mining,2023-12-12 10:28:23.177880,XLB,0.6247399038757165,0.6247399038757165
24,LBSR,Basic Materials,Other Industrial Metals & Mining,2023-12-13 06:18:13.306791,XLB,0.6273056814083423,0.6273056814083423
25,LANRF,Basic Materials,Other Industrial Metals & Mining,2023-12-12 10:28:23.177880,XLB,-0.11729265860917382,-0.11729265860917382
26,BLTHD,Basic Materials,Other Industrial Metals & Mining,2023-12-12 10:28:23.177880,XLB,0.18259046448206231,0.18259046448206231
27,NULGF,Basic Materials,Gold,2023-12-14 06:18:06.864898,XLB,0.6406443361088445,0.6406443361088445
28,CAMZF,Basic Materials,Other Industrial Metals & Mining,2023-12-14 06:18:06.864898,XLB,0.6143229472953381,0.6143229472953381
29,CTCGF,Basic Materials,Gold,2023-12-14 06:18:06.864898,XLB,0.3468564812112065,0.3468564812112065
30,NILA,Basic Materials,Other Industrial Metals & Mining,2023-12-14 06:18:06.864898,XLB,0.6677257904165113,0.6677257904165113
31,NGLD,Basic Materials,Gold,2023-12-13 06:18:11.203518,XLB,-0.5598033475379738,-0.5598033475379738
32,MLYCF,Basic Materials,Other Industrial Metals & Mining,2023-12-13 06:18:13.306791,XLB,-0.40257726588839604,-0.40257726588839604
33,TRRXF,Basic Materials,Other Industrial Metals & Mining,2023-12-13 06:18:13.306791,XLB,-0.2394614811840754,-0.2394614811840754
34,GATO,Basic Materials,Other Precious Metals & Mining,2023-12-14 06:18:04.304479,XLB,0.8281890827815584,0.8281890827815584
35,PPTA,Basic Materials,Other Precious Metals & Mining,2023-12-14 06:18:04.304479,XLB,-0.4763169036490992,-0.4763169036490992
36,FDCT,Financial Services,Capital Markets,2023-12-12 10:28:23.177880,XLF,0.8052845288055599,0.8052845288055599
37,LUXFF,Financial Services,Capital Markets,2023-12-12 10:28:23.177880,XLF,-0.5154926845072424,-0.5154926845072424
38,AWON,Financial Services,Shell Companies,2023-12-14 06:18:06.864898,XLF,-0.527875946721369,-0.527875946721369
39,SYSX,Financial Services,Capital Markets,2023-12-14 06:18:06.864898,XLF,-0.19932137372992895,-0.19932137372992895
40,MSAH,Financial Services,Shell Companies,2023-12-13 06:18:13.306791,XLF,0.2663818864491254,0.2663818864491254
41,OPFI,Financial Services,Credit Services,2023-12-12 10:28:21.179059,XLF,0.8575715032054808,0.8575715032054808
42,SOFI,Financial Services,Credit Services,2023-12-14 06:18:04.304479,XLF,0.191430750006907,0.191430750006907
43,BITF,Financial Services,Capital Markets,2023-12-14 06:18:04.304479,XLF,0.7306542319017102,0.7306542319017102
44,WULF,Financial Services,Capital Markets,2023-12-14 06:18:04.304479,XLF,0.5493291925991065,0.5493291925991065
45,IREN,Financial Services,Capital Markets,2023-12-14 06:18:04.304479,XLF,0.7278622198348739,0.7278622198348739
46,ARBK,Financial Services,Capital Markets,2023-12-14 06:18:04.304479,XLF,0.6033042093231885,0.6033042093231885
47,BTCS,Financial Services,Capital Markets,2023-12-14 06:18:04.304479,XLF,0.7262215469901168,0.7262215469901168
48,ECDP,Real Estate,Real Estate - Diversified,2023-12-12 10:28:23.177880,"XLRE,VNQ",-0.6527853288760708,-0.6527853288760708
49,OPEN,Real Estate,Real Estate Services,2023-12-14 06:18:04.304479,"XLRE,VNQ",0.8263305041628782,0.8263305041628782
50,DHC,Real Estate,REIT - Healthcare Facilities,2023-12-14 06:18:04.304479,"XLRE,VNQ",0.8094246855742514,0.8094246855742514
51,PPCB,Healthcare,Biotechnology,2023-12-14 06:18:06.864898,XLV,0.14137844800354324,0.14137844800354324
52,NREG,Healthcare,Medical Care Facilities,2023-12-14 06:18:06.864898,XLV,0.5700563682628254,0.5700563682628254
53,GRCL,Healthcare,Biotechnology,2023-12-13 06:18:11.203518,XLV,0.20798402878809039,0.20798402878809039
54,KALV,Healthcare,Biotechnology,2023-12-13 06:18:11.203518,XLV,0.5110929948152942,0.5110929948152942
55,NEPH,Healthcare,Medical Instruments & Supplies,2023-12-13 06:18:11.203518,XLV,0.2441025500110158,0.2441025500110158
56,NEPH,Healthcare,Medical Instruments & Supplies,2023-12-14 06:18:04.304479,XLV,0.4016496380256388,0.4016496380256388
57,CNER,Healthcare,Diagnostics & Research,2023-12-13 06:18:13.306791,XLV,0.02337034855637772,0.02337034855637772
58,LOWLF,Healthcare,Drug Manufacturers - Specialty & Generic,2023-12-13 06:18:13.306791,XLV,0.04230200591987907,0.04230200591987907
59,NUMD,Healthcare,Medical Devices,2023-12-13 06:18:13.306791,XLV,0.028521615078701455,0.028521615078701455
60,MOR,Healthcare,Biotechnology,2023-12-12 10:28:21.179059,XLV,-0.13873559525602452,-0.13873559525602452
61,TPST,Healthcare,Biotechnology,2023-12-14 06:18:04.304479,XLV,-0.11478497391550331,-0.11478497391550331
62,NPRFF,Consumer Defensive,Packaged Foods,2023-12-13 06:18:13.306791,XLP,0.4761892666305806,0.4761892666305806
63,CPWR,Utilities,Utilities - Renewable,2023-12-13 06:18:13.306791,XLU,-0.07014498414571782,-0.07014498414571782
64,CHSN,Consumer Cyclical,Restaurants,2023-12-12 10:28:21.179059,XLY,0.3118877302719895,0.3118877302719895
65,DESP,Consumer Cyclical,Travel Services,2023-12-14 06:18:04.304479,XLY,0.910519353052895,0.910519353052895
