,Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Rolling,Macd,Fibonacci,Pivot,RSI,Signal Count
19285,2023-12-29,0.6899999976158142,0.949999988079071,0.6899999976158142,0.949999988079071,0.949999988079071,27343,RGBP,1,1,1,1,1,5
14927,2023-11-28,7.039999961853027,7.349999904632568,7.0,7.340000152587891,7.340000152587891,36138300,SOFI,1,1,1,1,1,5
8621,2023-11-16,0.2599999904632568,0.2599999904632568,0.25,0.2599999904632568,0.2599999904632568,372700,CATX,1,1,1,1,1,5
20168,2023-11-15,0.6349999904632568,0.7400000095367432,0.6349999904632568,0.7139999866485596,0.7139999866485596,3346500,GNS,1,1,1,1,1,5
7697,2023-11-01,4.880000114440918,5.03000020980835,4.769999980926514,4.960000038146973,4.960000038146973,13400,NERV,1,1,1,1,1,5
13749,2023-11-03,1.3300000429153442,1.4500000476837158,1.2100000381469729,1.3700000047683716,1.3700000047683716,363400,CRVS,1,1,1,1,1,5
20575,2023-11-03,3.9600000381469727,4.489999771118164,3.940000057220459,4.489999771118164,4.489999771118164,130900,ABEO,1,1,1,1,1,5
7531,2023-11-01,1.7799999713897705,1.830000042915344,1.7209999561309814,1.809999942779541,1.809999942779541,6332700,AUR,1,1,1,1,1,5
6139,2023-11-29,2.7799999713897705,2.950000047683716,2.759999990463257,2.900000095367432,2.900000095367432,22600,MRKR,1,1,1,1,1,5
6121,2023-11-02,2.869999885559082,3.25,2.8499999046325684,3.130000114440918,3.130000114440918,52000,MRKR,1,1,1,1,1,5
3848,2023-10-31,1.2599999904632568,1.3200000524520874,1.1799999475479126,1.2699999809265137,1.2699999809265137,5837600,PGY,1,1,1,1,1,5
22896,2023-10-31,4.929999828338623,5.199999809265137,4.84499979019165,5.119999885559082,5.119999885559082,1068800,OSCR,1,1,1,1,1,5
4844,2023-10-31,3.5,3.740000009536743,3.450000047683716,3.680000066757202,3.680000066757202,57200,VRCA,1,1,1,1,1,5
23431,2023-12-22,0.7200000286102295,0.7360000014305115,0.7200000286102295,0.7360000014305115,0.7360000014305115,5300,AHG,1,1,1,1,1,5
4264,2023-11-01,0.0348999984562397,0.0390000008046627,0.0322000011801719,0.0362999998033046,0.0362999998033046,502300,EAWD,1,1,1,1,1,5
4724,2024-01-08,0.878000020980835,1.0299999713897705,0.878000020980835,1.0,1.0,347100,CRDL,1,1,0,1,1,4
4840,2023-10-25,3.700000047683716,3.809999942779541,3.660000085830689,3.759999990463257,3.759999990463257,106100,VRCA,1,0,1,1,1,4
23519,2024-01-02,0.5400000214576721,0.6299999952316284,0.5400000214576721,0.6290000081062317,0.6290000081062317,577500,ELEV,1,1,0,1,1,4
4267,2023-11-06,0.0401000007987022,0.0430000014603138,0.0381000004708766,0.0421999990940094,0.0421999990940094,191500,EAWD,1,1,0,1,1,4
4846,2023-11-02,3.7799999713897705,3.9600000381469727,3.7799999713897705,3.9600000381469727,3.9600000381469727,92000,VRCA,1,1,0,1,1,4
4678,2023-10-31,0.8299999833106995,0.8349999785423279,0.8019999861717224,0.8299999833106995,0.8299999833106995,52500,CRDL,1,1,0,1,1,4
4858,2023-11-20,3.5,3.740000009536743,3.470000028610229,3.7100000381469727,3.7100000381469727,99900,VRCA,1,1,0,1,1,4
4856,2023-11-16,3.190000057220459,3.539999961853028,3.095999956130981,3.470000028610229,3.470000028610229,283500,VRCA,1,0,1,1,1,4
4099,2023-11-02,0.0557000003755092,0.0557000003755092,0.0557000003755092,0.0557000003755092,0.0557000003755092,3011,IXIXF,1,1,1,0,1,4
4874,2023-12-13,3.7200000286102295,3.839999914169312,3.619999885559082,3.839999914169312,3.839999914169312,59000,VRCA,1,1,0,1,1,4
4873,2023-12-12,3.680000066757202,3.7300000190734863,3.5309998989105225,3.7100000381469727,3.7100000381469727,40200,VRCA,1,1,0,1,1,4
4028,2023-11-20,2.190000057220459,2.3499999046325684,2.190000057220459,2.315000057220459,2.315000057220459,4998900,BTBT,1,1,0,1,1,4
23675,2023-12-15,6.820000171661377,7.5,6.820000171661377,7.489999771118164,7.489999771118164,29500,NCTY,1,0,1,1,1,4
4025,2023-11-15,2.130000114440918,2.2690000534057617,2.075000047683716,2.240000009536743,2.240000009536743,4546900,BTBT,1,0,1,1,1,4
5083,2023-10-17,2.539999961853028,2.640000104904175,2.430000066757202,2.609999895095825,2.609999895095825,1314000,GRCL,1,0,1,1,1,4
5047,2023-12-22,1.6399999856948853,1.8170000314712524,1.6399999856948853,1.809999942779541,1.809999942779541,540000,DGHI,1,1,0,1,1,4
23670,2023-12-08,6.150000095367432,7.230000019073486,6.099999904632568,6.789999961853027,6.789999961853027,114800,NCTY,1,1,0,1,1,4
4004,2023-10-17,2.049999952316284,2.2049999237060547,2.0299999713897705,2.140000104904175,2.140000104904175,2305100,BTBT,1,0,1,1,1,4
23490,2023-11-17,0.4799999892711639,0.5230000019073486,0.4510000050067901,0.5,0.5,315600,ELEV,1,1,0,1,1,4
22828,2023-11-21,0.699999988079071,0.75,0.699999988079071,0.75,0.75,27000,FTFT,1,1,0,1,1,4
23736,2023-11-14,0.0149499997496604,0.0149499997496604,0.0149499997496604,0.0149499997496604,0.0149499997496604,292,CSOC,1,1,1,0,1,4
3938,2023-11-09,0.1522199958562851,0.1522199958562851,0.1480000019073486,0.1519999951124191,0.1519999951124191,13600,AMEGF,1,1,0,1,1,4
22843,2023-12-13,0.8399999737739563,0.9399999976158142,0.8399999737739563,0.8999999761581421,0.8999999761581421,50400,FTFT,0,1,1,1,1,4
3849,2023-11-01,1.2899999618530271,1.2999999523162842,1.2400000095367432,1.2899999618530271,1.2899999618530271,5904400,PGY,1,1,0,1,1,4
22886,2023-10-17,5.0,5.460000038146973,4.960000038146973,5.320000171661377,5.320000171661377,1254500,OSCR,1,0,1,1,1,4
22760,2023-12-13,0.0299999993294477,0.0500999987125396,0.0299999993294477,0.0480000004172325,0.0480000004172325,50125,CRDV,1,1,0,1,1,4
26987,2023-10-30,0.006000000052154,0.0080000003799796,0.006000000052154,0.0080000003799796,0.0080000003799796,362100,FDCT,1,1,0,1,1,4
14502,2023-11-13,0.0979999974370002,0.1199999973177909,0.0979999974370002,0.1150000020861625,0.1150000020861625,45500,TMCWW,1,1,0,1,1,4
5196,2023-11-29,4.599999904632568,5.099999904632568,4.599999904632568,5.090000152587891,5.090000152587891,44400,MYNA,1,1,0,1,1,4
14108,2023-12-13,5.489999771118164,5.880000114440918,5.460000038146973,5.829999923706055,5.829999923706055,18000,NBTX,0,1,1,1,1,4
3878,2023-12-13,1.2699999809265137,1.399999976158142,1.2300000190734863,1.3899999856948853,1.3899999856948853,9914000,PGY,1,1,0,1,1,4
23489,2023-11-16,0.449999988079071,0.4850000143051147,0.421999990940094,0.4760000109672546,0.4760000109672546,221300,ELEV,1,1,1,0,1,4
3847,2023-10-30,1.1699999570846558,1.2699999809265137,1.1399999856948853,1.225000023841858,1.225000023841858,3862500,PGY,1,1,0,1,1,4
23767,2023-12-29,0.0299999993294477,0.0299999993294477,0.025000000372529,0.0288999993354082,0.0288999993354082,59754,CSOC,1,1,0,1,1,4
3880,2023-12-15,1.6299999952316284,1.6299999952316284,1.5,1.5800000429153442,1.5800000429153442,8138600,PGY,1,1,0,1,1,4
5174,2023-10-27,3.630000114440918,3.660000085830689,3.5799999237060547,3.640000104904175,3.640000104904175,4600,MYNA,1,0,1,1,1,4
5198,2023-12-01,4.960000038146973,5.159999847412109,4.769999980926514,5.159999847412109,5.159999847412109,2800,MYNA,1,1,0,1,1,4
3875,2023-12-08,1.2000000476837158,1.3480000495910645,1.2000000476837158,1.2799999713897705,1.2799999713897705,7741900,PGY,1,1,0,1,1,4
5268,2023-11-13,0.7749999761581421,0.7870000004768372,0.7645999789237976,0.7807999849319458,0.7807999849319458,21101,ACTHF,1,1,0,1,1,4
5270,2023-11-15,0.7749999761581421,0.800000011920929,0.7749999761581421,0.800000011920929,0.800000011920929,22616,ACTHF,1,1,0,1,1,4
5266,2023-11-09,0.7506999969482422,0.7649999856948853,0.7334499955177307,0.7649999856948853,0.7649999856948853,17786,ACTHF,1,0,1,1,1,4
5442,2023-11-24,5.349999904632568,5.534999847412109,5.349999904632568,5.5,5.5,15500,AIRS,1,1,0,1,1,4
14086,2023-11-10,5.650000095367432,5.849999904632568,5.579999923706055,5.849999904632568,5.849999904632568,800,NBTX,1,1,0,1,1,4
3845,2023-10-26,1.2200000286102295,1.309999942779541,1.1399999856948853,1.2699999809265137,1.2699999809265137,13922800,PGY,1,0,1,1,1,4
23876,2023-10-09,0.5699999928474426,0.6000000238418579,0.5600000023841858,0.5899999737739563,0.5899999737739563,864300,FNMA,1,0,1,1,1,4
3810,2024-01-05,0.1800000071525573,0.2000000029802322,0.1800000071525573,0.2000000029802322,0.2000000029802322,5700,ABCP,1,1,0,1,1,4
22362,2024-01-09,0.0399999991059303,0.0399999991059303,0.0399999991059303,0.0399999991059303,0.0399999991059303,20001,HIHI,1,1,1,0,1,4
5511,2023-11-03,1.5099999904632568,1.5199999809265137,1.4900000095367432,1.5099999904632568,1.5099999904632568,3900,BIMI,1,1,0,1,1,4
5556,2024-01-10,2.109999895095825,2.1600000858306885,2.0899999141693115,2.140000104904175,2.140000104904175,7800,BIMI,1,0,1,1,1,4
26922,2023-11-24,7.610000133514404,8.149999618530273,7.519999980926514,8.149999618530273,8.149999618530273,123200,KALV,1,1,0,1,1,4
22391,2023-10-20,2.259999990463257,2.380000114440918,2.25,2.3399999141693115,2.3399999141693115,58400,OPFI,1,0,1,1,1,4
22316,2023-11-01,0.050000000745058,0.050000000745058,0.0450000017881393,0.0485000014305114,0.0485000014305114,105545,HIHI,1,1,0,1,1,4
23927,2023-12-20,0.7300000190734863,0.75,0.7200000286102295,0.7400000095367432,0.7400000095367432,1255100,FNMA,1,1,0,1,1,4
22343,2023-12-11,0.0480000004172325,0.0480000004172325,0.0445000007748603,0.0474999994039535,0.0474999994039535,9400,HIHI,1,1,0,1,1,4
23928,2023-12-21,0.7400000095367432,0.7599999904632568,0.7200000286102295,0.75,0.75,2660500,FNMA,1,1,0,1,1,4
22337,2023-12-01,0.0465000011026859,0.0465000011026859,0.0450000017881393,0.0465000011026859,0.0465000011026859,3288,HIHI,1,1,0,1,1,4
26924,2023-11-28,8.100000381469727,8.539999961853027,7.860000133514404,8.359999656677246,8.359999656677246,158700,KALV,1,1,0,1,1,4
5643,2023-11-20,0.0003999999898951,0.0005000000237487,0.0003999999898951,0.0005000000237487,0.0005000000237487,293339,OIBZQ,1,1,0,1,1,4
23980,2023-11-07,1.7300000190734863,1.830000042915344,1.7000000476837158,1.7699999809265137,1.7699999809265137,19800,CXDO,0,1,1,1,1,4
22322,2023-11-09,0.0549999997019767,0.0549999997019767,0.0549999997019767,0.0549999997019767,0.0549999997019767,25028,HIHI,1,1,1,0,1,4
22318,2023-11-03,0.0599999986588954,0.0599999986588954,0.0599999986588954,0.0599999986588954,0.0599999986588954,600,HIHI,1,1,1,0,1,4
22327,2023-11-16,0.0450000017881393,0.0540000014007091,0.0450000017881393,0.0540000014007091,0.0540000014007091,68600,HIHI,1,1,0,1,1,4
5797,2023-11-02,4.349999904632568,4.579999923706055,4.28000020980835,4.440000057220459,4.440000057220459,116500,ETON,1,1,0,1,1,4
5796,2023-11-01,4.269999980926514,4.380000114440918,4.099999904632568,4.260000228881836,4.260000228881836,46900,ETON,1,1,0,1,1,4
5795,2023-10-31,3.940000057220459,4.320000171661377,3.940000057220459,4.21999979019165,4.21999979019165,65600,ETON,1,1,0,1,1,4
5794,2023-10-30,3.7899999618530273,3.950000047683716,3.7799999713897705,3.910000085830689,3.910000085830689,87800,ETON,1,1,0,1,1,4
22215,2023-10-06,0.9959999918937684,1.090000033378601,0.9800000190734864,1.0700000524520874,1.0700000524520874,5178300,BITF,1,0,1,1,1,4
5798,2023-11-03,4.449999809265137,4.599999904632568,4.320000171661377,4.550000190734863,4.550000190734863,66500,ETON,1,1,0,1,1,4
5883,2023-11-07,3.690000057220459,4.050000190734863,3.660000085830689,4.050000190734863,4.050000190734863,71200,SOS,1,1,0,1,1,4
5914,2023-12-21,4.900000095367432,4.96999979019165,4.465000152587891,4.71999979019165,4.71999979019165,351200,SOS,1,1,0,1,1,4
24070,2023-11-16,1.50600004196167,1.5499999523162842,1.4199999570846558,1.5,1.5,60600,IVVD,1,1,0,1,1,4
5881,2023-11-03,3.380000114440918,3.9800000190734863,3.3499999046325684,3.890000104904175,3.890000104904175,127700,SOS,1,1,0,1,1,4
5880,2023-11-02,3.509999990463257,3.5999999046325684,3.345000028610229,3.5799999237060547,3.5799999237060547,123600,SOS,1,0,1,1,1,4
14539,2024-01-08,0.1480000019073486,0.1689999997615814,0.1220000013709068,0.1599999964237213,0.1599999964237213,453400,TMCWW,0,1,1,1,1,4
4743,2023-10-05,0.0299999993294477,0.0430000014603138,0.0260000005364418,0.0430000014603138,0.0430000014603138,68700,MRGE,1,0,1,1,1,4
6120,2023-11-01,2.400000095367432,2.940000057220459,2.400000095367432,2.809999942779541,2.809999942779541,33500,MRKR,1,1,0,1,1,4
21823,2023-11-08,1.4199999570846558,1.4299999475479126,1.309999942779541,1.3899999856948853,1.3899999856948853,14900,ADAG,1,1,0,1,1,4
4112,2023-11-21,0.0379600003361702,0.0405000001192092,0.0379600003361702,0.0405000001192092,0.0405000001192092,5002,IXIXF,1,1,0,1,1,4
6138,2023-11-28,2.700000047683716,2.8399999141693115,2.609999895095825,2.819999933242798,2.819999933242798,19000,MRKR,1,1,0,1,1,4
24188,2024-01-09,0.0099999997764825,0.0120000001043081,0.0099999997764825,0.0120000001043081,0.0120000001043081,335000,VDRM,1,1,0,1,1,4
6124,2023-11-07,3.0,3.190000057220459,2.900000095367432,3.069999933242798,3.069999933242798,10300,MRKR,1,1,0,1,1,4
6136,2023-11-24,2.700000047683716,2.799999952316284,2.640000104904175,2.789999961853028,2.789999961853028,5500,MRKR,1,1,0,1,1,4
6367,2023-10-30,0.1084999963641166,0.1132000014185905,0.100500002503395,0.1089999973773956,0.1089999973773956,11200,SMURF,0,1,1,1,1,4
6352,2023-10-09,0.1070000007748603,0.1147999987006187,0.1070000007748603,0.1147999987006187,0.1147999987006187,11800,SMURF,1,0,1,1,1,4
24223,2023-10-30,5.010000228881836,6.800000190734863,3.5299999713897705,5.489999771118164,5.489999771118164,43204600,RVPH,1,1,0,1,1,4
24260,2023-12-21,3.7899999618530273,3.9800000190734863,3.7200000286102295,3.849999904632568,3.849999904632568,496800,RVPH,1,1,1,0,1,4
6362,2023-10-23,0.0997999981045723,0.1150000020861625,0.0997999981045723,0.1150000020861625,0.1150000020861625,126800,SMURF,1,0,1,1,1,4
26887,2023-10-05,9.0,9.880000114440918,8.930000305175781,9.8100004196167,9.8100004196167,257800,KALV,1,0,1,1,1,4
21641,2023-10-17,3.299999952316284,3.299999952316284,2.700000047683716,3.240000009536743,3.240000009536743,859,BLTHD,1,0,1,1,1,4
21583,2023-11-21,0.0478999987244606,0.0544000007212162,0.0478999987244606,0.0544000007212162,0.0544000007212162,400,MEIL,0,1,1,1,1,4
6379,2023-11-15,0.091399997472763,0.1036000028252601,0.091399997472763,0.1036000028252601,0.1036000028252601,19400,SMURF,1,1,0,1,1,4
13926,2023-11-20,4.400000095367432,4.5,4.300000190734863,4.480000019073486,4.480000019073486,255400,ZVRA,1,1,0,1,1,4
24261,2023-12-22,4.300000190734863,4.71999979019165,4.190000057220459,4.639999866485596,4.639999866485596,3508300,RVPH,1,1,0,1,1,4
3372,2023-12-01,1.590000033378601,1.649999976158142,1.5800000429153442,1.6299999952316284,1.6299999952316284,57600,PYXS,1,1,0,1,1,4
21569,2023-11-01,0.0485000014305114,0.0485000014305114,0.0410000011324882,0.0450000017881393,0.0450000017881393,20800,MEIL,1,1,0,1,1,4
26913,2023-11-10,7.900000095367432,8.140000343322754,7.800000190734863,8.069999694824219,8.069999694824219,378800,KALV,1,1,0,1,1,4
21516,2023-12-14,0.2960000038146972,0.3109999895095825,0.2840000092983246,0.3000000119209289,0.3000000119209289,233100,DMGGF,1,0,1,1,1,4
3370,2023-11-29,1.5,1.559999942779541,1.4800000190734863,1.5549999475479126,1.5549999475479126,75000,PYXS,1,1,0,1,1,4
3367,2023-11-24,1.3600000143051147,1.559999942779541,1.350000023841858,1.5499999523162842,1.5499999523162842,130500,PYXS,1,1,0,1,1,4
26906,2023-11-01,8.25,8.770000457763672,8.140000343322754,8.770000457763672,8.770000457763672,162200,KALV,1,0,1,1,1,4
24263,2023-12-27,5.159999847412109,5.300000190734863,4.860000133514404,5.139999866485596,5.139999866485596,1052000,RVPH,1,1,0,1,1,4
14015,2023-11-29,0.1299999952316284,0.1299999952316284,0.0710000023245811,0.1299999952316284,0.1299999952316284,95400,ELMSQ,0,1,1,1,1,4
24262,2023-12-26,4.710000038146973,5.400000095367432,4.699999809265137,5.099999904632568,5.099999904632568,1692900,RVPH,1,1,0,1,1,4
24320,2023-11-17,0.9449999928474426,1.0,0.9449999928474426,0.9900000095367432,0.9900000095367432,10500,BTCY,1,1,1,1,0,4
6377,2023-11-13,0.0808999985456466,0.1120000034570694,0.0808999985456466,0.1120000034570694,0.1120000034570694,136300,SMURF,1,0,1,1,1,4
6564,2023-12-13,0.0071000000461936,0.0120000001043081,0.0070000002160668,0.0120000001043081,0.0120000001043081,14880,VXLLF,1,1,0,1,1,4
3352,2023-11-02,1.7799999713897705,1.8480000495910645,1.6799999475479126,1.7400000095367432,1.7400000095367432,71600,PYXS,1,1,1,0,1,4
14003,2023-11-10,0.1000000014901161,0.2000000029802322,0.0700000002980232,0.1400000005960464,0.1400000005960464,380800,ELMSQ,1,1,0,1,1,4
3392,2024-01-02,1.7899999618530271,2.1700000762939453,1.7899999618530271,2.059999942779541,2.059999942779541,485600,PYXS,0,1,1,1,1,4
13909,2023-10-26,4.389999866485596,4.59499979019165,4.389999866485596,4.5,4.5,134600,ZVRA,1,0,1,1,1,4
6471,2023-11-29,0.6499999761581421,0.8180000185966492,0.6499999761581421,0.8180000185966492,0.8180000185966492,4700,RNWWW,0,1,1,1,1,4
3384,2023-12-19,1.75,1.830000042915344,1.75,1.815000057220459,1.815000057220459,113700,PYXS,0,1,1,1,1,4
21520,2023-12-20,0.3429999947547912,0.4199999868869781,0.3420000076293945,0.3869999945163727,0.3869999945163727,2310200,DMGGF,1,1,0,1,1,4
21518,2023-12-18,0.3100000023841858,0.3389999866485595,0.2989999949932098,0.3339999914169311,0.3339999914169311,158500,DMGGF,1,1,0,1,1,4
6628,2023-11-15,5.269999980926514,5.480000019073486,5.239999771118164,5.460000038146973,5.460000038146973,283400,GATO,1,1,0,1,1,4
6627,2023-11-14,4.980000019073486,5.289999961853027,4.949999809265137,5.199999809265137,5.199999809265137,276700,GATO,1,1,0,1,1,4
21474,2023-10-16,0.181999996304512,0.2199999988079071,0.1749999970197677,0.2199999988079071,0.2199999988079071,369300,DMGGF,1,0,1,1,1,4
232,2023-12-15,7.440000057220459,7.71999979019165,7.005000114440918,7.539999961853027,7.539999961853027,1217400,IMNM,1,0,1,1,1,4
233,2023-12-18,7.539999961853027,7.860000133514404,7.482999801635742,7.75,7.75,393200,IMNM,1,1,0,1,1,4
236,2023-12-21,8.399999618530273,8.399999618530273,8.149999618530273,8.359999656677246,8.359999656677246,155400,IMNM,1,1,0,1,1,4
3351,2023-11-01,1.659999966621399,1.7790000438690186,1.6200000047683716,1.7300000190734863,1.7300000190734863,93500,PYXS,1,1,0,1,1,4
13925,2023-11-17,4.329999923706055,4.429999828338623,4.230000019073486,4.340000152587891,4.340000152587891,183900,ZVRA,1,1,0,1,1,4
6575,2023-12-29,0.0052999998442828,0.0199999995529651,0.0052999998442828,0.0199999995529651,0.0199999995529651,117462,VXLLF,1,1,0,1,1,4
13912,2023-10-31,4.300000190734863,4.605000019073486,4.300000190734863,4.480000019073486,4.480000019073486,125100,ZVRA,1,1,0,1,1,4
21468,2023-10-06,0.1879999935626983,0.2029999941587448,0.1860000044107437,0.2029999941587448,0.2029999941587448,91700,DMGGF,1,0,1,1,1,4
6704,2023-11-06,2.450000047683716,3.0,2.450000047683716,2.5799999237060547,2.5799999237060547,20700,PRFX,1,1,1,0,1,4
6703,2023-11-03,2.2100000381469727,2.4100000858306885,2.2100000381469727,2.369999885559082,2.369999885559082,6600,PRFX,1,1,0,1,1,4
6631,2023-11-20,5.46999979019165,5.840000152587891,5.460000038146973,5.829999923706055,5.829999923706055,174900,GATO,1,1,0,1,1,4
6737,2023-12-22,2.490000009536743,3.130000114440918,2.450000047683716,2.940000057220459,2.940000057220459,99800,PRFX,0,1,1,1,1,4
3266,2023-10-30,0.9700000286102296,1.0800000429153442,0.9700000286102296,1.0,1.0,15600,MFH,1,1,1,0,1,4
234,2023-12-19,8.100000381469727,8.350000381469727,7.760000228881836,8.130000114440918,8.130000114440918,517700,IMNM,1,1,0,1,1,4
6747,2024-01-09,2.640000104904175,2.9800000190734863,2.640000104904175,2.8580000400543213,2.8580000400543213,56800,PRFX,1,0,1,1,1,4
3268,2023-11-01,0.9900000095367432,1.090000033378601,0.9100000262260436,1.0199999809265137,1.0199999809265137,61400,MFH,1,1,0,1,1,4
3289,2023-12-01,0.9300000071525574,0.9900000095367432,0.9300000071525574,0.959999978542328,0.959999978542328,2300,MFH,1,1,1,0,1,4
21226,2023-10-17,0.0098999999463558,0.0168999992311,0.0098999999463558,0.0138999996706843,0.0138999996706843,300400,DIGP,1,0,1,1,1,4
14653,2023-10-23,0.1000000014901161,0.1099999994039535,0.0890000015497207,0.1059999987483024,0.1059999987483024,23000,ARBKF,1,0,1,1,1,4
13951,2023-12-27,5.010000228881836,5.610000133514404,5.010000228881836,5.480000019073486,5.480000019073486,619400,ZVRA,1,1,0,1,1,4
21102,2023-12-15,4.900000095367432,5.059999942779541,4.900000095367432,5.010000228881836,5.010000228881836,1164700,AUTL,1,1,0,1,1,4
3225,2023-12-29,0.6200000047683716,0.6200000047683716,0.550000011920929,0.5899999737739563,0.5899999737739563,13200,NYMXF,1,1,0,1,1,4
21055,2023-10-10,2.2699999809265137,2.4549999237060547,2.220000028610229,2.440000057220459,2.440000057220459,225700,AUTL,1,0,1,1,1,4
3192,2023-11-10,0.9200000166893004,1.0,0.8700000047683716,1.0,1.0,23900,NYMXF,1,0,1,1,1,4
6960,2023-11-15,4.135000228881836,4.150000095367432,4.099999904632568,4.150000095367432,4.150000095367432,5100,OPXS,1,1,0,1,1,4
6959,2023-11-14,3.990000009536743,4.150000095367432,3.9800000190734863,4.076000213623047,4.076000213623047,31300,OPXS,1,1,0,1,1,4
21101,2023-12-14,4.949999809265137,5.139999866485596,4.71999979019165,4.96999979019165,4.96999979019165,1776400,AUTL,1,1,0,1,1,4
6961,2023-11-16,4.150000095367432,4.199999809265137,4.119999885559082,4.199999809265137,4.199999809265137,6000,OPXS,1,1,0,1,1,4
7139,2023-12-05,14.210000038146973,15.350000381469728,14.210000038146973,15.0,15.0,29100,PROP,1,1,0,1,1,4
7136,2023-11-30,15.449999809265137,16.450000762939453,15.449999809265137,16.25,16.25,79000,PROP,1,1,0,1,1,4
