,Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Rolling,Macd,Fibonacci,Pivot,RSI,Signal Count
15525,2023-12-21,0.0982000008225441,0.1172000020742416,0.0901999995112419,0.1099999994039535,0.1099999994039535,106517,NGRBF,1,1,1,1,1,5
15533,2024-01-04,0.1112999990582466,0.1112999990582466,0.0961000025272369,0.1070000007748603,0.1070000007748603,66072,NGRBF,1,1,1,1,1,5
15694,2023-12-27,0.0430000014603138,0.0430000014603138,0.0350000001490116,0.0399999991059303,0.0399999991059303,14000,TZPC,1,1,1,1,1,5
15927,2023-12-04,0.0126200001686811,0.017799999564886,0.0120000001043081,0.017799999564886,0.017799999564886,261641,SNNC,1,1,1,1,1,5
15923,2023-11-28,0.0116900000721216,0.0142000000923872,0.0116900000721216,0.0142000000923872,0.0142000000923872,6000,SNNC,1,1,1,1,1,5
12010,2023-11-08,1.309999942779541,1.4500000476837158,1.2999999523162842,1.4199999570846558,1.4199999570846558,110900,NGENF,1,1,1,1,1,5
26249,2023-11-10,0.8610000014305115,1.0399999618530271,0.8299999833106995,1.034999966621399,1.034999966621399,40800,ABTS,1,1,1,1,1,5
11938,2023-11-24,0.9200000166893004,0.9700000286102296,0.9200000166893004,0.949999988079071,0.949999988079071,52200,QNCX,1,1,1,1,1,5
1196,2023-10-31,6.389999866485596,6.630000114440918,6.324999809265137,6.630000114440918,6.630000114440918,244400,DESP,1,1,1,1,1,5
11435,2023-11-16,1.5,1.870000004768372,1.5,1.870000004768372,1.870000004768372,53200,HLGN,1,1,1,1,1,5
1294,2023-11-21,0.1494999974966049,0.1494999974966049,0.1490000039339065,0.1494999974966049,0.1494999974966049,4520,NUKK,1,1,1,1,1,5
1368,2023-11-10,0.0089999996125698,0.0135000003501772,0.0080000003799796,0.0135000003501772,0.0135000003501772,426800,JKSM,1,1,1,1,1,5
11195,2023-11-30,1.9700000286102293,2.194999933242798,1.9609999656677248,2.109999895095825,2.109999895095825,393300,APLT,1,1,1,1,1,5
17017,2023-12-19,3.936000108718872,5.02400016784668,3.74399995803833,4.639999866485596,4.639999866485596,529119,ACON,1,1,1,1,1,5
17266,2023-11-20,0.8299999833106995,1.0,0.8299999833106995,0.9200000166893004,0.9200000166893004,223300,CLIR,1,1,1,1,1,5
17521,2023-11-29,3.220000028610229,3.299999952316284,3.190000057220459,3.289999961853028,3.289999961853028,106600,PPTA,1,1,1,1,1,5
1715,2023-12-04,0.4350000023841858,0.7749999761581421,0.4300000071525574,0.746999979019165,0.746999979019165,6321000,CORZQ,1,1,1,1,1,5
1867,2023-11-13,0.0381000004708766,0.0403000004589557,0.0379999987781047,0.0399000011384487,0.0399000011384487,45100,LBSR,1,1,1,1,1,5
9717,2023-10-31,3.369999885559082,3.7100000381469727,3.369999885559082,3.569999933242798,3.569999933242798,152900,BWAY,1,1,1,1,1,5
467,2023-11-27,0.1299999952316284,0.1599999964237213,0.1199999973177909,0.1500000059604644,0.1500000059604644,17100,RKFL,1,1,1,1,1,5
18444,2023-12-13,3.450000047683716,4.050000190734863,3.3399999141693115,3.990000009536743,3.990000009536743,2404800,TPST,1,1,1,1,1,5
2026,2023-11-02,0.0230000000447034,0.0296999998390674,0.0230000000447034,0.0296999998390674,0.0296999998390674,75567,SYSX,1,1,1,1,1,5
4379,2023-12-18,2.549999952316284,3.2100000381469727,2.5299999713897705,3.140000104904175,3.140000104904175,15377700,CIFR,1,1,1,1,1,5
2143,2023-12-26,2.0899999141693115,2.390000104904175,2.0899999141693115,2.309999942779541,2.309999942779541,44400,NSPR,1,1,1,1,1,5
18665,2023-11-02,1.7730000019073486,1.9900000095367432,1.7710000276565552,1.9900000095367432,1.9900000095367432,9500,SERA,1,1,1,1,1,5
9220,2023-12-13,0.0132999997586011,0.0208999998867511,0.0132999997586011,0.0208999998867511,0.0208999998867511,83379,DROR,1,1,1,1,1,5
13416,2023-11-02,1.899999976158142,2.180000066757202,1.870000004768372,2.1700000762939453,2.1700000762939453,773800,TNYA,1,1,1,1,1,5
9124,2023-11-24,0.6800000071525574,0.8567000031471252,0.6800000071525574,0.8567000031471252,0.8567000031471252,23249,FDMIF,1,1,1,1,1,5
25220,2023-10-31,0.7200000286102295,0.7599999904632568,0.7200000286102295,0.7599999904632568,0.7599999904632568,133000,CGEN,1,1,1,1,1,5
19164,2023-11-03,3.25,3.490000009536743,3.25,3.4100000858306885,3.4100000858306885,44000,SSNT,1,1,1,1,1,5
14918,2023-11-14,7.389999866485596,7.53000020980835,7.21999979019165,7.480000019073486,7.480000019073486,38408700,SOFI,1,1,1,1,1,5
