Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap,Date
RCRUY,"Recruit Holdings Co., Ltd.",8.23,0.21,2.62,295151,283193,64240000000,2024-02-20T06:18:11.676733
UGP,Ultrapar Participações S.A.,6.01,0.09,1.52,2776000,1313000,6548000000,2024-02-20T06:18:11.676733
MAKSY,Marks and Spencer Group plc,5.89,0.08,1.39,23764,27683,5892000000,2024-02-20T06:18:11.676733
AUR,"Aurora Innovation, Inc.",2.92,-0.17,-5.5,5922000,6404000,4483000000,2024-02-20T06:18:11.676733
HMY,Harmony Gold Mining Company Limited,5.57,-0.03,-0.54,2305000,4680000,3501000000,2024-02-20T06:18:11.676733
UEC,Uranium Energy Corp.,7.39,-0.14,-1.86,5623000,8343000,2904000000,2024-02-20T06:18:11.676733
YLLXF,Yellow Cake plc,9.6,0.1,1.05,9740,18113,2082000000,2024-02-20T06:18:11.676733
OPEN,Opendoor Technologies Inc.,3.0,-0.35,-10.45,40918000,21335000,2039000000,2024-02-20T06:18:11.676733
ATHOF,Athabasca Oil Corporation,3.38,0.0403,1.21,308987,273043,1939000000,2024-02-20T06:18:11.676733
DNN,Denison Mines Corp.,1.93,0.0,0.0,6720000,12589000,1685000000,2024-02-20T06:18:11.676733
AUTL,Autolus Therapeutics plc,6.83,-0.25,-3.53,1240000,1625000,1587000000,2024-02-20T06:18:11.676733
AVPT,"AvePoint, Inc.",8.0,-0.09,-1.11,853510,776805,1469000000,2024-02-20T06:18:11.676733
ZJYL,Jin Medical International Ltd.,8.87,0.76,9.37,389214,1489000,1389000000,2024-02-20T06:18:11.676733
BQSSF,Boss Energy Limited,3.365,-0.085,-2.46,17306,47698,1376000000,2024-02-20T06:18:11.676733
VTEX,VTEX,7.15,-0.18,-2.46,312990,329658,1343000000,2024-02-20T06:18:11.676733
MDXG,"MiMedx Group, Inc.",8.06,-0.18,-2.18,532219,662718,1180000000,2024-02-20T06:18:11.676733
BITF,Bitfarms Ltd.,3.61,0.13,3.74,33279000,31240000,1163000000,2024-02-20T06:18:11.676733
CIFR,Cipher Mining Inc.,3.78,-0.42,-10.0,13275000,9217000,971679000,2024-02-20T06:18:11.676733
CXBMF,Calibre Mining Corp.,1.1355,0.078,7.38,1005000,326730,815921000,2024-02-20T06:18:11.676733
TK,Teekay Corporation,8.23,-0.13,-1.56,515005,630593,748513000,2024-02-20T06:18:11.676733
DYLLF,Deep Yellow Limited,0.955,0.0,0.0,102052,221436,736020000,2024-02-20T06:18:11.676733
IREN,Iris Energy Limited,6.81,-0.93,-12.02,19096000,6844000,708465000,2024-02-20T06:18:11.676733
SNWGF,Snowline Gold Corp.,3.98,0.06,1.53,31386,67343,576137000,2024-02-20T06:18:11.676733
REAX,The Real Brokerage Inc.,3.07,0.11,3.72,843627,299226,558126000,2024-02-20T06:18:11.676733
QD,Qudian Inc.,2.47,-0.06,-2.37,526025,910081,555501000,2024-02-20T06:18:11.676733
NR,"Newpark Resources, Inc.",6.38,-0.04,-0.62,533964,844625,542863000,2024-02-20T06:18:11.676733
CURV,Torrid Holdings Inc.,5.0,0.0,0.0,55677,191365,520515000,2024-02-20T06:18:11.676733
YRD,Yiren Digital Ltd.,5.02,-0.43,-7.89,209578,149070,444837000,2024-02-20T06:18:11.676733
CATX,"Perspective Therapeutics, Inc.",0.8777,0.0067,0.77,1116000,1765000,434106000,2024-02-20T06:18:11.676733
TALK,"Talkspace, Inc.",2.43,-0.02,-0.82,802333,835753,406041000,2024-02-20T06:18:11.676733
