Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Sector,Industry,Rolling,Macd,Fibonacci,Pivot,RSI,Volume Horizontal,Buy Price,Buy Date,Sell Price,Sell Date,Stop Loss Price,Sell Stop Loss Date
2023-10-16,0.1490,0.1490,0.1470,0.1470,0.1470,9000,RIOFF,Basic Materials,Gold,0,0,0,0,1,1,0.1470,2023-10-17,,,0.1244,2023-11-08
2023-10-17,0.1470,0.1470,0.1450,0.1470,0.1470,16500,RIOFF,Basic Materials,Gold,0,0,0,0,1,1,0.1580,2023-10-18,0.1691,2023-12-07,0.1244,2023-11-08
2023-10-18,0.1580,0.1580,0.1550,0.1550,0.1550,32100,RIOFF,Basic Materials,Gold,0,0,0,0,1,0,0.1580,2023-10-19,0.1691,2023-12-07,0.1244,2023-11-08
2023-10-19,0.1580,0.1580,0.1580,0.1580,0.1580,21500,RIOFF,Basic Materials,Gold,0,0,0,0,1,0,0.1500,2023-10-20,0.1605,2023-12-07,0.1244,2023-11-08
2023-10-20,0.1500,0.1550,0.1500,0.1550,0.1550,10100,RIOFF,Basic Materials,Gold,0,0,0,0,1,1,0.1550,2023-10-23,0.1659,2023-12-07,0.1244,2023-11-08
2023-10-23,0.1550,0.1550,0.1550,0.1550,0.1550,5000,RIOFF,Basic Materials,Gold,0,0,0,0,1,1,0.1460,2023-10-24,0.1562,2023-12-07,0.1244,2023-11-08
2023-10-24,0.1460,0.1460,0.1420,0.1420,0.1420,38300,RIOFF,Basic Materials,Gold,0,0,0,0,1,0,0.1450,2023-10-25,0.1551,2023-12-07,0.1244,2023-11-08
2023-10-25,0.1450,0.1500,0.1430,0.1430,0.1430,66100,RIOFF,Basic Materials,Gold,0,0,0,0,1,0,0.1430,2023-10-26,0.1530,2023-12-05,0.1244,2023-11-08
2023-10-26,0.1430,0.1430,0.1430,0.1430,0.1430,0,RIOFF,Basic Materials,Gold,0,0,0,0,1,1,0.1310,2023-10-27,,,0.1235,2023-11-08
2023-10-27,0.1310,0.1380,0.1300,0.1300,0.1300,60700,RIOFF,Basic Materials,Gold,0,0,0,0,1,0,0.1440,2023-10-30,0.1541,2023-12-05,0.1235,2023-11-08
2023-10-30,0.1440,0.1440,0.1300,0.1300,0.1300,82400,RIOFF,Basic Materials,Gold,0,0,0,0,1,0,0.1330,2023-10-31,,,0.1235,2023-11-08
2023-10-31,0.1330,0.1400,0.1330,0.1390,0.1390,24400,RIOFF,Basic Materials,Gold,1,0,0,1,1,1,0.1320,2023-11-01,0.1412,2023-12-01,0.1235,2023-11-08
2023-11-01,0.1320,0.1320,0.1300,0.1320,0.1320,28500,RIOFF,Basic Materials,Gold,1,0,0,0,1,1,0.1350,2023-11-02,0.1445,2023-12-01,0.1235,2023-11-08
2023-11-02,0.1350,0.1350,0.1350,0.1350,0.1350,5000,RIOFF,Basic Materials,Gold,1,0,0,0,1,1,0.1320,2023-11-03,0.1412,2023-12-01,0.1235,2023-11-08
2023-11-03,0.1320,0.1400,0.1320,0.1400,0.1400,24500,RIOFF,Basic Materials,Gold,1,0,0,1,1,1,0.1360,2023-11-06,0.1455,2023-12-04,0.1235,2023-11-08
2023-11-06,0.1360,0.1360,0.1360,0.1360,0.1360,600,RIOFF,Basic Materials,Gold,1,0,0,0,1,1,0.1310,2023-11-07,0.1402,2023-12-01,0.1235,2023-11-08
2023-11-07,0.1310,0.1310,0.1300,0.1300,0.1300,76200,RIOFF,Basic Materials,Gold,1,0,0,0,1,0,0.1320,2023-11-08,0.1412,2023-12-01,0.1159,2023-11-08
2023-11-08,0.1320,0.1320,0.1110,0.1220,0.1220,279500,RIOFF,Basic Materials,Gold,1,0,0,0,1,0,0.1300,2023-11-09,0.1391,2023-12-01,0.1159,2023-11-08
2023-11-09,0.1300,0.1300,0.1300,0.1300,0.1300,30000,RIOFF,Basic Materials,Gold,1,0,0,0,1,1,0.1250,2023-11-10,0.1338,2023-11-29,0.1159,2023-11-17
2023-11-10,0.1250,0.1310,0.1250,0.1310,0.1310,2900,RIOFF,Basic Materials,Gold,1,0,0,0,1,1,0.1280,2023-11-13,0.1370,2023-12-01,0.1159,2023-11-17
2023-11-13,0.1280,0.1290,0.1260,0.1260,0.1260,101000,RIOFF,Basic Materials,Gold,1,0,0,0,1,0,0.1290,2023-11-14,0.1380,2023-12-01,0.1159,2023-11-17
2023-11-14,0.1290,0.1290,0.1220,0.1220,0.1220,35400,RIOFF,Basic Materials,Gold,1,0,0,0,1,1,0.1200,2023-11-15,,,0.1140,
2023-11-15,0.1200,0.1200,0.1200,0.1200,0.1200,19000,RIOFF,Basic Materials,Gold,1,0,0,0,1,1,0.1170,2023-11-16,,,0.1140,
2023-11-16,0.1170,0.1240,0.1170,0.1240,0.1240,11000,RIOFF,Basic Materials,Gold,1,0,0,1,1,1,0.1170,2023-11-17,,,0.1140,
2023-11-17,0.1170,0.1270,0.1150,0.1270,0.1270,25900,RIOFF,Basic Materials,Gold,1,0,0,0,1,1,0.1220,2023-11-20,0.1305,2023-11-29,0.1140,
2023-11-20,0.1220,0.1220,0.1220,0.1220,0.1220,6900,RIOFF,Basic Materials,Gold,1,0,0,0,1,1,0.1230,2023-11-21,0.1316,2023-11-29,0.1140,
2023-11-21,0.1230,0.1230,0.1200,0.1200,0.1200,5100,RIOFF,Basic Materials,Gold,1,0,0,0,1,1,0.1200,2023-11-22,0.1284,2023-11-29,0.1102,
2023-11-22,0.1200,0.1200,0.1140,0.1160,0.1160,11800,RIOFF,Basic Materials,Gold,1,0,0,0,1,1,0.1180,2023-11-24,0.1263,2023-11-29,0.1102,
2023-11-24,0.1180,0.1180,0.1180,0.1180,0.1180,33300,RIOFF,Basic Materials,Gold,1,0,0,0,1,0,0.1250,2023-11-27,0.1338,2023-11-29,0.1102,
2023-11-27,0.1250,0.1250,0.1180,0.1200,0.1200,49600,RIOFF,Basic Materials,Gold,1,0,0,0,1,0,0.1200,2023-11-28,,,0.1102,
2023-11-28,0.1200,0.1200,0.1160,0.1170,0.1170,60100,RIOFF,Basic Materials,Gold,1,0,0,0,1,0,0.1270,2023-11-29,0.1359,2023-12-01,0.1102,
2023-11-29,0.1270,0.1340,0.1250,0.1340,0.1340,89300,RIOFF,Basic Materials,Gold,1,1,0,1,1,0,0.1300,2023-11-30,,,0.1102,
2023-11-30,0.1300,0.1330,0.1300,0.1320,0.1320,22600,RIOFF,Basic Materials,Gold,1,1,0,0,1,1,0.1360,2023-12-01,,,0.1102,
2023-12-01,0.1360,0.1450,0.1350,0.1450,0.1450,66000,RIOFF,Basic Materials,Gold,1,1,0,1,1,0,0.1420,2023-12-04,,,0.1102,
2023-12-04,0.1420,0.1480,0.1420,0.1450,0.1450,88700,RIOFF,Basic Materials,Gold,1,1,0,0,1,0,0.1450,2023-12-05,0.1551,2023-12-07,0.1102,
2023-12-05,0.1450,0.1550,0.1450,0.1550,0.1550,41500,RIOFF,Basic Materials,Gold,0,1,0,1,1,1,0.1550,2023-12-06,,,0.1102,
2023-12-06,0.1550,0.1550,0.1550,0.1550,0.1550,0,RIOFF,Basic Materials,Gold,0,1,0,0,1,1,0.1540,2023-12-07,,,0.1102,
2023-12-07,0.1540,0.1720,0.1510,0.1720,0.1720,44400,RIOFF,Basic Materials,Gold,0,1,0,1,0,0,0.1700,2023-12-08,,,0.1102,
2023-12-08,0.1700,0.1700,0.1640,0.1640,0.1640,55700,RIOFF,Basic Materials,Gold,0,1,0,0,1,1,0.1750,2023-12-11,,,0.1102,
2023-12-11,0.1750,0.1860,0.1750,0.1780,0.1780,100000,RIOFF,Basic Materials,Gold,0,1,0,0,0,1,0.1940,2023-12-12,0.2076,2023-12-19,0.1102,
2023-12-12,0.1940,0.1960,0.1720,0.1720,0.1720,128800,RIOFF,Basic Materials,Gold,0,1,0,0,1,1,0.1800,2023-12-13,,,0.1102,
2023-12-13,0.1800,0.1880,0.1600,0.1880,0.1880,79500,RIOFF,Basic Materials,Gold,0,1,0,1,0,1,0.1820,2023-12-14,0.1947,2023-12-18,0.1111,
2023-12-14,0.1820,0.1910,0.1820,0.1900,0.1900,18100,RIOFF,Basic Materials,Gold,0,1,0,0,0,0,0.1720,2023-12-15,,,0.1111,
2023-12-15,0.1720,0.1730,0.1720,0.1730,0.1730,30100,RIOFF,Basic Materials,Gold,0,1,0,0,1,0,0.1800,2023-12-18,0.2340,2023-12-19,0.1111,
2023-12-18,0.1800,0.2000,0.1780,0.2000,0.2000,134300,RIOFF,Basic Materials,Gold,0,1,0,1,1,1,0.2130,2023-12-19,0.2769,2023-12-20,0.1254,
2023-12-19,0.2130,0.2400,0.2020,0.2250,0.2250,877200,RIOFF,Basic Materials,Gold,0,1,0,1,0,1,0.2800,2023-12-20,,,0.1254,
2023-12-20,0.2800,0.3300,0.2800,0.2900,0.2900,841200,RIOFF,Basic Materials,Gold,0,1,0,0,0,1,0.3090,2023-12-21,,,0.1377,
2023-12-21,0.3090,0.3300,0.2940,0.3100,0.3100,845700,RIOFF,Basic Materials,Gold,0,1,0,0,0,1,0.3150,2023-12-22,,,0.1377,
2023-12-22,0.3150,0.3150,0.2830,0.2900,0.2900,412500,RIOFF,Basic Materials,Gold,0,1,0,0,0,1,0.2950,2023-12-26,,,0.1473,
2023-12-26,0.2950,0.3100,0.2800,0.2900,0.2900,333100,RIOFF,Basic Materials,Gold,0,1,0,0,0,0,0.2850,2023-12-27,,,0.1473,
2023-12-27,0.2850,0.2900,0.2540,0.2840,0.2840,297600,RIOFF,Basic Materials,Gold,0,1,0,0,0,0,0.2960,2023-12-28,,,0.1558,
2023-12-28,0.2960,0.3040,0.2880,0.2900,0.2900,173900,RIOFF,Basic Materials,Gold,0,1,0,0,0,0,0.3000,2023-12-29,,,0.1558,
2023-12-29,0.3000,0.3060,0.2990,0.3000,0.3000,74000,RIOFF,Basic Materials,Gold,0,1,0,0,0,0,0.2980,2024-01-02,,,0.1634,
2024-01-02,0.2980,0.3020,0.2950,0.2950,0.2950,23900,RIOFF,Basic Materials,Gold,0,1,0,0,0,0,0.2880,2024-01-03,,,0.1634,
2024-01-03,0.2880,0.2930,0.2800,0.2850,0.2850,135900,RIOFF,Basic Materials,Gold,0,1,0,0,1,0,0.2900,2024-01-04,,,0.1643,
2024-01-04,0.2900,0.2920,0.2830,0.2890,0.2890,22600,RIOFF,Basic Materials,Gold,0,1,0,1,0,0,0.2920,2024-01-05,,,0.1643,
2024-01-05,0.2920,0.2920,0.2670,0.2830,0.2830,91400,RIOFF,Basic Materials,Gold,0,1,0,0,1,0,0.2900,2024-01-08,,,0.1643,
2024-01-08,0.2900,0.2900,0.2600,0.2600,0.2600,266000,RIOFF,Basic Materials,Gold,0,0,0,0,1,1,0.2530,2024-01-09,,,0.1900,
2024-01-09,0.2530,0.2630,0.2530,0.2620,0.2620,204200,RIOFF,Basic Materials,Gold,0,0,0,0,1,1,0.2650,2024-01-10,,,0.2137,
2024-01-10,0.2650,0.2820,0.2650,0.2730,0.2730,28800,RIOFF,Basic Materials,Gold,0,0,0,0,1,0,0.2640,2024-01-11,,,0.2470,
2024-01-11,0.2640,0.2650,0.2640,0.2650,0.2650,5200,RIOFF,Basic Materials,Gold,0,0,0,0,1,0,0.2630,2024-01-12,,,0.2461,
2024-01-12,0.2630,0.2650,0.2590,0.2590,0.2590,11900,RIOFF,Basic Materials,Gold,0,0,0,0,1,0,0.2550,2024-01-16,,,0.2461,
2024-01-16,0.2550,0.2630,0.2550,0.2630,0.2630,229100,RIOFF,Basic Materials,Gold,1,0,0,1,1,1,0.2576,2024-01-17,,,0.2461,
2024-01-17,0.2576,0.2717,0.2570,0.2629,0.2629,104159,RIOFF,Basic Materials,Gold,1,0,0,0,1,0,,,,,,
2023-09-20,0.0700,0.0700,0.0700,0.0700,0.0700,144,ZHCLF,Healthcare,Biotechnology,0,0,0,0,0,0,0.1150,2023-09-21,0.1231,2023-10-02,,
2023-09-21,0.1150,0.1150,0.0700,0.0700,0.0700,11100,ZHCLF,Healthcare,Biotechnology,0,0,0,0,0,0,0.1150,2023-09-22,0.1231,2023-10-02,,
2023-09-22,0.1150,0.1150,0.0700,0.1150,0.1150,25665,ZHCLF,Healthcare,Biotechnology,0,0,0,1,0,0,0.1150,2023-09-25,0.1231,2023-10-02,,
2023-09-25,0.1150,0.1150,0.1150,0.1150,0.1150,0,ZHCLF,Healthcare,Biotechnology,0,0,0,0,0,0,0.1200,2023-09-26,0.1284,2023-10-02,,
2023-09-26,0.1200,0.1200,0.1050,0.1050,0.1050,5295,ZHCLF,Healthcare,Biotechnology,0,0,0,0,0,0,0.1200,2023-09-27,0.1284,2023-10-02,,
2023-09-27,0.1200,0.1200,0.1050,0.1050,0.1050,2627,ZHCLF,Healthcare,Biotechnology,0,0,0,0,0,0,0.1200,2023-09-28,0.1284,2023-10-02,,
2023-09-28,0.1200,0.1200,0.1050,0.1050,0.1050,10700,ZHCLF,Healthcare,Biotechnology,0,0,0,0,0,0,0.1100,2023-09-29,,,,
2023-09-29,0.1100,0.1100,0.1100,0.1100,0.1100,1500,ZHCLF,Healthcare,Biotechnology,0,0,0,0,0,0,0.1200,2023-10-02,,,,
2023-10-02,0.1200,0.1300,0.1200,0.1300,0.1300,35086,ZHCLF,Healthcare,Biotechnology,0,0,0,1,0,0,0.1200,2023-10-03,,,,
2023-10-03,0.1200,0.1200,0.1200,0.1200,0.1200,3170,ZHCLF,Healthcare,Biotechnology,0,0,0,0,0,0,0.1200,2023-10-04,0.1284,2023-10-09,,
2023-10-04,0.1200,0.1200,0.1200,0.1200,0.1200,0,ZHCLF,Healthcare,Biotechnology,0,0,0,0,0,0,0.1200,2023-10-05,0.1284,2023-10-09,,
2023-10-05,0.1200,0.1200,0.1200,0.1200,0.1200,200,ZHCLF,Healthcare,Biotechnology,0,0,0,0,0,0,0.1200,2023-10-06,,,,
2023-10-06,0.1200,0.1200,0.1200,0.1200,0.1200,3000,ZHCLF,Healthcare,Biotechnology,0,0,0,0,0,0,0.1500,2023-10-09,0.1605,2023-10-31,,
2023-10-09,0.1500,0.1500,0.1500,0.1500,0.1500,2000,ZHCLF,Healthcare,Biotechnology,0,0,0,0,0,0,0.1300,2023-10-10,,,0.0665,
2023-10-10,0.1300,0.1400,0.1200,0.1200,0.1200,28159,ZHCLF,Healthcare,Biotechnology,0,0,0,0,1,0,0.1200,2023-10-11,,,0.0665,
2023-10-11,0.1200,0.1200,0.1200,0.1200,0.1200,1285,ZHCLF,Healthcare,Biotechnology,0,0,0,0,1,0,0.1200,2023-10-12,0.1284,2023-10-19,0.0997,
2023-10-12,0.1200,0.1200,0.1200,0.1200,0.1200,4500,ZHCLF,Healthcare,Biotechnology,0,0,0,0,1,0,0.1200,2023-10-13,0.1284,2023-10-19,0.0997,
2023-10-13,0.1200,0.1200,0.1200,0.1200,0.1200,2000,ZHCLF,Healthcare,Biotechnology,0,0,0,0,1,0,0.1200,2023-10-16,0.1284,2023-10-19,0.0997,
2023-10-16,0.1200,0.1200,0.1200,0.1200,0.1200,1050,ZHCLF,Healthcare,Biotechnology,0,0,0,0,1,0,0.1200,2023-10-17,0.1284,2023-10-19,0.0997,
2023-10-17,0.1200,0.1200,0.1200,0.1200,0.1200,0,ZHCLF,Healthcare,Biotechnology,0,0,0,0,1,0,0.1200,2023-10-18,,,0.0997,
2023-10-18,0.1200,0.1200,0.1200,0.1200,0.1200,36640,ZHCLF,Healthcare,Biotechnology,0,0,0,0,1,1,0.1300,2023-10-19,0.1391,2023-10-30,0.1045,2023-11-17
2023-10-19,0.1300,0.1300,0.1200,0.1200,0.1200,2800,ZHCLF,Healthcare,Biotechnology,0,0,0,0,1,0,0.1200,2023-10-20,,,0.1140,2023-11-17
2023-10-20,0.1200,0.1300,0.1200,0.1300,0.1300,4000,ZHCLF,Healthcare,Biotechnology,0,0,0,1,1,0,0.1200,2023-10-23,,,0.1140,2023-11-17
2023-10-23,0.1200,0.1200,0.1200,0.1200,0.1200,1000,ZHCLF,Healthcare,Biotechnology,0,0,0,0,1,0,0.1200,2023-10-24,0.1284,2023-10-30,0.1140,2023-11-17
2023-10-24,0.1200,0.1200,0.1200,0.1200,0.1200,0,ZHCLF,Healthcare,Biotechnology,0,0,0,0,1,0,0.1200,2023-10-25,0.1284,2023-10-30,0.1140,2023-11-17
2023-10-25,0.1200,0.1200,0.1200,0.1200,0.1200,505,ZHCLF,Healthcare,Biotechnology,0,0,0,0,1,0,0.1200,2023-10-26,0.1284,2023-10-30,0.1140,2023-11-17
2023-10-26,0.1200,0.1200,0.1200,0.1200,0.1200,7841,ZHCLF,Healthcare,Biotechnology,0,0,0,0,1,1,0.1200,2023-10-27,0.1560,2023-10-30,0.1140,2023-11-17
2023-10-27,0.1200,0.1200,0.1200,0.1200,0.1200,2813,ZHCLF,Healthcare,Biotechnology,0,0,0,0,1,0,0.1500,2023-10-30,,,0.1140,2023-11-17
2023-10-30,0.1500,0.1600,0.1250,0.1250,0.1250,20525,ZHCLF,Healthcare,Biotechnology,0,0,0,0,1,1,0.1500,2023-10-31,,,0.1140,2023-11-17
2023-10-31,0.1500,0.1700,0.1300,0.1700,0.1700,30400,ZHCLF,Healthcare,Biotechnology,0,0,1,1,0,1,0.1350,2023-11-01,0.1755,2023-11-02,0.1140,2023-11-17
2023-11-01,0.1350,0.1350,0.1350,0.1350,0.1350,3000,ZHCLF,Healthcare,Biotechnology,0,0,0,0,1,0,0.2200,2023-11-02,,,0.1140,2023-11-17
2023-11-02,0.2200,0.2200,0.1700,0.2200,0.2200,7000,ZHCLF,Healthcare,Biotechnology,0,0,0,1,0,0,0.1350,2023-11-03,0.1755,2023-11-02,0.1140,2023-11-17
2023-11-03,0.1350,0.2200,0.1350,0.2000,0.2000,14200,ZHCLF,Healthcare,Biotechnology,0,0,0,0,1,1,0.1900,2023-11-06,,,0.1140,2023-11-17
2023-11-06,0.1900,0.1900,0.1200,0.1200,0.1200,2970,ZHCLF,Healthcare,Biotechnology,0,1,0,0,1,0,0.1500,2023-11-07,,,0.1140,2023-11-17
2023-11-07,0.1500,0.1500,0.1500,0.1500,0.1500,800,ZHCLF,Healthcare,Biotechnology,1,1,0,0,1,0,0.1500,2023-11-08,0.1605,2023-12-04,0.1140,2023-11-17
2023-11-08,0.1500,0.1500,0.1500,0.1500,0.1500,0,ZHCLF,Healthcare,Biotechnology,1,1,0,0,1,0,0.1500,2023-11-09,0.1605,2023-12-04,0.1140,2023-11-17
2023-11-09,0.1500,0.1500,0.1500,0.1500,0.1500,0,ZHCLF,Healthcare,Biotechnology,1,0,0,0,1,0,0.1200,2023-11-10,,,0.1140,2023-11-17
2023-11-10,0.1200,0.1200,0.1200,0.1200,0.1200,500,ZHCLF,Healthcare,Biotechnology,1,0,0,0,1,0,0.1500,2023-11-13,0.1605,2023-12-04,0.1140,2023-11-17
2023-11-13,0.1500,0.1500,0.1200,0.1200,0.1200,4000,ZHCLF,Healthcare,Biotechnology,1,0,0,0,1,0,0.1200,2023-11-14,,,0.1140,2023-11-17
2023-11-14,0.1200,0.1300,0.1200,0.1300,0.1300,4200,ZHCLF,Healthcare,Biotechnology,1,0,0,1,1,1,0.1300,2023-11-15,0.1391,2023-11-22,0.1140,2023-11-17
2023-11-15,0.1300,0.1300,0.1300,0.1300,0.1300,0,ZHCLF,Healthcare,Biotechnology,1,0,0,0,1,0,0.1300,2023-11-16,0.1391,2023-11-22,0.1140,2023-11-17
2023-11-16,0.1300,0.1300,0.1300,0.1300,0.1300,0,ZHCLF,Healthcare,Biotechnology,1,0,0,0,1,0,0.1000,2023-11-17,,,0.0950,
2023-11-17,0.1000,0.1000,0.1000,0.1000,0.1000,2000,ZHCLF,Healthcare,Biotechnology,1,0,0,0,1,1,0.1050,2023-11-20,0.1123,2023-11-22,0.0950,
2023-11-20,0.1050,0.1050,0.1050,0.1050,0.1050,2415,ZHCLF,Healthcare,Biotechnology,1,0,0,0,1,1,0.1050,2023-11-21,0.1365,2023-11-22,0.0950,
2023-11-21,0.1050,0.1050,0.1050,0.1050,0.1050,3000,ZHCLF,Healthcare,Biotechnology,1,0,0,0,1,1,0.1000,2023-11-22,0.1300,2023-11-22,0.0950,
2023-11-22,0.1000,0.1400,0.1000,0.1400,0.1400,14400,ZHCLF,Healthcare,Biotechnology,1,0,0,1,1,1,0.1400,2023-11-24,0.1498,2023-12-04,0.0950,
2023-11-24,0.1400,0.1400,0.1400,0.1400,0.1400,0,ZHCLF,Healthcare,Biotechnology,1,0,0,0,1,0,0.1400,2023-11-27,0.1498,2023-12-04,0.0950,
2023-11-27,0.1400,0.1400,0.1400,0.1400,0.1400,44060,ZHCLF,Healthcare,Biotechnology,1,0,0,0,1,0,0.1400,2023-11-28,0.1498,2023-12-04,0.0950,
2023-11-28,0.1400,0.1400,0.1400,0.1400,0.1400,21121,ZHCLF,Healthcare,Biotechnology,1,0,0,0,1,0,0.1400,2023-11-29,0.1498,2023-12-04,0.0950,
2023-11-29,0.1400,0.1400,0.1000,0.1000,0.1000,7300,ZHCLF,Healthcare,Biotechnology,1,0,0,0,1,1,0.1400,2023-11-30,0.1498,2023-12-04,0.0950,
2023-11-30,0.1400,0.1400,0.1300,0.1300,0.1300,500,ZHCLF,Healthcare,Biotechnology,0,0,0,0,1,1,0.1200,2023-12-01,0.1560,2023-12-04,0.0950,
2023-12-01,0.1200,0.1300,0.1200,0.1200,0.1200,3200,ZHCLF,Healthcare,Biotechnology,0,0,0,0,1,1,0.1200,2023-12-04,0.1560,2023-12-04,0.0950,
2023-12-04,0.1200,0.1800,0.1200,0.1200,0.1200,7000,ZHCLF,Healthcare,Biotechnology,0,0,0,0,1,1,0.1200,2023-12-05,0.1560,2023-12-04,0.0950,
2023-12-05,0.1200,0.1200,0.1200,0.1200,0.1200,0,ZHCLF,Healthcare,Biotechnology,0,0,0,0,1,1,0.1600,2023-12-06,0.1712,2024-01-04,0.0950,
2023-12-06,0.1600,0.1700,0.1600,0.1700,0.1700,2500,ZHCLF,Healthcare,Biotechnology,0,1,0,1,1,1,0.1700,2023-12-07,0.1819,2024-01-04,0.0950,
2023-12-07,0.1700,0.1700,0.1700,0.1700,0.1700,0,ZHCLF,Healthcare,Biotechnology,0,1,0,0,1,1,0.1600,2023-12-08,0.1712,2024-01-04,0.0950,
2023-12-08,0.1600,0.1700,0.1600,0.1600,0.1600,41275,ZHCLF,Healthcare,Biotechnology,0,1,0,0,1,0,0.1100,2023-12-11,0.1430,2023-12-08,0.0950,
2023-12-11,0.1100,0.1150,0.1100,0.1150,0.1150,5265,ZHCLF,Healthcare,Biotechnology,0,1,0,0,1,1,0.1700,2023-12-12,0.1819,2024-01-04,0.0950,
2023-12-12,0.1700,0.1700,0.1100,0.1100,0.1100,31000,ZHCLF,Healthcare,Biotechnology,0,1,0,0,1,0,0.1100,2023-12-13,0.1430,2023-12-12,0.0950,
2023-12-13,0.1100,0.1100,0.1100,0.1100,0.1100,1425,ZHCLF,Healthcare,Biotechnology,0,1,0,0,1,1,0.1100,2023-12-14,0.1177,2023-12-18,0.0950,
2023-12-14,0.1100,0.1100,0.1100,0.1100,0.1100,28225,ZHCLF,Healthcare,Biotechnology,0,1,0,0,1,0,0.1100,2023-12-15,0.1430,2023-12-18,0.0950,
2023-12-15,0.1100,0.1100,0.1100,0.1100,0.1100,0,ZHCLF,Healthcare,Biotechnology,0,0,0,0,1,1,0.1100,2023-12-18,0.1430,2023-12-18,0.0950,
2023-12-18,0.1100,0.1500,0.1100,0.1500,0.1500,33500,ZHCLF,Healthcare,Biotechnology,0,0,0,1,1,1,0.1500,2023-12-19,0.1605,2024-01-04,0.0950,
2023-12-19,0.1500,0.1600,0.1200,0.1600,0.1600,35200,ZHCLF,Healthcare,Biotechnology,0,1,0,0,1,1,0.1100,2023-12-20,0.1430,2023-12-19,0.1045,2024-01-02
2023-12-20,0.1100,0.1100,0.1100,0.1100,0.1100,4800,ZHCLF,Healthcare,Biotechnology,0,1,0,0,1,0,0.1200,2023-12-21,,,0.1045,2024-01-02
2023-12-21,0.1200,0.1500,0.1200,0.1500,0.1500,145110,ZHCLF,Healthcare,Biotechnology,0,1,0,1,1,1,0.1100,2023-12-22,0.1430,2023-12-21,0.1045,2024-01-02
