Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Sector,Industry,Rolling,Macd,Fibonacci,Pivot,RSI,Volume Horizontal,Buy Price,Buy Date,Sell Price,Sell Date,Stop Loss Price,Sell Stop Loss Date
2023-09-20,0.1500,0.1630,0.1420,0.1600,0.1600,93200,RIOFF,Basic Materials,Gold,0,0,0,0,0,0,0.1600,2023-09-21,0.1712,2023-12-07,,
2023-09-21,0.1600,0.1600,0.1600,0.1600,0.1600,5000,RIOFF,Basic Materials,Gold,0,0,0,0,0,0,0.1600,2023-09-22,0.1712,2023-12-07,,
2023-09-22,0.1600,0.1600,0.1600,0.1600,0.1600,0,RIOFF,Basic Materials,Gold,0,0,0,0,0,0,0.1530,2023-09-25,0.1637,2023-09-27,,
2023-09-25,0.1530,0.1530,0.1530,0.1530,0.1530,500,RIOFF,Basic Materials,Gold,0,0,0,0,0,0,0.1530,2023-09-26,,,,
2023-09-26,0.1530,0.1530,0.1530,0.1530,0.1530,0,RIOFF,Basic Materials,Gold,0,0,0,0,0,0,0.1650,2023-09-27,0.1766,2023-12-11,,
2023-09-27,0.1650,0.1650,0.1550,0.1580,0.1580,63500,RIOFF,Basic Materials,Gold,0,0,0,0,0,0,0.1520,2023-09-28,,,,
2023-09-28,0.1520,0.1600,0.1480,0.1600,0.1600,85700,RIOFF,Basic Materials,Gold,0,0,0,0,0,0,0.1600,2023-09-29,0.1712,2023-12-07,,
2023-09-29,0.1600,0.1630,0.1600,0.1630,0.1630,28000,RIOFF,Basic Materials,Gold,0,0,0,1,0,0,0.1550,2023-10-02,0.1659,2023-12-07,,
2023-10-02,0.1550,0.1600,0.1550,0.1600,0.1600,11200,RIOFF,Basic Materials,Gold,0,0,0,0,0,0,0.1600,2023-10-03,0.1712,2023-12-07,,
2023-10-03,0.1600,0.1600,0.1600,0.1600,0.1600,0,RIOFF,Basic Materials,Gold,0,0,0,0,0,0,0.1510,2023-10-04,0.1616,2023-12-07,,
2023-10-04,0.1510,0.1510,0.1480,0.1480,0.1480,34400,RIOFF,Basic Materials,Gold,0,0,0,0,0,0,0.1540,2023-10-05,0.1648,2023-12-07,,
2023-10-05,0.1540,0.1550,0.1440,0.1440,0.1440,107200,RIOFF,Basic Materials,Gold,0,0,0,0,0,0,0.1400,2023-10-06,,,,
2023-10-06,0.1400,0.1590,0.1400,0.1590,0.1590,23500,RIOFF,Basic Materials,Gold,0,0,0,1,0,0,0.1500,2023-10-09,0.1605,2023-12-07,,
2023-10-09,0.1500,0.1500,0.1450,0.1470,0.1470,11300,RIOFF,Basic Materials,Gold,0,0,0,0,1,0,0.1410,2023-10-10,0.1509,2023-10-18,0.1283,2023-11-08
2023-10-10,0.1410,0.1450,0.1350,0.1350,0.1350,85900,RIOFF,Basic Materials,Gold,0,0,0,0,1,0,0.1350,2023-10-11,,,0.1244,2023-11-08
2023-10-11,0.1350,0.1350,0.1310,0.1310,0.1310,8000,RIOFF,Basic Materials,Gold,0,0,0,0,0,1,0.1310,2023-10-12,,,0.1244,2023-11-08
2023-10-12,0.1310,0.1310,0.1310,0.1310,0.1310,0,RIOFF,Basic Materials,Gold,0,0,0,0,0,1,0.1480,2023-10-13,0.1584,2023-12-07,0.1244,2023-11-08
2023-10-13,0.1480,0.1480,0.1480,0.1480,0.1480,5000,RIOFF,Basic Materials,Gold,0,0,0,0,1,1,0.1490,2023-10-16,0.1594,2023-12-07,0.1244,2023-11-08
