Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Sector,Industry,Rolling,Macd,Fibonacci,Fibonacci Delta,Fibonacci Delta Percent,Fibonacci Delta Percent Average,Pivot,RSI,Volume Horizontal,Buy Price,Buy Date,Signal Count
2023-10-09,3.559999942779541,3.559999942779541,3.5199999809265137,3.5299999713897705,3.5299999713897705,3600,LOOP,Basic Materials,Specialty Chemicals,0,0,0,,,,0,0,0,3.5,2023-10-10,0
2023-10-10,3.5,3.549999952316284,3.5,3.509999990463257,3.509999990463257,10800,LOOP,Basic Materials,Specialty Chemicals,0,0,0,,,,0,0,0,3.440000057220459,2023-10-11,0
2023-10-11,3.440000057220459,3.5899999141693115,3.430000066757202,3.5,3.5,22800,LOOP,Basic Materials,Specialty Chemicals,0,0,0,,,,0,0,0,3.4100000858306885,2023-10-12,0
2023-10-12,3.4100000858306885,3.559999942779541,3.4100000858306885,3.5299999713897705,3.5299999713897705,32000,LOOP,Basic Materials,Specialty Chemicals,0,0,0,,,,1,0,0,3.4600000381469727,2023-10-13,1
2023-10-13,3.4600000381469727,3.509999990463257,3.430000066757202,3.440000057220459,3.440000057220459,8800,LOOP,Basic Materials,Specialty Chemicals,0,0,0,,,,0,0,0,3.2799999713897705,2023-10-16,0
2023-10-16,3.2799999713897705,3.549999952316284,3.259999990463257,3.4800000190734863,3.4800000190734863,79000,LOOP,Basic Materials,Specialty Chemicals,0,0,0,,,,0,0,0,3.5,2023-10-17,0
2023-10-17,3.5,3.6659998893737793,3.380000114440918,3.4100000858306885,3.4100000858306885,92800,LOOP,Basic Materials,Specialty Chemicals,0,0,0,,,,0,0,0,3.5,2023-10-18,0
2023-10-18,3.5,3.5829999446868896,3.4100000858306885,3.4800000190734863,3.4800000190734863,35100,LOOP,Basic Materials,Specialty Chemicals,0,0,0,,,,0,0,0,3.5,2023-10-19,0
2023-10-19,3.5,3.565000057220459,3.369999885559082,3.490000009536743,3.490000009536743,117300,LOOP,Basic Materials,Specialty Chemicals,0,0,0,,,,0,0,0,3.5,2023-10-20,0
2023-10-20,3.5,3.6050000190734863,3.434999942779541,3.5299999713897705,3.5299999713897705,57300,LOOP,Basic Materials,Specialty Chemicals,0,0,0,,,,1,0,0,3.4800000190734863,2023-10-23,1
2023-10-23,3.4800000190734863,3.5929999351501465,3.470000028610229,3.470000028610229,3.470000028610229,8000,LOOP,Basic Materials,Specialty Chemicals,0,0,0,,,,0,0,0,3.4800000190734863,2023-10-24,0
