,Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Rolling,Macd,Fibonacci,Pivot,Volume Horizontal,RSI,Price Buy,Price Sell,Price Stop Loss,Sell Date,Signal Count,Profit
236,2023-12-21,8.399999618530273,8.399999618530273,8.149999618530273,8.359999656677246,8.359999656677246,155400,IMNM,1,1,0,1,1,1,8.479999542236328,11.023999404907228,7.941999673843384,2023-12-22,5,0.0
283,2023-10-31,0.006000000052154,0.0179999992251396,0.006000000052154,0.0179999992251396,0.0179999992251396,6350,TAWNF,1,1,0,1,1,1,0.0049999998882412,0.0064999998547136,0.0170999992638826,2023-11-01,5,0.0120999993756414
304,2023-11-30,0.0049999998882412,0.0099999997764825,0.0049999998882412,0.0099999997764825,0.0099999997764825,11900,TAWNF,1,0,1,1,1,1,0.0049999998882412,0.0064999998547136,0.0094999997876584,2023-12-01,5,0.004499999899417201
307,2023-12-05,0.0054999999701976,0.0055999998003244,0.0054999999701976,0.0055999998003244,0.0055999998003244,26700,TAWNF,1,1,0,1,1,1,0.0055999998003244,0.0072799997404217,0.0094999997876584,2023-12-06,5,0.0038999999873340005
321,2023-12-26,0.006000000052154,0.0099999997764825,0.006000000052154,0.0099999997764825,0.0099999997764825,4750,TAWNF,0,1,1,1,1,1,0.006000000052154,0.0078000000678002,0.0095570002216845,2023-12-27,5,0.0035570001695305
324,2023-12-29,0.0073000001721084,0.0074000000022351,0.0071999998763203,0.0074000000022351,0.0074000000022351,46432,TAWNF,0,1,1,1,1,1,0.0073000001721084,0.0094900002237409,0.0095570002216845,2024-01-02,5,0.0022570000495761005
372,2023-11-08,0.0410000011324882,0.0439999997615814,0.0410000011324882,0.0439999997615814,0.0439999997615814,30700,CAMZF,1,1,0,1,1,1,0.0399999991059303,0.0519999988377094,0.0417999997735023,2023-11-09,5,0.0018000006675720007
467,2023-11-27,0.1299999952316284,0.1599999964237213,0.1199999973177909,0.1500000059604644,0.1500000059604644,17100,RKFL,1,1,1,1,1,1,0.1500000059604644,0.1950000077486038,0.1615000016987323,2023-11-28,6,0.011499995738267904
662,2024-01-09,3.6549999713897705,4.0,3.6549999713897705,3.910000085830689,3.910000085830689,29500,LOOP,1,0,1,1,1,1,3.900000095367432,5.070000123977661,3.714500081539154,2024-01-10,5,0.0
945,2023-10-27,11.859999656677246,11.989999771118164,11.4399995803833,11.899999618530272,11.899999618530272,5600,DNTH,1,0,1,1,1,1,12.0,15.6,12.25499963760376,2023-10-30,5,0.25499963760375977
961,2023-11-20,11.489999771118164,11.619999885559082,11.199999809265137,11.619999885559082,11.619999885559082,13400,DNTH,1,1,0,1,1,1,11.510000228881836,14.963000297546388,11.4,2023-11-21,5,-0.11000022888183558
984,2023-12-22,8.65999984741211,11.4399995803833,8.239999771118164,11.4399995803833,11.4399995803833,27900,DNTH,1,1,0,1,1,1,11.739999771118164,15.261999702453611,10.867999601364136,2023-12-26,5,-0.8720001697540276
1052,2023-12-01,6.050000190734863,6.869999885559082,5.583000183105469,6.699999809265137,6.699999809265137,1100000,CNTA,1,0,1,1,1,1,6.579999923706055,8.553999900817871,6.849500036239624,2023-12-04,5,0.269500112533569
1161,2024-01-10,0.0930000022053718,0.1190000027418136,0.0900000035762786,0.1099999994039535,0.1099999994039535,262400,CYFRF,1,1,0,1,1,1,,,0.1044999994337558,,5,0.0
1196,2023-10-31,6.389999866485596,6.630000114440918,6.324999809265137,6.630000114440918,6.630000114440918,244400,DESP,1,1,1,1,0,1,6.650000095367432,8.645000123977661,6.612000036239624,2023-11-01,5,-0.038000059127807795
1198,2023-11-02,6.78000020980835,6.820000171661377,6.659999847412109,6.760000228881836,6.760000228881836,184200,DESP,1,1,0,1,1,1,6.869999885559082,8.930999851226806,6.55500009059906,2023-11-03,5,0.0
1199,2023-11-03,6.869999885559082,7.170000076293945,6.869999885559082,7.170000076293945,7.170000076293945,198800,DESP,1,1,0,1,1,1,7.179999828338623,9.33399977684021,6.811500072479248,2023-11-06,5,0.0
1294,2023-11-21,0.1494999974966049,0.1494999974966049,0.1490000039339065,0.1494999974966049,0.1494999974966049,4520,NUKK,1,1,1,1,0,1,0.1494999974966049,0.1943499967455864,0.1425000056624412,2023-11-22,5,0.0
1368,2023-11-10,0.0089999996125698,0.0135000003501772,0.0080000003799796,0.0135000003501772,0.0135000003501772,426800,JKSM,1,1,1,1,1,1,0.0135000003501772,0.0175500004552304,0.0128250003326684,2023-11-13,6,0.0
1537,2023-11-15,0.9800000190734864,1.1100000143051147,0.9399999976158142,1.090000033378601,1.090000033378601,6031100,WULF,1,1,0,1,1,1,1.0800000429153442,1.4040000557899477,1.0924999773502349,2023-11-16,5,0.012499934434890614
1539,2023-11-17,1.0499999523162842,1.090000033378601,1.0099999904632568,1.059999942779541,1.059999942779541,4314300,WULF,1,1,0,1,1,1,1.100000023841858,1.4300000309944154,1.0924999773502349,2023-11-20,5,-0.007500046491623058
1610,2023-11-01,5.386000156402588,5.489999771118164,5.386000156402588,5.474999904632568,5.474999904632568,8800,PPSI,1,0,1,1,1,1,5.340000152587891,6.942000198364258,5.576499891281128,2023-11-02,5,0.23649973869323748
1611,2023-11-02,5.340000152587891,5.872000217437744,5.340000152587891,5.840000152587891,5.840000152587891,34200,PPSI,1,1,0,1,1,1,5.960000038146973,7.748000049591065,5.576499891281128,2023-11-03,5,0.0
1628,2023-11-28,5.960000038146973,6.389999866485596,5.800000190734863,6.380000114440918,6.380000114440918,97500,PPSI,1,1,0,1,1,1,6.349999904632568,8.254999876022339,6.31750009059906,2023-11-29,5,-0.032499814033508656
1629,2023-11-29,6.349999904632568,6.650000095367432,6.300000190734863,6.5,6.5,75700,PPSI,1,1,0,1,1,1,6.440000057220459,8.372000074386596,6.31750009059906,2023-11-30,5,-0.12249996662139928
1644,2023-12-20,5.599999904632568,5.989999771118164,5.550000190734863,5.889999866485596,5.889999866485596,108900,PPSI,1,0,1,1,1,1,5.900000095367432,7.670000123977661,6.023000144958496,2023-12-21,5,0.12300004959106392
1648,2023-12-27,6.079999923706055,7.110000133514404,5.960000038146973,7.010000228881836,7.010000228881836,527500,PPSI,1,1,0,1,1,1,7.019999980926514,9.125999975204468,6.659500217437744,2023-12-28,5,-0.3604997634887699
1685,2023-10-20,0.5590000152587891,0.6190000176429749,0.5580000281333923,0.5960000157356262,0.5960000157356262,653100,CORZQ,1,0,1,1,1,1,0.6299999952316284,0.818999993801117,0.6640500009059905,2023-10-23,5,0.034050005674362116
1715,2023-12-04,0.4350000023841858,0.7749999761581421,0.4300000071525574,0.746999979019165,0.746999979019165,6321000,CORZQ,1,1,1,1,0,1,0.7590000033378601,0.9867000043392182,0.7096499800682068,2023-12-05,5,-0.04935002326965332
1717,2023-12-06,0.6679999828338623,0.75,0.6610000133514404,0.7210000157356262,0.7210000157356262,1702400,CORZQ,1,1,0,1,1,1,0.7099999785423279,0.9229999721050264,0.7096499800682068,2023-12-07,5,-0.00034999847412109375
1783,2023-11-10,2.819999933242798,3.0,2.61899995803833,3.0,3.0,115400,LYRA,1,1,0,1,1,1,3.0,3.9,3.1919999003410338,2023-11-13,5,0.19199990034103376
1787,2023-11-16,2.869999885559082,2.9600000381469727,2.838000059127808,2.9200000762939453,2.9200000762939453,123400,LYRA,1,1,0,1,1,1,2.940000057220459,3.822000074386597,2.963999891281128,2023-11-17,5,0.023999834060668856
1867,2023-11-13,0.0381000004708766,0.0403000004589557,0.0379999987781047,0.0399000011384487,0.0399000011384487,45100,LBSR,1,1,1,1,1,1,0.0417999997735023,0.054339999705553,0.040375000424683,2023-11-14,6,0.0
1871,2023-11-17,0.0549999997019767,0.0549999997019767,0.0421000011265277,0.050000000745058,0.050000000745058,130400,LBSR,1,1,0,1,1,1,0.050000000745058,0.0650000009685754,0.0489250000566244,2023-11-20,5,-0.0010750006884335944
2023,2023-10-30,0.0274500008672475,0.0274500008672475,0.0252999998629093,0.0274500008672475,0.0274500008672475,2612,SYSX,1,1,0,1,1,1,0.0252999998629093,0.0328899998217821,0.0475000007078051,2023-10-31,5,0.0222000008448958
2026,2023-11-02,0.0230000000447034,0.0296999998390674,0.0230000000447034,0.0296999998390674,0.0296999998390674,75567,SYSX,1,1,1,1,1,1,0.0280000008642673,0.0364000011235475,0.0284999993629753,2023-11-03,6,0.000499998498708
2034,2023-11-14,0.0187999997287988,0.0230000000447034,0.0187999997287988,0.0230000000447034,0.0230000000447034,28052,SYSX,0,1,1,1,1,1,0.025000000372529,0.0325000004842877,0.028214999847114,2023-11-15,5,0.003214999474585003
2039,2023-11-21,0.0111999996006488,0.0225000008940696,0.0111999996006488,0.0199999995529651,0.0199999995529651,51562,SYSX,1,1,0,1,1,1,0.0154999997466802,0.0201499996706843,0.028214999847114,2023-11-22,5,0.0127150001004338
2041,2023-11-24,0.0154999997466802,0.0189999993890523,0.0154999997466802,0.0179999992251396,0.0179999992251396,72257,SYSX,1,1,0,1,1,1,0.0170499999076128,0.0221649998798966,0.0256500006653368,2023-11-27,5,0.008600000757723998
2045,2023-11-30,0.0179999992251396,0.0299999993294477,0.0179999992251396,0.0299999993294477,0.0299999993294477,70970,SYSX,1,1,0,1,1,1,0.0260000005364418,0.0338000006973743,0.0284999993629753,2023-12-01,5,0.002499998826533501
