Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap,Date,Screener
ZJYL,Jin Medical International Ltd.,8.31,0.85,11.39,839927,1488000,1301000000,2024-02-13T06:18:49.918669,Winners
CIFR,Cipher Mining Inc.,3.9,0.55,16.42,10639000,8464000,1003000000,2024-02-13T06:18:49.918669,Winners
BITF,Bitfarms Ltd.,3.07,0.35,12.87,40432000,29543000,990907000,2024-02-13T06:18:49.918669,Winners
EVLV,"Evolv Technologies Holdings, Inc.",5.65,0.58,11.44,2401000,914901,853913000,2024-02-13T06:18:49.918669,Winners
IREN,Iris Energy Limited,6.93,0.99,16.67,15925000,5565000,464936000,2024-02-13T06:18:49.918669,Winners
ADVM,"Adverum Biotechnologies, Inc.",1.99,0.26,15.03,2324000,1420000,201044000,2024-02-13T06:18:49.918669,Winners
ARBK,Argo Blockchain plc,2.85,0.36,14.46,1609000,1076000,164489000,2024-02-13T06:18:49.918669,Winners
PXLW,"Pixelworks, Inc.",2.61,0.4,18.1,2407000,1715000,149075000,2024-02-13T06:18:49.918669,Winners
ORMP,Oramed Pharmaceuticals Inc.,3.17,0.32,11.23,328749,181134,127875000,2024-02-13T06:18:49.918669,Winners
SWVL,Swvl Holdings Corp.,4.56,0.44,10.68,50898,187660,30970000,2024-02-13T06:18:49.918669,Winners
WETG,"WeTrade Group, Inc.",4.35,0.99,29.46,217389,82521,11419000,2024-02-13T06:18:49.918669,Winners
CORZQ,"Core Scientific, Inc.",1.28,0.185,16.89,4301000,1280000,494108000,2023-12-23T06:16:51.449002,Winners
IMNM,"Immunome, Inc.",9.39,1.03,12.32,331605,124038,401233000,2023-12-23T06:16:51.449002,Winners
BTBT,"Bit Digital, Inc.",3.9,0.44,12.72,15976000,4819000,353956000,2023-12-23T06:16:51.449002,Winners
TCRX,"TScan Therapeutics, Inc.",5.75,0.77,15.46,281796,110626,250402000,2023-12-23T06:16:51.449002,Winners
OMER,Omeros Corporation,3.63,0.45,14.15,893389,807676,228202000,2023-12-23T06:16:51.449002,Winners
TNYA,"Tenaya Therapeutics, Inc.",3.02,0.36,13.53,706516,391980,205695000,2023-12-23T06:16:51.449002,Winners
ARBK,Argo Blockchain plc,3.47,0.9,35.02,4492000,329346,186326000,2023-12-23T06:16:51.449002,Winners
SYRS,"Syros Pharmaceuticals, Inc.",7.03,1.25,21.63,675267,189506,148102000,2023-12-23T06:16:51.449002,Winners
SDIG,"Stronghold Digital Mining, Inc.",8.79,2.08,31.0,4471000,393309,77713000,2023-12-23T06:16:51.449002,Winners
FDMIF,Founders Metals Inc.,1.16,0.135,13.17,54181,34385,63272000,2023-12-23T06:16:51.449002,Winners
MATH,Metalpha Technology Holding Limited,1.79,0.21,13.29,449842,28458,62558000,2023-12-23T06:16:51.449002,Winners
DGHI,Digihost Technology Inc.,1.81,0.18,11.04,530649,114966,51962000,2023-12-23T06:16:51.449002,Winners
GREE,Greenidge Generation Holdings Inc.,5.96,0.81,15.73,1603000,201430,37907000,2023-12-23T06:16:51.449002,Winners
MIGI,"Mawson Infrastructure Group, Inc.",2.31,0.33,16.67,1763000,348184,38449000,2023-12-23T06:16:51.449002,Winners
SOS,SOS Limited,5.29,0.57,12.08,645910,122000,33753000,2023-12-23T06:16:51.449002,Winners
SYBX,"Synlogic, Inc.",3.64,0.61,20.13,44275,88163,33449000,2023-12-23T06:16:51.449002,Winners
PRFX,PainReform Ltd.,2.94,0.41,16.21,99721,17673,4582000,2023-12-23T06:16:51.449002,Winners
PRTT,Protect Pharmaceutical Corporation,2.43,0.3375,16.13,8702,34177,2701000,2023-12-23T06:16:51.449002,Winners
ZMMPY,Zamp S.A.,6.0,0.88,17.1,266,203580,0,2023-12-23T06:16:51.449002,Winners
PROP,Prairie Operating Co.,8.2,1.49,22.21,59825,27679,0,2023-12-23T06:16:51.449002,Winners
OIBZQ,Oi S.A.,0.02,0.0194,0.0,9796,13780,81615000,2023-12-28T06:17:41.947104,Winners
NYMXF,Nymox Pharmaceutical Corporation,0.75,0.2201,41.54,100903,58732,69949000,2023-12-28T06:17:41.947104,Winners
