Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap,Date,Screener
XTPT,Xtra Energy Corp.,0.25,0.0425,20.47,89639,57221,55338000,2023-12-28T06:17:41.947104,Winners
AMEGF,American Eagle Gold Corp.,0.244,0.064,35.56,336,13625,27455000,2023-12-28T06:17:41.947104,Winners
ETST,"Earth Science Tech, Inc.",0.068,0.013,23.64,4096,71301,21412000,2023-12-28T06:17:41.947104,Winners
GRHI,"Gold Rock Holdings, Inc.",0.09,0.025,38.46,221955,176040,20795000,2023-12-28T06:17:41.947104,Winners
SMURF,Tokens.com Corp.,0.1363,0.0238,21.16,148001,60039,16254000,2023-12-28T06:17:41.947104,Winners
BLTHD,"American Battery Materials, Inc.",0.99,0.44,80.0,16108,1020000,11274000,2023-12-28T06:17:41.947104,Winners
IXIXF,Indigo Exploration Inc.,0.0382,0.0122,46.92,7970,44334,6549000,2023-12-28T06:17:41.947104,Winners
LGCXF,Lahontan Gold Corp.,0.05,0.0469,0.0,5000,64709,7888000,2023-12-28T06:17:41.947104,Winners
CSOC,Caduceus Software Systems Corp.,0.0197,0.0037,23.12,57670,28024,5451000,2023-12-28T06:17:41.947104,Winners
DIGP,"Digipath, Inc.",0.0375,0.007,22.95,157563,109893,3266000,2023-12-28T06:17:41.947104,Winners
TZPC,ThermaFreeze Products Corporation,0.04,0.01,33.33,13995,27081,1705000,2023-12-28T06:17:41.947104,Winners
SNNC,"Sibannac, Inc.",0.023,0.0042,22.08,311166,340485,1380000,2023-12-28T06:17:41.947104,Winners
JADA,Jade Art Group Inc.,0.0148,0.0048,48.0,37950,14413,1184000,2023-12-28T06:17:41.947104,Winners
BULT,"Bullet Blockchain, Inc.",0.055,0.013,30.83,220458,14725,570702,2023-12-28T06:17:41.947104,Winners
CPPMF,COPPERNICO METALS INC,0.03,0.0299,0.0,18605,77849,0,2023-12-28T06:17:41.947104,Winners
FNMAN,Federal National Mortgage Association,6.47,0.97,17.64,400,15113,4818000000,2024-02-02T06:16:42.120095,Winners
ISENF,IsoEnergy Ltd.,3.98,0.404,11.3,159661,95578,689408000,2024-02-02T06:16:42.120095,Winners
AYRWF,Ayr Wellness Inc.,4.0,0.4825,13.72,565654,267756,309543000,2024-02-02T06:16:42.120095,Winners
KROEF,KR1 Plc,1.1,0.145,15.18,10000,11545,195107000,2024-02-02T06:16:42.120095,Winners
AQST,"Aquestive Therapeutics, Inc.",2.67,0.28,11.72,1150000,569840,178269000,2024-02-02T06:16:42.120095,Winners
ADVM,"Adverum Biotechnologies, Inc.",1.19,0.14,13.33,1108000,444823,120222000,2024-02-02T06:16:42.120095,Winners
BSEM,"BioStem Technologies, Inc.",9.05,1.7,23.13,120208,22230,118556000,2024-02-02T06:16:42.120095,Winners
NGLD,Nevada Canyon Gold Corp.,3.69,0.55,17.52,9925,12081,90847000,2024-02-02T06:16:42.120095,Winners
AHG,Akso Health Group,2.225,0.585,35.67,836988,131611,50877000,2024-02-02T06:16:42.120095,Winners
RR,Richtech Robotics Inc.,9.9,2.4,32.0,441780,193188,645899000,2024-01-26T06:17:23.611602,Winners
CGEN,Compugen Ltd.,2.11,0.24,12.83,993718,2653000,186370000,2024-01-26T06:17:23.611602,Winners
CASI,"CASI Pharmaceuticals, Inc.",7.85,1.75,28.69,201743,59619,104574000,2024-01-26T06:17:23.611602,Winners
NGLD,Nevada Canyon Gold Corp.,4.16,0.66,18.86,38561,10551,102419000,2024-01-26T06:17:23.611602,Winners
NRHI,Natural Resource Holdings Inc.,9.25,0.97,11.71,102190,17298,52816000,2024-01-26T06:17:23.611602,Winners
BIMI,BIMI Holdings Inc.,3.175,0.295,10.24,109301,25265,44461000,2024-01-26T06:17:23.611602,Winners
BLTH,"American Battery Materials, Inc.",1.0,0.1,11.11,1335,866776,11388000,2024-01-26T06:17:23.611602,Winners
PROP,Prairie Operating Co.,8.12,1.91,30.76,138309,34876,0,2024-01-26T06:17:23.611602,Winners
NOKPF,Nok Airlines Public Company Limited,0.01,0.0075,300.0,100,14262,115462000,2023-12-13T06:18:13.306791,Winners
LBSR,Liberty Star Uranium & Metals Corp.,0.2881,0.0676,30.66,698164,212338,13937000,2023-12-13T06:18:13.306791,Winners
MLYCF,Multi-Metal Development Ltd.,0.039,0.0089,29.57,98199,13761,9800000,2023-12-13T06:18:13.306791,Winners
TRRXF,TNR Gold Corp.,0.0488,0.0088,22.0,34000,10061,9210000,2023-12-13T06:18:13.306791,Winners
RKFL,"RocketFuel Blockchain, Inc.",0.1719,0.0315,22.44,366,16982,6120000,2023-12-13T06:18:13.306791,Winners
NPRFF,Nepra Foods Inc.,0.09,0.0198,28.11,1900,61796,6096000,2023-12-13T06:18:13.306791,Winners
CNER,China New Energy Group Co.,0.0439,0.0087,24.86,4056,223458,4706000,2023-12-13T06:18:13.306791,Winners
LOWLF,Lowell Farms Inc.,0.2213,0.0443,25.03,11729,16619,4071000,2023-12-13T06:18:13.306791,Winners
NUMD,"Nu-Med Plus, Inc.",0.0439,0.0259,143.89,1928000,44441,3571000,2023-12-13T06:18:13.306791,Winners
CPWR,Ocean Thermal Energy Corporation,0.0131,0.0046,54.12,30700,21732,2415000,2023-12-13T06:18:13.306791,Winners
MSAH,"Man Shing Agricultural Holdings, Inc.",0.085,0.032,60.38,506515,17101,1182000,2023-12-13T06:18:13.306791,Winners
MONI,Moon Equity Holdings Corp.,0.02,0.0054,37.17,8611000,3751000,0,2023-12-13T06:18:13.306791,Winners
PBYI,"Puma Biotechnology, Inc.",6.55,0.64,10.83,635761,444428,311592000,2024-02-24T06:15:55.837220,Winners
HOWL,"Werewolf Therapeutics, Inc.",7.39,0.76,11.46,209832,275825,300483000,2024-02-24T06:15:55.837220,Winners
AYRWF,Ayr Wellness Inc.,2.38,0.3,14.42,329243,333498,183507000,2024-02-24T06:15:55.837220,Winners
AHG,Akso Health Group,1.31,0.14,11.97,26672,181458,139946000,2024-02-24T06:15:55.837220,Winners
BIMI,BIMI Holdings Inc.,3.97,0.57,16.76,53948,34865,55594000,2024-02-24T06:15:55.837220,Winners
WETH,Wetouch Technology Inc.,4.77,0.77,19.25,322378,24198,46426000,2024-02-24T06:15:55.837220,Winners
EBFI,ECO BRIGHT FUTURE INC,2.99,0.49,19.6,15900,15362,0,2024-02-24T06:15:55.837220,Winners
ADXS,"Ayala Pharmaceuticals, Inc.",0.97,0.182,23.1,75631,24053,41306000,2024-02-22T06:17:40.208793,Winners
AMQFF,Abitibi Metals Corp.,0.3975,0.112,39.23,1000,27885,23963000,2024-02-22T06:17:40.208793,Winners
TCRI,"TechCom, Inc.",0.3144,0.1544,96.5,800,17668,20433000,2024-02-22T06:17:40.208793,Winners
TKVR,"Zhejiang Dashang Media Co., Ltd.",0.1845,0.0645,53.75,3066,11963,14799000,2024-02-22T06:17:40.208793,Winners
BCNWF,Bitcoin Well Inc.,0.0574,0.0171,42.43,10000,10603,11413000,2024-02-22T06:17:40.208793,Winners
CRDV,Community Redevelopment Inc.,0.0777,0.0465,149.04,1710,24723,6685000,2024-02-22T06:17:40.208793,Winners
IRNTQ,"IronNet, Inc.",0.0235,0.0082,53.59,23318,148371,2855000,2024-02-22T06:17:40.208793,Winners
NREG,"NewRegen, Inc.",0.011,0.003,37.5,45000,1051000,1371000,2024-02-22T06:17:40.208793,Winners
NWPG,"Newport Gold, Inc.",0.014,0.0077,122.22,12000,88458,802341,2024-02-22T06:17:40.208793,Winners
HIHI,"Holiday Island Holdings, Inc.",0.05,0.015,42.86,8240,19389,545455,2024-02-22T06:17:40.208793,Winners
CPPMF,COPPERNICO METALS INC,0.035,0.015,75.0,20584,41023,0,2024-02-22T06:17:40.208793,Winners
TSPH,TuSimple Holdings Inc.,0.57,0.1,21.28,494072,8446000,0,2024-02-22T06:17:40.208793,Winners
AUR,"Aurora Innovation, Inc.",3.6,0.46,14.65,15647000,6684000,4759000000,2023-12-15T06:18:11.680668,Winners
OPEN,Opendoor Technologies Inc.,4.56,0.45,10.95,46942000,17804000,3055000000,2023-12-15T06:18:11.680668,Winners
ADV,Advantage Solutions Inc.,3.57,0.34,10.53,1388000,546254,1165000000,2023-12-15T06:18:11.680668,Winners
RDFN,Redfin Corporation,9.76,1.34,15.91,21472000,4571000,1125000000,2023-12-15T06:18:11.680668,Winners
PGY,Pagaya Technologies Ltd.,1.55,0.16,11.51,21243000,6610000,991696000,2023-12-15T06:18:11.680668,Winners
DHC,Diversified Healthcare Trust,3.06,0.43,16.35,2671000,1093000,735777000,2023-12-15T06:18:11.680668,Winners
STTK,"Shattuck Labs, Inc.",6.96,2.1,43.21,21650000,978577,295699000,2023-12-15T06:18:11.680668,Winners
IMRX,Immuneering Corporation,7.73,0.92,13.51,49462,56804,226250000,2023-12-15T06:18:11.680668,Winners
LOOP,"Loop Industries, Inc.",4.34,0.76,21.23,59516,34364,206242000,2023-12-15T06:18:11.680668,Winners
SPPL,Simpple Ltd.,8.18,0.96,13.3,28744,34172,132729000,2023-12-15T06:18:11.680668,Winners
MYO,"Myomo, Inc.",4.7,0.44,10.33,840432,447854,124626000,2023-12-15T06:18:11.680668,Winners
MAKOF,Mako Mining Corp.,1.8883,0.2083,12.4,21044,16740,124285000,2023-12-15T06:18:11.680668,Winners
ARBK,Argo Blockchain plc,2.14,0.325,17.91,1374000,230729,114560000,2023-12-15T06:18:11.680668,Winners
DMAC,DiaMedica Therapeutics Inc.,2.99,0.33,12.41,63805,56459,113482000,2023-12-15T06:18:11.680668,Winners
IMMX,"Immix Biopharma, Inc.",5.68,1.51,36.21,2313000,240133,112846000,2023-12-15T06:18:11.680668,Winners
CLIR,ClearSign Technologies Corporation,1.31,0.15,12.93,369188,88129,50521000,2023-12-15T06:18:11.680668,Winners
MRKR,"Marker Therapeutics, Inc.",5.07,0.52,11.43,291286,74262,45067000,2023-12-15T06:18:11.680668,Winners
DGHI,Digihost Technology Inc.,1.39,0.22,18.8,368975,96587,39904000,2023-12-15T06:18:11.680668,Winners
PRTT,Protect Pharmaceutical Corporation,2.39,0.29,13.81,36701,33585,2656000,2023-12-15T06:18:11.680668,Winners
HZEN,Grayscale Horizen Trust (ZEN),1.53,0.14,10.07,26109,23432,0,2023-12-15T06:18:11.680668,Winners
EMCHF,EML Payments Limited,0.6325,0.125,24.63,154200,10280,237136000,2024-01-19T06:18:22.982255,Winners
CATX,"Perspective Therapeutics, Inc.",0.55,0.1139,26.12,7270000,964627,155019000,2024-01-19T06:18:22.982255,Winners
DEFTF,DeFi Technologies Inc.,0.375,0.095,33.93,482035,209195,99080000,2024-01-19T06:18:22.982255,Winners
ELMSQ,"Electric Last Mile Solutions, Inc.",0.115,0.033,40.24,36147,80208,17364000,2024-01-19T06:18:22.982255,Winners
GRHI,"Gold Rock Holdings, Inc.",0.079,0.0279,54.6,25114,153313,18253000,2024-01-19T06:18:22.982255,Winners
MONI,Moon Equity Holdings Corp.,0.0255,0.0045,21.43,6762000,3629000,17653000,2024-01-19T06:18:22.982255,Winners
BLIAQ,BB Liquidating Inc.,0.02,0.013,185.71,525,34719,2947000,2024-01-19T06:18:22.982255,Winners
GWTI,"Greenway Technologies, Inc.",0.024,0.009,60.0,51348,100016,9692000,2024-01-19T06:18:22.982255,Winners
DROR,"Dror Ortho-Design, Inc.",0.0177,0.0055,45.08,10000,22017,8770000,2024-01-19T06:18:22.982255,Winners
KOSK,One Step Vending Corp.,0.0158,0.0039,32.77,288725,283894,5769000,2024-01-19T06:18:22.982255,Winners
CNER,China New Energy Group Co.,0.029,0.005,20.83,385000,167285,3105000,2024-01-19T06:18:22.982255,Winners
CMXC,Cell MedX Corp.,0.043,0.015,53.57,2000,76015,12674000,2024-01-19T06:18:22.982255,Winners
CPWR,Ocean Thermal Energy Corporation,0.0105,0.002,23.53,335510,32354,1936000,2024-01-19T06:18:22.982255,Winners
JADA,Jade Art Group Inc.,0.0235,0.0128,119.22,508974,23926,1880000,2024-01-19T06:18:22.982255,Winners
RSCI,"Redwood Scientific Technologies, Inc.",0.7,0.21,42.86,34000,10242,142924000,2024-02-21T06:17:21.496119,Winners
GRUSF,Grown Rogue International Inc.,0.58,0.1003,20.91,159198,137500,99083000,2024-02-21T06:17:21.496119,Winners
EDEYF,Eden Innovations Ltd,0.0185,0.0165,825.0,58509,31433,68048000,2024-02-21T06:17:21.496119,Winners
CYIO,CYIOS Corporation,0.0139,0.0029,26.36,1616000,908671,2621000,2024-02-21T06:17:21.496119,Winners
ROSN,Rosinbomb,0.039,0.0101,34.95,550725,432208,1057000,2024-02-21T06:17:21.496119,Winners
TAWNF,Thai Airways International Public Company Limited,0.01,0.0024,31.58,781,29142,219003000,2024-01-11T06:18:29.589634,Winners
SEUSF,Sintana Energy Inc.,0.3126,0.0776,33.04,1627000,99003,86322000,2024-01-11T06:18:29.589634,Winners
AWMLF,American West Metals Limited,0.12,0.022,22.45,100000,12262,53977000,2024-01-11T06:18:29.589634,Winners
ETST,"Earth Science Tech, Inc.",0.08,0.029,56.86,1033000,90984,25191000,2024-01-11T06:18:29.589634,Winners
NGRBF,Nextgen Food Robotics Corp.,0.1947,0.0437,28.94,329074,73889,9843000,2024-01-11T06:18:29.589634,Winners
APETF,AlphaGen Intelligence Corp.,0.1,0.0346,52.81,272197,12989,9292000,2024-01-11T06:18:29.589634,Winners
IXIXF,Indigo Exploration Inc.,0.0319,0.0066,26.09,2000,38864,6549000,2024-01-11T06:18:29.589634,Winners
USNU,"U.S. NeuroSurgical Holdings, Inc.",0.52,0.1,23.81,5000,11050,4828000,2024-01-11T06:18:29.589634,Winners
FMHS,"Farmhouse, Inc",0.2,0.08,66.68,10050,12062,3465000,2024-01-11T06:18:29.589634,Winners
CMXC,Cell MedX Corp.,0.0445,0.0185,71.15,222484,70269,2800000,2024-01-11T06:18:29.589634,Winners
TRLFF,Maven Brands Inc.,0.025,0.0098,64.47,344970,16175,878522,2024-01-11T06:18:29.589634,Winners
CNCOF,CORE NICKEL CORP,0.1,0.025,33.33,8939,16719,0,2024-01-11T06:18:29.589634,Winners
AAGH,America Great Health,0.02,0.005,33.33,152900,159049,422142000,2024-01-16T06:18:40.175453,Winners
ECSL,"EncounterCare Solutions, Inc.",0.93,0.225,31.91,410735,49847,64775000,2024-01-16T06:18:40.175453,Winners
BTTC,Bitech Technologies Corporation,0.085,0.015,21.43,699317,79931,40560000,2024-01-16T06:18:40.175453,Winners
RWGI,"Rodedawg International Industries, Inc.",0.074,0.032,76.19,64501,51719,13636000,2024-01-16T06:18:40.175453,Winners
GMETF,GameOn Entertainment Technologies Inc.,0.1369,0.0284,26.18,21857,24627,9660000,2024-01-16T06:18:40.175453,Winners
MRGE,Mirage Energy Corporation,0.018,0.005,38.46,60000,75047,8941000,2024-01-16T06:18:40.175453,Winners
ECGS,Eco-Growth Strategies Inc.,0.1722,0.0622,56.5,68985,16981,6065000,2024-01-16T06:18:40.175453,Winners
CMXC,Cell MedX Corp.,0.079,0.035,79.55,109001,73834,4971000,2024-01-16T06:18:40.175453,Winners
FUAPF,Global Compliance Applications Corp.,0.0186,0.0039,26.53,68117,41942,4833000,2024-01-16T06:18:40.175453,Winners
BULT,"Bullet Blockchain, Inc.",0.1185,0.0224,23.27,9480,28469,570704,2024-01-16T06:18:40.175453,Winners
ECDP,Echo Defense Projects Inc.,0.27,0.0532,24.55,15077,37065,49026,2024-01-16T06:18:40.175453,Winners
NREG,"NewRegen, Inc.",0.0163,0.0067,69.79,353239,1397000,0,2024-01-16T06:18:40.175453,Winners
RSCI,"Redwood Scientific Technologies, Inc.",0.9038,0.1538,20.5,33423,10669,184525000,2024-02-23T06:17:55.465534,Winners
MDWK,"MDWerks, Inc.",0.19,0.07,58.33,12100,35161,24223000,2024-02-23T06:17:55.465534,Winners
FUUN,"FutureNet, Inc.",0.0359,0.0149,70.95,46445,13811,16155000,2024-02-23T06:17:55.465534,Winners
XTCYF,Xtacy Therapeutics Corp.,0.21,0.1471,233.86,2000,11239,10335000,2024-02-23T06:17:55.465534,Winners
BLTH,"American Battery Materials, Inc.",0.88,0.19,27.54,224,363731,10022000,2024-02-23T06:17:55.465534,Winners
DHBUF,Delivra Health Brands Inc.,0.0283,0.0061,27.48,8200,118031,8847000,2024-02-23T06:17:55.465534,Winners
ZAIRF,Abound Energy Inc.,0.278,0.066,31.13,23047,29485,5147000,2024-02-23T06:17:55.465534,Winners
LMLLF,Pharmadrug Inc.,0.043,0.0106,32.72,8086,41544,4040000,2024-02-23T06:17:55.465534,Winners
CVHL,"CV Holdings, Inc.",0.057,0.0195,52.0,9437,15860,2475000,2024-02-23T06:17:55.465534,Winners
CYIO,CYIOS Corporation,0.015,0.004,36.99,4884000,990497,2621000,2024-02-23T06:17:55.465534,Winners
DIGP,"Digipath, Inc.",0.0235,0.0076,48.26,79217,189028,2047000,2024-02-23T06:17:55.465534,Winners
WDDD,Worlds Inc.,0.0123,0.0047,61.84,97900,36695,702483,2024-02-23T06:17:55.465534,Winners
OBSEF,ObsEva SA,0.0797,0.0247,44.91,3863,23487,0,2024-02-23T06:17:55.465534,Winners
OIBZQ,Oi S.A.,0.18,0.1794,0.0,200,19080,214459000,2024-01-02T06:17:56.085252,Winners
EULIF,European Lithium Limited,0.079,0.014,21.54,178230,39691,110145000,2024-01-02T06:17:56.085252,Winners
RVIV,Reviv3 Procare Company,0.43,0.09,26.47,62996,22109,50343000,2024-01-02T06:17:56.085252,Winners
BNTRF,Benton Resources Inc.,0.1599,0.0699,77.67,172747,68258,27466000,2024-01-02T06:17:56.085252,Winners
ETST,"Earth Science Tech, Inc.",0.0697,0.0192,38.02,12046,69497,21947000,2024-01-02T06:17:56.085252,Winners
MVNT,Movement Industries Corporation,0.027,0.006,28.57,408200,135525,8798000,2024-01-02T06:17:56.085252,Winners
CSOC,Caduceus Software Systems Corp.,0.0289,0.0092,46.7,59754,27820,7997000,2024-01-02T06:17:56.085252,Winners
IHAI,"Innovative Holdings Alliance, Inc.",0.44,0.075,20.55,300,27964,7548000,2024-01-02T06:17:56.085252,Winners
BMCS,"BioTech Medics, Inc.",0.0359,0.0076,26.86,296,31629,7265000,2024-01-02T06:17:56.085252,Winners
MDWK,"MDWerks, Inc.",0.05,0.02,66.67,9000,18315,6375000,2024-01-02T06:17:56.085252,Winners
RGBP,"Regen BioPharma, Inc.",0.95,0.235,32.87,27343,18697,3381000,2024-01-02T06:17:56.085252,Winners
ARTM,"American Nortel Communications, Inc.",0.046,0.0194,72.93,25200,50671,3004000,2024-01-02T06:17:56.085252,Winners
VXLLF,Vaxil Bio Ltd.,0.02,0.0147,277.36,117462,18808,2740000,2024-01-02T06:17:56.085252,Winners
BLIAQ,BB Liquidating Inc.,0.01,0.005,100.0,17151,34812,2413000,2024-01-02T06:17:56.085252,Winners
CRYBF,Cryptoblox Technologies Inc.,0.033,0.0066,24.76,228259,87581,2191000,2024-01-02T06:17:56.085252,Winners
IWAL,iWallet Corporation,0.0175,0.008,84.21,2000,19215,1274000,2024-01-02T06:17:56.085252,Winners
GERS,CleanTech Alpha Corporation,0.0892,0.0161,21.97,65222,19997,1261000,2024-01-02T06:17:56.085252,Winners
AFFL,Affiliated Resources Corp,0.011,0.002,22.22,236000,28900,745820,2024-01-02T06:17:56.085252,Winners
NXSGF,Nexus Gold Corp.,0.0114,0.005,78.12,11000,10431,631539,2024-01-02T06:17:56.085252,Winners
BULT,"Bullet Blockchain, Inc.",0.08,0.025,45.45,155057,18115,570704,2024-01-02T06:17:56.085252,Winners
MHHC,MHHC Enterprises Inc.,0.075,0.0222,42.05,719,31230,369113,2024-01-02T06:17:56.085252,Winners
CNVT,CVF Technologies Corporation,0.035,0.021,150.0,40250,25672,313946,2024-01-02T06:17:56.085252,Winners
BRPHF,Galaxy Digital Holdings Ltd.,8.3,1.03,14.11,149732,210946,2675000000,2024-02-09T06:17:01.960329,Winners
BITF,Bitfarms Ltd.,2.52,0.24,10.53,24912000,28767000,811763000,2024-02-09T06:17:01.960329,Winners
EVLV,"Evolv Technologies Holdings, Inc.",5.07,0.48,10.46,1429000,947055,766255000,2024-02-09T06:17:01.960329,Winners
CIFR,Cipher Mining Inc.,2.9,0.39,15.54,6576000,8222000,745468000,2024-02-09T06:17:01.960329,Winners
WULF,TeraWulf Inc.,2.03,0.31,18.02,30033000,18596000,489057000,2024-02-09T06:17:01.960329,Winners
ADSE,ADS-TEC Energy PLC,8.93,1.03,13.04,88890,86606,451722000,2024-02-09T06:17:01.960329,Winners
TNYA,"Tenaya Therapeutics, Inc.",5.13,0.71,16.06,1921000,435405,349409000,2024-02-09T06:17:01.960329,Winners
IREN,Iris Energy Limited,5.1,0.98,23.79,10254000,5196000,342161000,2024-02-09T06:17:01.960329,Winners
GNLX,Genelux Corporation,9.37,0.94,11.15,255751,119991,250345000,2024-02-09T06:17:01.960329,Winners
BTBT,"Bit Digital, Inc.",2.74,0.31,12.76,8454000,8279000,248677000,2024-02-09T06:17:01.960329,Winners
KOPN,Kopin Corporation,2.22,0.22,11.0,3244000,1427000,245312000,2024-02-09T06:17:01.960329,Winners
BSEM,"BioStem Technologies, Inc.",8.4,0.9,12.0,18882,26798,110041000,2024-02-09T06:17:01.960329,Winners
BIMI,BIMI Holdings Inc.,2.65,0.27,11.34,28691,28231,37110000,2024-02-09T06:17:01.960329,Winners
WETG,"WeTrade Group, Inc.",3.68,1.48,67.27,2796000,29000,9660000,2024-02-09T06:17:01.960329,Winners
CIFR,Cipher Mining Inc.,3.14,0.54,20.77,15299000,2515000,807162000,2023-12-19T06:18:03.972576,Winners
LYRA,"Lyra Therapeutics, Inc.",5.22,0.57,12.26,404165,250974,274379000,2023-12-19T06:18:03.972576,Winners
BADEF,Hercules Silver Corp.,1.19,0.2493,26.5,484489,539070,271195000,2023-12-19T06:18:03.972576,Winners
SERA,"Sera Prognostics, Inc.",5.96,1.06,21.63,1187000,1428000,186766000,2023-12-19T06:18:03.972576,Winners
DERM,Journey Medical Corporation,7.54,0.81,12.04,864997,163669,139553000,2023-12-19T06:18:03.972576,Winners
DRCT,"Direct Digital Holdings, Inc.",9.15,1.17,14.66,380057,821664,130574000,2023-12-19T06:18:03.972576,Winners
CXDO,"Crexendo, Inc.",3.9,0.53,15.73,620604,75877,101535000,2023-12-19T06:18:03.972576,Winners
CASI,"CASI Pharmaceuticals, Inc.",6.76,0.63,10.28,50028,50482,90053000,2023-12-19T06:18:03.972576,Winners
NGLD,Nevada Canyon Gold Corp.,3.0,0.4,15.38,5725,10248,73860000,2023-12-19T06:18:03.972576,Winners
SSNT,"SilverSun Technologies, Inc.",9.71,1.11,12.91,273146,857569,51038000,2023-12-19T06:18:03.972576,Winners
ZKIN,"ZK International Group Co., Ltd.",1.15,0.12,11.65,893781,54872,34952000,2023-12-19T06:18:03.972576,Winners
NTMFF,Neotech Metals Corp.,1.55,0.16,11.51,609579,165263,0,2023-12-19T06:18:03.972576,Winners
AAGH,America Great Health,0.02,0.009,81.82,2200,173918,422142000,2024-02-06T06:17:23.112971,Winners
TROYF,Troy Minerals Inc.,0.4979,0.0985,24.65,80604,31763,30477000,2024-02-06T06:17:23.112971,Winners
IGPK,"Integrated Cannabis Solutions, Inc.",0.0129,0.0031,31.63,99769000,29760000,21715000,2024-02-06T06:17:23.112971,Winners
APYP,"AppYea, Inc.",0.047,0.0168,55.63,199585,133958,13354000,2024-02-06T06:17:23.112971,Winners
RLAB,Real American Capital Corp.,0.345,0.079,29.7,8025,73414,9197000,2024-02-06T06:17:23.112971,Winners
MRGE,Mirage Energy Corporation,0.011,0.004,57.14,45000,79200,7884000,2024-02-06T06:17:23.112971,Winners
