Symbol,Close,Volume Mean,Screener,Date,Order,0.5%
NN,12.28,1221300,Winners 10,2025-04-02,3,
EDBL,2.65,179520,Winners 10,2025-04-02,4,
NPCE,13.11,229040,Winners 10,2025-04-02,5,
PPTA,10.76,704500,Winners 10,2025-04-02,6,
FORD,4.27,36180,Winners 10,2025-04-02,7,
KTTA,1.24,75280,Winners 10,2025-04-02,8,
CYN,4.76,37840,Winners 10,2025-04-03,1,
LUNR,8.305,8297940,Winners 10,2025-04-03,2,
DSP,13.64,345040,Winners 10,2025-04-03,3,
QNTM,8.04,3348180,Winners 10,2025-04-03,4,
TISI,17.76,13260,Winners 10,2025-04-03,5,
CVRX,12.98,163700,Winners 10,2025-04-03,6,
NN,12.82,1211240,Winners 10,2025-04-03,7,
EDBL,2.81,86720,Winners 10,2025-04-03,8,
DSP,12.66,432240,Winners 10,2025-04-04,1,
NCTY,13.05,106500,Winners 10,2025-04-04,2,
TISI,18.15,18280,Winners 10,2025-04-04,3,
QNTM,7.86,3187300,Winners 10,2025-04-04,4,
CGTL,5.38,601740,Winners 10,2025-04-04,5,
NN,12.51,1293660,Winners 10,2025-04-04,6,
RUM,7.69,2694940,Winners 10,2025-04-04,7,
HPAI,6.34,18680,Winners 10,2025-04-04,8,
DSP,12.355,524100,Winners 10,2025-04-07,1,
TISI,19.12,39820,Winners 10,2025-04-07,2,
CVRX,11.72,188620,Winners 10,2025-04-07,3,
HPAI,6.73,50000,Winners 10,2025-04-07,4,
CORZ,7.18,25351100,Winners 10,2025-04-07,5,
ALHC,18.11,3676980,Winners 10,2025-04-07,6,
EVGO,2.57,3738360,Winners 10,2025-04-07,7,
CTKB,3.71,941840,Winners 10,2025-04-07,8,
CYN,3.895,116140,Winners 10,2025-04-08,1,
DSP,12.27,541960,Winners 10,2025-04-08,2,
LUNR,7.12,9250580,Winners 10,2025-04-08,3,
NPCE,12.3,220880,Winners 10,2025-04-08,4,
RUM,7.62,2782160,Winners 10,2025-04-08,5,
CVRX,11.54,225020,Winners 10,2025-04-08,6,
CORZ,7.02,25678180,Winners 10,2025-04-08,7,
ANGO,9.31,1270960,Winners 10,2025-04-08,8,
CYN,4.11,126960,Winners 10,2025-04-09,1,
CGTL,5.11,1228660,Winners 10,2025-04-09,2,
TTEC,3.71,4113060,Winners 10,2025-04-09,3,
SPHL,0.514,201340,Winners 10,2025-04-09,4,
CRBP,5.39,227340,Winners 10,2025-04-09,5,
RTC,0.2,298220,Winners 10,2025-04-09,6,
EDBL,2.1,43560,Winners 10,2025-04-09,7,
NAMI,2.85,48880,Winners 10,2025-04-09,8,
CYN,4.64,134280,Winners 10,2025-04-10,1,
LUNR,8.38,11081800,Winners 10,2025-04-10,2,
DSP,14.16,573740,Winners 10,2025-04-10,3,
CGNT,9.41,757760,Winners 10,2025-04-10,4,
RUM,8.155,2562440,Winners 10,2025-04-10,5,
CRBP,5.67,256040,Winners 10,2025-04-10,6,
TTEC,3.96,800500,Winners 10,2025-04-10,7,
QRHC,2.69,95380,Winners 10,2025-04-10,8,
CGTL,5.13,1383240,Winners 10,2025-04-11,1,
CRBP,5.69,236360,Winners 10,2025-04-11,2,
HPAI,6.05,60880,Winners 10,2025-04-11,3,
FATE,0.94,2705040,Winners 10,2025-04-11,4,
RTC,0.21,287180,Winners 10,2025-04-11,5,
VSTE,0.346,625560,Winners 10,2025-04-11,6,
RBOT,5.43,21260,Winners 10,2025-04-11,7,
MRKR,1.03,56980,Winners 10,2025-04-11,8,
FORD,4.84,86880,Winners 10,2025-04-14,1,
CRBP,6.04,239820,Winners 10,2025-04-14,2,
SPHL,0.52,1247460,Winners 10,2025-04-14,3,
HPAI,6.23,44780,Winners 10,2025-04-14,4,
AIRS,1.82,310460,Winners 10,2025-04-14,5,
FATE,1.06,2273620,Winners 10,2025-04-14,6,
INDI,2.08,4415740,Winners 10,2025-04-14,7,
EVTL,3.43,251480,Winners 10,2025-04-14,8,
FORD,5.69,46480,Winners 10,2025-04-15,1,
INHD,5.394,11820,Winners 10,2025-04-15,2,
AMWL,7.18,34960,Winners 10,2025-04-15,3,
RCEL,8.95,199020,Winners 10,2025-04-15,4,
HPAI,5.88,53320,Winners 10,2025-04-15,5,
RTC,0.23,292680,Winners 10,2025-04-15,6,
CREV,3.08,80100,Winners 10,2025-04-15,7,
CGC,1.03,3189380,Winners 10,2025-04-15,8,
LUNR,7.79,7840680,Winners 10,2025-04-16,1,
RDW,10.18,1596300,Winners 10,2025-04-16,2,
CRBP,5.99,179420,Winners 10,2025-04-16,3,
SMR,15.38,6393860,Winners 10,2025-04-16,4,
AUID,8.0,213160,Winners 10,2025-04-16,5,
RCEL,9.23,196600,Winners 10,2025-04-16,6,
RBOT,5.74,18480,Winners 10,2025-04-16,7,
WKEY,3.93,127880,Winners 10,2025-04-16,8,
CYN,4.465,31380,Winners 10,2025-04-17,1,
CGNT,9.7,447740,Winners 10,2025-04-17,2,
RCEL,9.02,164520,Winners 10,2025-04-17,3,
RBOT,5.41,17140,Winners 10,2025-04-17,4,
FORD,5.5,32400,Winners 10,2025-04-17,5,
CGTL,5.23,661380,Winners 10,2025-04-17,6,
SPHL,0.472,1162800,Winners 10,2025-04-17,7,
AMWL,7.02,29840,Winners 10,2025-04-17,8,
TISI,23.39,44180,Winners 10,2025-04-18,1,
RDW,10.11,1201800,Winners 10,2025-04-18,2,
CRBP,6.03,144580,Winners 10,2025-04-18,3,
VERV,4.59,13695840,Winners 10,2025-04-18,4,
FORD,5.52,27780,Winners 10,2025-04-18,5,
ASTS,23.39,5744020,Winners 10,2025-04-18,6,
CGTL,5.62,361780,Winners 10,2025-04-18,7,
RLAY,2.69,2378500,Winners 10,2025-04-18,8,
TISI,23.39,44180,Winners 10,2025-04-21,1,
RDW,10.11,1201800,Winners 10,2025-04-21,2,
CRBP,6.03,144580,Winners 10,2025-04-21,3,
VERV,4.59,13696640,Winners 10,2025-04-21,4,
FORD,5.52,27780,Winners 10,2025-04-21,5,
ASTS,23.39,5746260,Winners 10,2025-04-21,6,
CGTL,5.62,361780,Winners 10,2025-04-21,7,
RLAY,2.69,2378500,Winners 10,2025-04-21,8,
QURE,13.29,4296260,Winners 10,2025-04-22,1,
CRBP,6.3,121620,Winners 10,2025-04-22,2,
VERV,4.78,14338400,Winners 10,2025-04-22,3,
RCEL,9.1,169900,Winners 10,2025-04-22,4,
CGTL,5.98,350060,Winners 10,2025-04-22,5,
RLAY,2.75,2321740,Winners 10,2025-04-22,6,
REPL,8.765,898720,Winners 10,2025-04-22,7,
SPHL,0.375,219480,Winners 10,2025-04-22,8,
CYN,4.76,30900,Winners 10,2025-04-23,1,
QURE,14.39,4471160,Winners 10,2025-04-23,2,
LUNR,7.36,4646880,Winners 10,2025-04-23,3,
VERV,5.25,8761200,Winners 10,2025-04-23,4,
DSP,12.02,243940,Winners 10,2025-04-23,5,
RCEL,9.61,165480,Winners 10,2025-04-23,6,
SBC,3.93,15500,Winners 10,2025-04-23,7,
AMWL,7.8,37860,Winners 10,2025-04-23,8,
RDW,10.17,1078140,Winners 10,2025-04-24,1,
PPTA,13.68,1079620,Winners 10,2025-04-24,2,
VERV,5.47,4776540,Winners 10,2025-04-24,3,
REPL,8.83,913360,Winners 10,2025-04-24,4,
LUNR,7.86,5363100,Winners 10,2025-04-24,5,
TISI,22.35,29560,Winners 10,2025-04-24,6,
AMWL,7.71,41560,Winners 10,2025-04-24,7,
RIGL,18.16,158000,Winners 10,2025-04-24,8,
RDW,10.97,1029020,Winners 10,2025-04-25,1,
VERV,5.78,3974740,Winners 10,2025-04-25,2,
REPL,9.06,867240,Winners 10,2025-04-25,3,
LUNR,8.38,5513760,Winners 10,2025-04-25,4,
INHD,7.75,100640,Winners 10,2025-04-25,5,
SMR,16.56,5547440,Winners 10,2025-04-25,6,
SOFI,12.31,54442380,Winners 10,2025-04-25,7,
RBOT,6.65,13420,Winners 10,2025-04-25,8,
PPTA,14.29,1110540,Winners 10,2025-04-28,1,
HSAI,15.3,6062120,Winners 10,2025-04-28,2,
DOMH,4.79,188600,Winners 10,2025-04-28,3,
CORZ,8.31,11694500,Winners 10,2025-04-28,4,
FIP,4.36,1404340,Winners 10,2025-04-28,5,
AIP,6.79,179120,Winners 10,2025-04-28,6,
MBI,4.76,255660,Winners 10,2025-04-28,7,
VATE,6.63,21820,Winners 10,2025-04-28,8,
HSAI,15.36,5597800,Winners 10,2025-04-29,1,
VERV,5.73,3116540,Winners 10,2025-04-29,2,
ASTS,24.25,7511840,Winners 10,2025-04-29,3,
ENTA,5.63,185280,Winners 10,2025-04-29,4,
ALDX,2.76,1128140,Winners 10,2025-04-29,5,
SLDB,3.23,1358600,Winners 10,2025-04-29,6,
NESR,6.35,272520,Winners 10,2025-04-29,7,
CRIS,1.86,96080,Winners 10,2025-04-29,8,
HSAI,18.2,6126940,Winners 10,2025-04-30,1,
WVE,7.34,1392980,Winners 10,2025-04-30,2,
AIP,6.81,178640,Winners 10,2025-04-30,3,
FIP,4.46,1260920,Winners 10,2025-04-30,4,
LXU,6.08,609560,Winners 10,2025-04-30,5,
OMER,7.21,442160,Winners 10,2025-04-30,6,
MBI,4.78,233800,Winners 10,2025-04-30,7,
AIRS,2.24,153900,Winners 10,2025-04-30,8,
QURE,14.76,875920,Winners 10,2025-05-01,1,
WVE,7.72,1422560,Winners 10,2025-05-01,2,
MIND,6.71,195020,Winners 10,2025-05-01,3,
CRBP,7.47,179860,Winners 10,2025-05-01,4,
VERV,5.67,2243320,Winners 10,2025-05-01,5,
NCTY,12.48,123420,Winners 10,2025-05-01,6,
PPTA,14.73,950740,Winners 10,2025-05-01,7,
LXU,6.38,633720,Winners 10,2025-05-01,8,
REPL,10.01,936840,Winners 10,2025-05-04,1,
RDW,12.18,915160,Winners 10,2025-05-04,2,
KC,15.23,2915700,Winners 10,2025-05-04,3,
CVRX,7.95,365700,Winners 10,2025-05-04,4,
ASTS,26.42,8009580,Winners 10,2025-05-04,5,
LCFY,5.07,71440,Winners 10,2025-05-04,6,
ALDX,2.81,1054480,Winners 10,2025-05-04,7,
CRBP,7.79,128280,Winners 10,2025-05-04,8,
REPL,10.01,936840,Winners 10,2025-05-05,1,
RDW,12.18,915160,Winners 10,2025-05-05,2,
KC,15.23,2915700,Winners 10,2025-05-05,3,
CVRX,7.95,365700,Winners 10,2025-05-05,4,
ASTS,26.42,8009580,Winners 10,2025-05-05,5,
LCFY,5.07,71440,Winners 10,2025-05-05,6,
ALDX,2.81,1054480,Winners 10,2025-05-05,7,
CRBP,7.79,128280,Winners 10,2025-05-05,8,
SOFI,12.86,86086120,Winners 10,2025-05-06,1,
AIP,6.82,145680,Winners 10,2025-05-06,2,
RLAY,3.32,2671840,Winners 10,2025-05-06,3,
LUCY,1.9,444840,Winners 10,2025-05-06,4,
EDBL,1.92,51020,Winners 10,2025-05-06,5,
INDI,2.01,1835520,Winners 10,2025-05-06,6,
BLZE,4.6,273560,Winners 10,2025-05-06,7,
AMWL,7.31,109900,Winners 10,2025-05-06,8,
OUST,8.26,973980,Loosers 10,2025-05-08,1,
EWCZ,3.45,1052460,Loosers 10,2025-05-08,2,
PERI,9.22,636400,Loosers 10,2025-05-08,3,
OBIO,2.46,293520,Loosers 10,2025-05-08,4,
LYT,0.0193,366549,Loosers 10,2025-05-08,5,
BTDR,11.35,4358440,Random 10,2025-05-08,1,
COGT,4.72,1227700,Random 10,2025-05-08,2,
TERN,3.025,1077820,Random 10,2025-05-08,3,
BMR,2.88,62260,Random 10,2025-05-08,4,
COYA,5.97,52520,Random 10,2025-05-08,5,
BTMD,3.34,348360,Random 10,2025-05-08,6,
MDXG,6.98,1406160,Random 10,2025-05-08,7,
VRA,1.88,146540,Random 10,2025-05-08,8,
SOFI,13.01,52928160,Winners 10,2025-05-08,1,
MIND,6.72,96220,Winners 10,2025-05-08,2,
DOMH,5.58,295500,Winners 10,2025-05-08,3,
KALA,3.45,72320,Winners 10,2025-05-08,4,
SWIM,5.97,939620,Winners 10,2025-05-08,5,
AIRS,2.56,1237800,Winners 10,2025-05-08,6,
AIP,7.24,220180,Winners 10,2025-05-08,7,
SHCO,6.33,223500,Winners 10,2025-05-08,8,
MLYS,15.61,717892,Loosers 10,2025-05-09,1,
ARRY,5.5,7912729,Loosers 10,2025-05-09,2,
HDSN,7.8,940705,Loosers 10,2025-05-09,3,
LZ,8.96,2956083,Loosers 10,2025-05-09,4,
GTN,4.35,2287781,Loosers 10,2025-05-09,5,
TH,6.97,435701,Loosers 10,2025-05-09,6,
ASLE,6.16,592332,Loosers 10,2025-05-09,7,
HLF,6.99,2488863,Loosers 10,2025-05-09,8,
BTDR,13.54,5031304,Random 10,2025-05-09,1,
FULC,5.41,1598216,Random 10,2025-05-09,2,
MTRX,13.65,263870,Random 10,2025-05-09,3,
CDXC,9.24,1654228,Random 10,2025-05-09,4,
SERV,6.56,4497038,Random 10,2025-05-09,5,
RAIL,6.44,437171,Random 10,2025-05-09,6,
COGT,4.98,1179537,Random 10,2025-05-09,7,
CINT,6.21,100917,Random 10,2025-05-09,8,
CVRX,7.78,248304,Winners 10,2025-05-09,1,
LUNR,9.35,5423313,Winners 10,2025-05-09,2,
DSP,14.39,364310,Winners 10,2025-05-09,3,
AIRS,2.83,1467051,Winners 10,2025-05-09,4,
FIP,4.66,893990,Winners 10,2025-05-09,5,
QUIK,5.96,81217,Winners 10,2025-05-09,6,
ALDX,2.16,2096673,Winners 10,2025-05-09,7,
WKEY,4.63,106343,Winners 10,2025-05-09,8,
CDLX,1.935,1740600,Loosers 10,2025-05-12,1,
OBIO,2.65,290720,Loosers 10,2025-05-12,2,
SPIR,9.83,359060,Loosers 10,2025-05-12,3,
RILY,3.02,615360,Loosers 10,2025-05-12,4,
JSPR,4.52,179560,Loosers 10,2025-05-12,5,
LYT,0.0178,255840,Loosers 10,2025-05-12,6,
ASLE,6.09,651260,Loosers 10,2025-05-12,7,
LILAK,4.56,2917340,Loosers 10,2025-05-12,8,
FULC,5.37,871900,Random 10,2025-05-12,1,
SERV,7.46,5884200,Random 10,2025-05-12,2,
SDA,2.59,94640,Random 10,2025-05-12,3,
ARQ,3.9,309060,Random 10,2025-05-12,4,
TERN,3.04,794980,Random 10,2025-05-12,5,
COYA,6.05,52220,Random 10,2025-05-12,6,
LFVN,12.27,398520,Random 10,2025-05-12,7,
AUTL,1.32,2899100,Random 10,2025-05-12,8,
CYN,4.13,76300,Winners 10,2025-05-12,1,
DOMH,5.99,272560,Winners 10,2025-05-12,2,
KALA,3.42,115680,Winners 10,2025-05-12,3,
RIGL,18.77,340440,Winners 10,2025-05-12,4,
ALDX,2.18,2136660,Winners 10,2025-05-12,5,
LAZR,4.16,1307800,Winners 10,2025-05-12,6,
SPHL,0.549,484060,Winners 10,2025-05-12,7,
LUCY,1.83,91020,Winners 10,2025-05-12,8,
LQDA,15.75,1123460,Loosers 10,2025-05-13,1,
LFMD,8.55,1912860,Loosers 10,2025-05-13,2,
MLYS,15.01,775000,Loosers 10,2025-05-13,3,
CDLX,2.17,1421540,Loosers 10,2025-05-13,4,
HLF,7.06,2127260,Loosers 10,2025-05-13,5,
SKYE,2.05,222080,Loosers 10,2025-05-13,6,
LYT,0.0195,344837,Loosers 10,2025-05-13,7,
MTEN,14.7,144680,Random 10,2025-05-13,1,
CDXC,9.39,1644889,Random 10,2025-05-13,2,
FULC,5.68,687880,Random 10,2025-05-13,3,
HIMX,8.17,1524260,Random 10,2025-05-13,4,
YMM,12.59,7263440,Random 10,2025-05-13,5,
ALT,6.01,2671920,Random 10,2025-05-13,6,
RAIL,6.95,400040,Random 10,2025-05-13,7,
TMCI,7.195,943040,Random 10,2025-05-13,8,
CYN,4.7,80720,Winners 10,2025-05-13,1,
HSAI,17.735,4984820,Winners 10,2025-05-13,2,
TIGR,9.96,3684840,Winners 10,2025-05-13,3,
FNKO,5.14,2137300,Winners 10,2025-05-13,4,
KALA,3.5,115380,Winners 10,2025-05-13,5,
IBIO,0.79,976620,Winners 10,2025-05-13,6,
RIGL,18.61,366300,Winners 10,2025-05-13,7,
SHCO,6.35,215740,Winners 10,2025-05-13,8,
MLYS,15.19,916660,Loosers 10,2025-05-14,1,
ACHR,11.16,33623040,Loosers 10,2025-05-14,2,
SINT,3.308,72760,Loosers 10,2025-05-14,3,
OBIO,2.94,261140,Loosers 10,2025-05-14,4,
PERI,10.85,1249120,Loosers 10,2025-05-14,5,
APVO,0.34,823100,Loosers 10,2025-05-14,6,
SPIR,9.96,458200,Loosers 10,2025-05-14,7,
KYTX,2.32,199920,Loosers 10,2025-05-14,8,
VTSI,6.41,255180,Random 10,2025-05-14,1,
ASYS,3.49,88480,Random 10,2025-05-14,2,
PPSI,2.73,98680,Random 10,2025-05-14,3,
HSAI,18.34,5143000,Winners 10,2025-05-14,1,
LUNR,11.63,10815160,Winners 10,2025-05-14,2,
SMR,21.64,11253400,Winners 10,2025-05-14,3,
DSP,15.62,398960,Winners 10,2025-05-14,4,
CADL,5.395,771280,Winners 10,2025-05-14,5,
FIP,5.14,1987980,Winners 10,2025-05-14,6,
FIGS,4.6,3091840,Winners 10,2025-05-14,7,
RDW,11.39,1432120,Winners 10,2025-05-14,8,
LFMD,9.56,1798240,Loosers 10,2025-05-15,1,
MLYS,15.11,1015060,Loosers 10,2025-05-15,2,
SPIR,10.41,615540,Loosers 10,2025-05-15,3,
SKYE,1.9,216020,Loosers 10,2025-05-15,4,
LYT,0.0186,386966,Loosers 10,2025-05-15,5,
LFVN,12.56,204400,Random 10,2025-05-15,1,
NYXH,6.06,124420,Random 10,2025-05-15,2,
ESOA,8.53,375780,Random 10,2025-05-15,3,
HAO,1.51,67200,Random 10,2025-05-15,4,
LCUT,3.38,147260,Random 10,2025-05-15,5,
SRTS,4.82,71700,Random 10,2025-05-15,6,
PPSI,2.93,62440,Random 10,2025-05-15,7,
OABI,1.52,957100,Random 10,2025-05-15,8,
DOMH,5.82,522020,Winners 10,2025-05-15,1,
EVGO,4.05,6208000,Winners 10,2025-05-15,2,
KALA,3.27,78820,Winners 10,2025-05-15,3,
RDW,11.58,1633760,Winners 10,2025-05-15,4,
ALDX,2.17,1267820,Winners 10,2025-05-15,5,
BNR,2.61,105740,Winners 10,2025-05-15,6,
NN,13.29,1430160,Winners 10,2025-05-15,7,
SPHL,0.537,210700,Winners 10,2025-05-15,8,
HDSN,7.88,808060,Loosers 10,2025-05-16,1,
VERB,5.67,311820,Loosers 10,2025-05-16,2,
OBIO,2.89,199480,Loosers 10,2025-05-16,3,
APVO,0.33,826980,Loosers 10,2025-05-16,4,
HLF,7.07,1843980,Loosers 10,2025-05-16,5,
EGAN,5.24,51360,Loosers 10,2025-05-16,6,
QTTB,1.74,72200,Loosers 10,2025-05-16,7,
SKYE,2.01,193960,Loosers 10,2025-05-16,8,
XYF,14.59,297540,Random 10,2025-05-16,1,
FULC,6.6,647180,Random 10,2025-05-16,2,
WCT,0.303,2503760,Random 10,2025-05-16,3,
MRVI,1.96,2718340,Random 10,2025-05-16,4,
KTCC,2.6,61120,Random 10,2025-05-16,5,
AUTL,1.29,2520800,Random 10,2025-05-16,6,
ASTS,26.24,13537880,Winners 10,2025-05-16,1,
CORZ,10.51,11613340,Winners 10,2025-05-16,2,
CYRX,6.73,554040,Winners 10,2025-05-16,3,
SRI,5.0,582620,Winners 10,2025-05-16,4,
TTNP,4.86,104620,Winners 10,2025-05-16,5,
QUIK,6.0,159060,Winners 10,2025-05-16,6,
QNTM,9.15,112960,Winners 10,2025-05-16,7,
NCTY,12.15,106240,Winners 10,2025-05-16,8,
SINT,3.16,91160,Loosers 10,2025-05-19,1,
VERB,6.37,319340,Loosers 10,2025-05-19,2,
CDLX,2.06,953860,Loosers 10,2025-05-19,3,
APVO,0.32,813080,Loosers 10,2025-05-19,4,
QTTB,1.77,84560,Loosers 10,2025-05-19,5,
KYTX,2.32,379820,Loosers 10,2025-05-19,6,
LYT,0.0185,340509,Loosers 10,2025-05-19,7,
BTDR,15.19,6129500,Random 10,2025-05-19,1,
IREN,8.41,22138100,Random 10,2025-05-19,2,
LFVN,13.39,151520,Random 10,2025-05-19,3,
ARQ,4.68,253180,Random 10,2025-05-19,4,
DTST,3.92,82060,Random 10,2025-05-19,5,
BMR,2.85,117160,Random 10,2025-05-19,6,
MRVI,2.1,2648340,Random 10,2025-05-19,7,
MTLS,5.36,109140,Random 10,2025-05-19,8,
OSCR,17.52,9131960,Winners 10,2025-05-19,1,
CORZ,10.78,12846720,Winners 10,2025-05-19,2,
