Symbol,Close,Volume Mean,Screener,Date,Order,0.5%
OSCR,15.53,5834160,Winners 10,2025-03-11,1,
GOTU,3.48,3437500,Winners 10,2025-03-11,2,
VINC,0.83,106700,Winners 10,2025-03-11,3,
MRKR,1.53,776480,Winners 10,2025-03-11,4,
VISL,2.5,11020,Winners 10,2025-03-11,5,
LVWR,2.16,30780,Winners 10,2025-03-11,6,
CRBP,6.79,203000,Winners 10,2025-03-11,7,
SNGX,2.26,24540,Winners 10,2025-03-11,8,
BNTC,13.29,33100,Winners 10,2025-03-12,1,
IBIO,5.72,445220,Winners 10,2025-03-12,2,
SERA,4.22,123580,Winners 10,2025-03-12,3,
RTC,0.33,1929680,Winners 10,2025-03-12,4,
ALHC,15.42,2650080,Winners 10,2025-03-12,5,
FCEL,6.56,820880,Winners 10,2025-03-12,6,
ANNX,2.67,909760,Winners 10,2025-03-12,7,
VINC,0.819,85980,Winners 10,2025-03-12,8,
CYN,4.38,314420,Winners 10,2025-03-13,1,
RDFN,10.38,31210460,Winners 10,2025-03-13,2,
SRI,5.33,356180,Winners 10,2025-03-13,3,
FCEL,6.85,870740,Winners 10,2025-03-13,4,
RTC,0.34,1923460,Winners 10,2025-03-13,5,
QURE,13.34,826900,Winners 10,2025-03-13,6,
CYRX,7.04,1014420,Winners 10,2025-03-13,7,
KLXE,4.65,246480,Winners 10,2025-03-13,8,
CYN,4.88,311560,Winners 10,2025-03-14,1,
QURE,13.78,821640,Winners 10,2025-03-14,2,
FCEL,6.49,868840,Winners 10,2025-03-14,3,
LVWR,2.11,32000,Winners 10,2025-03-14,4,
ZVRA,7.94,635860,Winners 10,2025-03-14,5,
WKEY,4.68,215220,Winners 10,2025-03-14,6,
GLE,1.65,56480,Winners 10,2025-03-14,7,
GOTU,3.46,2738340,Winners 10,2025-03-14,8,
RDFN,10.7,30981040,Winners 10,2025-03-17,1,
QURE,14.2,909000,Winners 10,2025-03-17,2,
FTK,9.42,434800,Winners 10,2025-03-17,3,
SWIM,7.29,706780,Winners 10,2025-03-17,4,
WKEY,4.87,190000,Winners 10,2025-03-17,5,
ALHC,15.79,2539760,Winners 10,2025-03-17,6,
CRBP,6.79,167560,Winners 10,2025-03-17,7,
LVWR,2.23,31600,Winners 10,2025-03-17,8,
RDFN,11.39,14019660,Winners 10,2025-03-18,1,
HSAI,22.3,11451800,Winners 10,2025-03-18,2,
NN,11.38,1942220,Winners 10,2025-03-18,3,
GLUE,6.73,459900,Winners 10,2025-03-18,4,
VINC,0.829,68080,Winners 10,2025-03-18,5,
IONR,4.22,11200,Winners 10,2025-03-18,6,
GLE,1.91,46460,Winners 10,2025-03-18,7,
KTTA,1.13,137920,Winners 10,2025-03-18,8,
NN,11.87,2144520,Winners 10,2025-03-19,1,
LAZR,6.83,2899180,Winners 10,2025-03-19,2,
ALHC,16.74,3019260,Winners 10,2025-03-19,3,
EVTL,4.21,282980,Winners 10,2025-03-19,4,
TELO,4.12,175760,Winners 10,2025-03-19,5,
OMER,8.92,415820,Winners 10,2025-03-19,6,
EVGO,2.56,3217480,Winners 10,2025-03-19,7,
RCEL,9.25,215540,Winners 10,2025-03-19,8,
CYN,4.83,103360,Winners 10,2025-03-20,1,
QURE,14.04,918580,Winners 10,2025-03-20,2,
HSAI,20.75,8200620,Winners 10,2025-03-20,3,
NN,11.8,2202220,Winners 10,2025-03-20,4,
SMR,18.53,6428160,Winners 10,2025-03-20,5,
QNTM,6.66,2014620,Winners 10,2025-03-20,6,
EVTL,4.37,284820,Winners 10,2025-03-20,7,
GLUE,6.7,624760,Winners 10,2025-03-20,8,
CYN,4.64,77980,Winners 10,2025-03-21,1,
RDFN,11.19,7004060,Winners 10,2025-03-21,2,
SMR,18.2,6441820,Winners 10,2025-03-21,3,
BNTC,16.79,61240,Winners 10,2025-03-21,4,
NN,11.84,1757740,Winners 10,2025-03-21,5,
QNTM,6.75,2150420,Winners 10,2025-03-21,6,
EVTL,4.28,299860,Winners 10,2025-03-21,7,
OMER,9.1,399380,Winners 10,2025-03-21,8,
CYN,4.56,63060,Winners 10,2025-03-24,1,
SNCR,12.52,189880,Winners 10,2025-03-24,2,
QURE,13.7,1246040,Winners 10,2025-03-24,3,
LAZR,8.35,6051160,Winners 10,2025-03-24,4,
OMER,9.1,515340,Winners 10,2025-03-24,5,
EVTL,4.3,292820,Winners 10,2025-03-24,6,
NCTY,12.29,60960,Winners 10,2025-03-24,7,
CVRX,12.49,169540,Winners 10,2025-03-24,8,
CYN,4.98,83660,Winners 10,2025-03-25,1,
SMR,18.88,6533100,Winners 10,2025-03-25,2,
QURE,14.77,1324340,Winners 10,2025-03-25,3,
NCTY,12.64,71320,Winners 10,2025-03-25,4,
CVRX,12.76,184560,Winners 10,2025-03-25,5,
EDBL,2.55,22220,Winners 10,2025-03-25,6,
CORZ,9.31,15067260,Winners 10,2025-03-25,7,
LINK,6.59,14940,Winners 10,2025-03-25,8,
CYN,4.99,79720,Winners 10,2025-03-26,1,
SNCR,12.23,143540,Winners 10,2025-03-26,2,
TISI,18.01,34880,Winners 10,2025-03-26,3,
RDW,11.76,1477940,Winners 10,2025-03-26,4,
TIGR,9.01,9095880,Winners 10,2025-03-26,5,
BNTC,14.67,87260,Winners 10,2025-03-26,6,
QNTM,5.86,376320,Winners 10,2025-03-26,7,
LINK,6.83,16320,Winners 10,2025-03-26,8,
NPCE,12.72,239040,Winners 10,2025-03-27,1,
EDBL,3.835,127220,Winners 10,2025-03-27,2,
QNTM,6.95,424980,Winners 10,2025-03-27,3,
RUM,7.83,3485900,Winners 10,2025-03-27,4,
SBC,3.81,30940,Winners 10,2025-03-27,5,
CGTL,3.79,84080,Winners 10,2025-03-27,6,
HUMA,2.0,7296460,Winners 10,2025-03-27,7,
SGHT,2.675,200160,Winners 10,2025-03-27,8,
NN,13.0,1306820,Winners 10,2025-03-28,1,
AUID,6.32,174980,Winners 10,2025-03-28,2,
QNTM,8.38,491340,Winners 10,2025-03-28,3,
AMBI,5.5,30500,Winners 10,2025-03-28,4,
TIGR,9.1,7570520,Winners 10,2025-03-28,5,
OMER,8.92,550720,Winners 10,2025-03-28,6,
LAZR,6.15,8124140,Winners 10,2025-03-28,7,
CORZ,7.88,20233720,Winners 10,2025-03-28,8,
TISI,16.98,16840,Winners 10,2025-03-31,1,
LINK,6.64,11460,Winners 10,2025-03-31,2,
VATE,8.16,39220,Winners 10,2025-03-31,3,
GREE,0.82,167900,Winners 10,2025-03-31,4,
CALC,1.99,176280,Winners 10,2025-03-31,5,
APLT,0.516,1030440,Winners 10,2025-03-31,6,
TTEC,3.54,244600,Winners 10,2025-03-31,7,
CASI,2.15,14880,Winners 10,2025-03-31,8,
TISI,16.92,14220,Winners 10,2025-04-01,1,
NN,12.17,1274920,Winners 10,2025-04-01,2,
DSP,12.41,266000,Winners 10,2025-04-01,3,
NPCE,12.29,216020,Winners 10,2025-04-01,4,
SOFI,11.63,51412360,Winners 10,2025-04-01,5,
BYON,5.8,4567800,Winners 10,2025-04-01,6,
WEST,7.22,200860,Winners 10,2025-04-01,7,
RUM,7.07,2884320,Winners 10,2025-04-01,8,
QNTM,7.99,3449600,Winners 10,2025-04-02,1,
DSP,13.28,297080,Winners 10,2025-04-02,2,
