Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap,Date
SHOP,Shopify Inc.,112.54,0.46,0.41,4318000,7160000,145066000000,2024-11-28T06:34:59.165751
TRU,TransUnion,101.0,0.27,0.27,820106,1512000,19685000000,2024-11-28T06:34:59.165751
TWLO,Twilio Inc.,102.91,-1.5,-1.44,1397000,2461000,15785000000,2024-11-28T06:34:59.165751
MMYT,MakeMyTrip Limited,114.11,-0.14,-0.12,544310,648187,12527000000,2024-11-28T06:34:59.165751
ALSN,"Allison Transmission Holdings, Inc.",118.58,-0.99,-0.83,314908,587382,10272000000,2024-11-28T06:34:59.165751
HQY,"HealthEquity, Inc.",102.47,-1.1,-1.06,467046,656114,8948000000,2024-11-28T06:34:59.165751
LPX,Louisiana-Pacific Corporation,116.64,-2.32,-1.95,424608,657626,8356000000,2024-11-28T06:34:59.165751
QTWO,"Q2 Holdings, Inc.",104.49,-2.5,-2.34,586329,581476,6462000000,2024-11-28T06:34:59.165751
SKY,"Champion Homes, Inc.",103.73,0.28,0.27,447660,396604,5954000000,2024-11-28T06:34:59.165751
KNF,Knife River Corporation,102.75,-1.83,-1.75,252408,381457,5817000000,2024-11-28T06:34:59.165751
ROAD,"Construction Partners, Inc.",101.14,1.62,1.63,352647,392820,5561000000,2024-11-28T06:34:59.165751
ITRI,"Itron, Inc.",119.29,1.29,1.09,258014,524392,5379000000,2024-11-28T06:34:59.165751
LRN,"Stride, Inc.",107.04,-1.41,-1.3,526885,1164000,4666000000,2024-11-28T06:34:59.165751
