Symbol,Close,Volume Mean
NPCE,12.72,239040
EDBL,3.835,127220
QNTM,6.95,424980
RUM,7.83,3485900
SBC,3.81,30940
CGTL,3.79,84080
HUMA,2.0,7296460
SGHT,2.675,200160
