Symbol,Close,Volume Mean
QS,8.18,36037860
EVTL,6.95,917580
SERA,2.72,337460
ICG,2.51,529760
TIGR,9.89,5338760
NESR,6.7,990720
LAZR,3.02,2809260
CYRX,7.6,370400
