Symbol,Close,Volume Mean,0.5%
WATT,12.0,380040,22802.4
LGHL,1.49,992880,7396.956
AQST,3.96,2205660,43672.068
VTGN,0.59,1709380,5042.671
OMER,12.01,794220,47692.911
HUMA,1.15,5270560,30305.719999999998
ATYR,1.05,2022960,10620.54
CYN,1.51,403760,3048.388
