Symbol,Close,Volume Mean
EWCZ,5.45,1277300
LFMD,10.77,2309180
PERI,10.61,561820
LPCN,3.62,165820
APVO,0.38,24240340
TH,7.22,669120
SKYE,2.21,217200
LYT,0.018,228198
