Symbol,Close,Volume Mean,0.5%
FGNX,5.93,630560,18696.10
RDW,9.16,6337020,290235.52
QS,14.59,48908140,3567848.81
GLUE,7.50,998180,37431.75
BBAI,6.98,80807680,2820188.03
PUMP,5.43,2570240,69782.02
CADL,5.54,789200,21860.84
ANNX,3.03,3339100,50587.36
