Symbol,Close,Volume Mean
MIND,8.57,291260
INHD,1.43,58760
GOCO,5.92,79640
TWI,10.47,1003060
AUID,5.36,138980
CNTA,13.17,909280
SNCR,7.45,358100
RCEL,5.27,427320
